Noun,Label
abductor,5
aboriginal,1
aborigine,3
absentee,1
abstainer,6
accumulator,6
accuser,5
ace,1
achiever,6
acquaintance,1
addict,1
adherent,2
adjudicator,5
administrator,5
admirer,5
adolescent,1
adult,1
adventurer,5
adversary,1
advocate,2
agent,1
aggregator,6
agnostic,2
agonist,8
albino,2
alchemist,1
alien,1
allocator,5
amateur,1
amputee,1
analyst,1
anarchist,1
anatomist,1
anatomy,7
ancestor,1
ancient,2
angel,1
animal,1
animator,5
announcer,5
antagonist,1
antiquarian,4
antiquary,3
ape,1
apologist,3
apostate,3
applicant,1
appointee,1
appointment,7
arbiter,6
archer,1
architect,1
archivist,3
aristocrat,1
artificer,6
artist,1
ascetic,4
aspirant,2
assignee,3
assistant,1
associate,2
asthmatic,4
astronaut,1
athlete,1
attraction,7
auditor,5
author,1
authority,2
automaton,3
avatar,3
baby,1
balance,2
banker,5
barbarian,1
bather,6
bearer,5
beast,1
beater,6
beginner,1
behemoth,3
beholder,6
being,2
believer,5
belligerent,2
beloved,2
benefactor,5
bidder,5
billionaire,1
biologist,1
bisexual,2
biter,6
bleacher,6
blogger,5
blonde,2
boater,6
body,7
bodybuilder,5
bomber,5
boob,7
bookmaker,6
boomer,6
booster,6
boss,1
boxer,5
brawler,5
broadcaster,5
brunette,2
brute,2
buddy,1
buff,8
builder,5
bull,1
bullfighter,5
bum,1
businessperson,1
busker,3
buster,6
caller,5
candidate,1
capitalist,1
captain,1
captive,1
captor,5
caregiver,5
carrier,5
cashier,1
castaway,1
caster,6
catalyst,8
category,7
celebrant,3
censor,6
centrist,3
centurion,3
challenger,5
chameleon,1
champion,1
changer,5
chap,3
character,1
charmer,6
cheerleader,5
chemist,1
chicken,1
chief,1
chieftain,1
choreographer,5
chum,2
churchgoer,5
citizen,1
claimant,3
class,7
classmate,1
client,1
climatologist,1
clone,1
closer,6
coder,5
collector,5
combatant,3
comer,5
commander,5
commentator,5
commoner,1
communicator,5
companion,1
compatriot,3
competition,7
competitor,5
computer,7
comrade,1
confessor,5
confidant,3
congener,4
conquistador,5
conservative,2
conservator,5
consumer,5
contemporary,4
contender,5
contestant,1
contractor,5
controller,6
convert,4
coon,3
copycat,1
correspondent,1
cosmonaut,1
cottager,5
counter,7
courier,5
cousin,1
coward,1
cowboy,1
crab,1
crawler,5
creator,5
creature,1
creditor,5
creeper,5
cripple,2
crony,3
crossbreed,8
crusader,5
cultist,1
cyborg,1
dancer,5
darling,1
debater,5
debtor,5
decoder,5
defender,5
deist,3
demigod,1
democrat,1
demon,1
denier,5
denizen,1
descendant,3
descendent,8
deserter,5
designer,1
destroyer,5
developer,1
devotee,3
dictator,1
diploid,7
disciple,1
discoverer,5
dissenter,5
dissident,4
distributor,5
diver,1
divider,5
doer,5
doubter,5
drawer,7
dreamer,5
dresser,7
dribbler,5
driver,1
dropout,2
dummy,1
dupe,2
dwarf,1
dweller,5
dynast,3
elder,1
emcee,3
employee,1
employer,1
emulator,5
endorser,5
enemy,1
engine,7
engineer,1
enrollee,3
entertainer,1
entrant,3
equal,2
