PC,txl,gpt2,bert,gpt2-txl,gpt2-bert,bert-txl,gpt2-bert-txl
1,0.466252839,0.414600342,0.386544597,0.321137118,0.311807079,0.311256242,0.281285811
2,0.729858511,0.687339003,0.561897696,0.532111222,0.465684096,0.469189119,0.427476622
3,0.851134402,0.805857504,0.707324923,0.655020248,0.604831588,0.590826069,0.525653805
4,0.908307255,0.871963035,0.803359248,0.740786584,0.679712532,0.672032794,0.613625902
5,0.949885645,0.917500393,0.891871741,0.803696783,0.747116792,0.74773153,0.678496556
6,0.96510187,0.949228816,0.941521736,0.848039594,0.795683546,0.800416114,0.727752968
7,0.977117721,0.969288059,0.967615448,0.880320046,0.834220949,0.844999147,0.765948159
8,0.988467316,0.985162928,0.990502723,0.902886322,0.867198181,0.88493739,0.803058553
9,0.995964251,0.994004225,0.996153056,0.922313732,0.894876991,0.90876885,0.832254838
10,1,1,1,0.939808373,0.91589348,0.930797041,0.854688147
11,,,,0.95224123,0.935285409,0.948014558,0.876009402
12,,,,0.962404806,0.950318541,0.960614757,0.894642819
13,,,,0.970553769,0.964326286,0.971853522,0.909814992
14,,,,0.977048406,0.975469295,0.97918582,0.922751737
15,,,,0.98269563,0.982247091,0.984791538,0.934035858
16,,,,0.98778989,0.988648942,0.990175957,0.944472308
17,,,,0.991908982,0.992855458,0.993789798,0.953714196
18,,,,0.995220686,0.995781701,0.996370615,0.961936135
19,,,,0.998086066,0.99822648,0.998264231,0.968991974
20,,,,1,1,1,0.974328048
21,,,,,,,0.978686434
22,,,,,,,0.982915859
23,,,,,,,0.986392584
24,,,,,,,0.989566245
25,,,,,,,0.992155375
26,,,,,,,0.994166397
27,,,,,,,0.996069592
28,,,,,,,0.997672079
29,,,,,,,0.998895513
30,,,,,,,1
