Noun,PC1,PC2,PC3,Frequency
contemporary,5.710942388788052,-0.24384066581191538,0.09277878002112107,8305
ewe,5.416139713486808,-1.3937183116008207,-2.357136636953956,175
independent,5.307410320588333,-1.6527839797515869,0.3230359725263914,9536
guerrilla,5.277344503302148,-1.13502223082329,-0.2085371357947167,977
fauna,5.262774694902774,-0.6344199416986949,-0.9581002269322141,694
occult,5.260147751251283,0.02881135236735578,-0.8940098718410671,286
lot,4.99326095880708,-2.6631686688703504,-1.1040183575055587,7561
flora,4.694234137917093,0.27080910175211476,-2.6701874942715675,901
secular,4.4421820833433285,0.12403190920470666,-1.5605109471384206,1095
progressive,4.430475505750614,0.669181700825706,-1.6122803186953685,2040
aboriginal,4.428483511552277,0.8063042374551274,-2.302082740361644,902
national,4.387963927989325,-2.702509416845909,-0.2614437580963085,46210
natural,4.3491868733234975,1.7083877383353043,-0.7768811616449873,10248
nationalist,4.341994568019204,-0.7159102281071755,-0.8800422654274043,2020
qualifier,4.324809677600561,-0.5775491666096466,1.398729842188751,473
predecessor,4.322058020376552,-2.0022765408800445,1.459251540901493,3479
regular,4.228815239044217,0.2651649190314573,-0.9906911364250052,10668
opposition,4.223832344535964,-0.6841414655749259,-0.070410861802035,6029
offspring,4.174449399470348,-1.4572331045902978,-0.2145252857393534,967
irregular,4.0207046034947815,1.1017470954330415,-0.9754607345865849,1053
ram,4.0179343040456565,-1.1248380492518484,0.42405767275643047,1641
equal,3.866674593985609,-1.9103177836951484,0.06841615829480673,4058
sport,3.823275456175602,-2.5023908931117713,0.39672881072508137,11406
conservative,3.807840258387378,-1.1975652225233946,-0.47698117423657854,4969
gay,3.7720925112850807,1.0313137268110537,-1.0271955746915271,4330
competition,3.5757180194084315,-2.6621789239518625,0.9097959674425782,10108
radical,3.513204826189859,-0.6341924938970739,-0.4081000089699006,2436
shrimp,3.485315674131703,0.8148298451441922,-0.40749117448531724,419
forerunner,3.474060429284311,0.5588931988817085,-0.1344960384875762,547
opposite,3.4701248177752055,-2.0868513009038705,-0.28824463819503054,3754
prayer,3.428191688629644,-0.6573406611689327,-2.142646628899954,2204
inferior,3.4210597428872935,-0.0715572151068452,-1.600806074014212,893
honey,3.4151164490817094,0.39024772534343627,-0.23663972398976732,1019
migrant,3.4021751319810933,1.3418120042168624,0.17995573502568257,658
voyager,3.3935953217559303,1.1632689355517807,-1.389828815926154,828
libertarian,3.3835907786272497,2.3015601792063647,-0.5787423285473775,389
transfer,3.357519297079364,-2.3551677742786246,0.5892268265391305,4440
samurai,3.3063727657238555,0.2675899806533256,-1.9966484759689271,259
closer,3.280287522535488,-2.62188910602104,-0.846566134467876,3333
liberal,3.270884298568318,-0.34604718391544553,-0.3495458758535567,4407
descendant,3.26820704754602,0.49291629430665856,1.186479817496065,1833
rover,3.2548401072846356,-2.6277832584417693,2.0315189440223294,1262
counter,3.2492090666998426,-1.9849954753104815,-0.6596304272882969,3974
buff,3.1840914925434087,2.0149823159091858,-1.1348033528754402,500
unionist,3.1590227972896527,1.6920251238838462,-0.8811553477240412,309
intimate,3.1487951023386462,0.6234566391790868,-1.5796746362000909,968
revolutionary,3.148050075865817,-1.5824404463232615,0.17613198822432144,3422
humanitarian,3.135373183516547,1.1176928339204246,-0.928282225450663,711
failure,3.093558084369399,-2.2252754041116787,1.651949529134039,6348
primitive,3.092912700501452,0.41098202783668053,-1.4573864395033145,1125
class,3.071101682016222,-1.7078366879426898,-0.031485119974659186,26477
processor,3.0496544298475388,-0.6214168816467549,2.692989866637139,557
superior,3.020175964708896,-2.181810180805745,-0.8534010178055327,3486
favorite,3.0080677541476994,-1.5584823979494349,-0.5677354979930866,4215
terror,3.0005287559926406,-0.1967537846919009,0.7093498122256404,1067
animator,2.9401463211967265,3.547798333778251,1.7716258427642673,1127
teaser,2.921256898936672,0.040887785631882986,-1.1341216676098915,531
bisexual,2.8966105577099968,1.595614559004609,-0.8183806199911392,307
humanist,2.8938869164808483,2.133695272446308,-1.2152347948617175,256
sweater,2.8934543621067568,0.21509979265142215,0.34237710481175904,201
pal,2.8425548298787082,0.8421431007647224,-1.4198726916094948,472
republican,2.8311182424361605,-0.6159405761577471,-0.8531422405205543,7603
theorist,2.8213216424111023,-0.20915488790275474,2.34370027253085,520
pagan,2.8211459331659463,1.4471582976210393,-1.043574113763783,1114
turner,2.76154273939868,1.4456609506356841,-1.3009464999668583,2053
thoroughbred,2.721005982861028,2.014337986855331,-0.23278040333643604,438
great,2.713053794810615,0.21269155895382322,-1.3885847202422068,31164
homosexual,2.6982804246167365,1.7501280758353952,-1.053588334196967,1014
precursor,2.6851458153438905,-0.049531033544217215,0.2705673521331832,1045
broadcaster,2.6646197729746843,0.340256894484702,2.042898872427451,812
selector,2.653812568699723,1.4901888546550923,-0.10140714989537335,528
developer,2.6537741486487323,0.1888716891763263,2.4148673485371392,3541
dresser,2.650089762238484,1.2893270374875065,-0.01562104742506908,131
partisan,2.6359162696107354,-1.5564130821381086,-0.12096105653952142,1958
believer,2.629612216384194,1.1983839044167246,0.41155533543852074,583
intellectual,2.6233143925568396,-0.23140795996051122,-0.05450943485717783,1993
buster,2.6199710281464528,0.6442773551276494,-0.4082559751365032,503
gutter,2.5968530357844837,-1.7697521895021284,-0.2616254312528887,96
consumer,2.5922226333874923,-0.09122004984565948,0.262574503038274,1785
fuller,2.565978067504852,0.5196976908154697,-1.3543412875767737,923
heterosexual,2.5588260049677936,1.9443853547649976,-1.640558855901337,304
drawer,2.5444918070957545,-1.3944361561620462,1.480051427301476,110
appointment,2.5378987947457357,-2.3774704635604094,-0.7979809684182574,3398
successor,2.5045917066980543,-2.704081232364857,1.2460711847664214,3709
patriot,2.4835639275423325,-0.8640406457135796,0.47133283061142367,1209
proponent,2.4748521464613975,0.5392354231036601,3.230586905715773,825
category,2.474063898360427,-2.0048511566916365,1.609587695758967,8148
authority,2.4640802357780167,-3.086116961877228,0.31594124686595815,12864
beloved,2.3316179350629658,1.7682655959457674,-1.464892984155623,551
namesake,2.3236750812757307,0.9819124302738979,-1.59171265946284,462
balance,2.312364320330483,-2.0379159774071107,1.522223443814527,2897
transmitter,2.311217625987775,-0.9013405147352889,2.6620220673455677,352
trustee,2.30860028017303,0.3914671869825837,1.2431350152219804,1526
crab,2.306114213280545,-0.19094634773294128,0.7129255850409904,850
distributor,2.301317570636173,-1.2580306595565904,1.469719798753731,837
relative,2.2548809652267345,-0.9406439334526965,-1.7360355108324497,5427
nazi,2.2143780579941077,-0.6324318171143042,-0.5291423916879652,3538
replacement,2.2065252843724075,-2.0025560360919736,0.7267945559216132,4164
reformer,2.1827005899531646,2.1084469048459336,0.5565737133938159,635
terrorist,2.1270596771449393,0.6971130511695076,0.4638000762413084,1296
runaway,2.119997601739761,2.1833825586797753,-0.6373201582442823,431
aggregator,2.109327572195488,1.5198778727502695,-0.03777618861264138,455
poster,2.0955570713474687,-0.21256528852106032,-0.21122342830189528,1568
party,2.0867452405982405,-1.493799164100857,0.45196162909832593,30483
sponsor,2.0743670980746094,-0.3094607980186467,0.35529123493402676,1230
crusader,2.033136333561568,0.21181485846751688,0.07487965351306641,1143
spade,2.0151425877376394,1.5654032693337192,-0.35148719660440564,151
minor,1.984801345939817,-0.5260949952113211,-0.4704125557240186,9972
acquaintance,1.9687689728429623,-0.02036522314471269,0.1625158413124004,591
sponge,1.962207696007555,1.4165597984307245,-0.06944568550206855,537
jurist,1.9478122960845936,2.4347820156961673,-0.9062345757865906,192
