Noun,SV_Simple_s,SV_Simple_p,SV_SubjRelClause_s,SV_SubjRelClause_p,SV_SentComp_s,SV_SentComp_p,SV_PP_s,SV_PP_p,SV_ObjRelClauseThat_s,SV_ObjRelClauseThat_p,SV_ObjRelClauseNoThat_s,SV_ObjRelClauseNoThat_p,RA_Simple_s,RA_Simple_p,RA_SentComp_s,RA_SentComp_p,RA_ObjRelClauseThat_s,RA_ObjRelClauseThat_p,RA_ObjRelClauseNoThat_s,RA_ObjRelClauseNoThat_p,wikitext_s_freq,wikitext_p_freq,webtext_s_freqs,webtext_p_freqs
abductor,1.0719372130688338,-0.00333589843069403,-0.1444588106166304,-1.6627130520997118,0.3748336991316403,-1.1798729338331362,0.6170556598605785,0.34664994006203187,-0.5767664997701225,-1.3103097158822594,-0.9694748303994429,-0.6051213062815829,0.038253395728088314,-1.767688555654514,0.2948992385496432,-1.098885797389539,0.6164275112691139,-1.0002174848121803,0.7483997657132573,-0.5615502512700684,15,19,998,1004
aborigine,-1.36607566494348,-0.8526473323605852,-0.5612224843287508,-0.8934688329240679,-1.2766662040341132,-0.5666948688094813,-0.7941700683337439,-1.1347828169251677,-1.1474775127166508,0.023522716508504446,-1.355237965857222,-1.232374096613427,-1.7718691928759638,1.4784264076927751,-0.6235724309490266,1.480541267942003,-0.8933678089783543,1.5325920298782119,-1.0631599698820318,1.0632254007119106,20,235,354,2697
abstainer,0.4617720284683217,0.6394460799533088,0.18244078365321917,0.4029989232439909,-0.27171776190341773,1.05007382682051,0.7077663172804054,0.6185758353089048,-1.3708295150186136,0.6362255590864105,-1.8141633675650986,-0.2136346879847507,0.32468083805554826,1.3212706681083066,0.3424366931494845,1.2181436271556618,0.5624589958534623,0.6443930835574336,0.2924777569747386,0.5304579962038026,4,4,164,426
accumulator,-0.08534405047035362,-0.1019030332410659,0.4737924281860154,0.21086099378231857,0.9188492452228127,0.5483687126128508,-2.3674762922990085,-1.994877184374014,0.9457147928016036,-0.007846937480867604,-0.28113011134331245,1.0934653209749436,-1.727539083281528,1.1658560870014973,-2.0239029579070666,1.2190242993144493,-2.051258983649682,1.3281358550638493,-1.697320114614068,1.3989810911495368,26,24,2194,469
achiever,0.3399584840440997,0.9325019763235564,-0.25626101263195733,0.8773056315211438,0.4208210782305429,1.2465161706902959,0.21786181659698275,-0.05549746130080821,0.1958715968301784,0.5791091975782086,0.1184588711850871,1.3943776609597025,-0.31201495054219075,1.2171793588213515,0.05665960033559468,1.3393743703557308,-0.2512173171451843,1.5167567719410515,-0.02544162807774364,1.7651357878513005,25,6,577,1612
acquaintance,0.09168141769284734,-0.5727271918966698,0.6666676971144895,0.5121083548767165,-0.3770470120620386,-0.6915000127036448,0.540461444913827,0.5008831505290786,0.0735118546842201,0.5746476772695207,0.8740820242492537,0.3527105166355614,0.14111873583974363,-0.40298031838515963,0.23513664132283757,-0.9521007433511508,0.27133615724125226,-1.5664704486599246,0.2182424380432878,-0.757015986892646,373,218,13178,9081
addict,1.0596870254218236,1.3958847274102484,1.809137998136693,-0.8405573040654628,0.9337825006096034,1.4742520710565685,0.14622928616100006,0.7140888430175083,1.604755328035876,0.4038194241664358,0.09490020133123389,0.5682396685371511,0.2251471092371825,1.0960767616557028,0.418082310154713,1.3817089465707644,0.25933192039905106,1.2360744903235874,0.1972550933134758,1.325488437623429,145,72,12455,18953
adherent,0.17604185505326247,0.42840667164237145,0.6070643256889405,0.20013234243378492,0.6132105062257319,0.6195807800008782,0.6342954964771976,1.0102290482340393,-0.019418008522848904,1.1407423143401756,-0.22280142369078673,0.6451075241185853,-0.25739942229434837,0.572965390295305,0.30098679739237,0.476077120217506,-0.26988367662720353,0.18443680642747895,-0.28311790720656965,0.6900318956006923,66,352,2216,12743
administrator,0.8678463788923853,-0.18765212635641534,0.15946148593455567,-0.1285515605434572,-0.29072449627676644,-0.3616150315914999,-0.11496099725670893,0.07324605638627268,-1.6320137479713999,-0.04918641036897079,0.09195081336520414,-0.028911526838643703,-0.3251450704867326,-1.3491535632024405,-0.13595694214546258,-1.320680324139374,-0.4019599212339499,-0.21906805616013597,-0.004049840789099951,-0.26073932745298367,782,492,61210,57008
admirer,1.3027405378518868,0.303906675981952,0.25060255058534747,0.257395304913464,0.4948079321491221,0.05910334392945282,0.9492370372186385,0.43419324937157183,-0.3249789545754672,-0.33635936099703934,-0.8482058568558147,0.32300665226689085,0.3649902792362508,-0.7141833279599742,0.681579804950589,-0.47320238015531146,0.7765192125181242,-2.118243816503966,0.44048144263284417,-1.041234129687305,270,182,6444,6882
adolescent,-1.0756911652663719,0.03533967660870261,1.2742981354689429,0.6364569154708634,-0.44210555059138124,0.14188421924403635,0.03525559690258189,0.4895856354599858,1.6559864053712978,0.7617740425122081,0.06460189380350778,0.5457528290967999,0.23931402559273365,1.547105605507908,0.8150558980698681,1.4467356972567758,0.0036276367789250807,2.079575083233765,-0.07421300507655439,1.2921809178389354,335,209,26820,18675
