Noun,PC1,PC2,PC3,Frequency
equal,8.541040839497027,-2.9151170159593787,-2.457549956174253,333833
relict,6.3213719065296585,-2.4905402101566727,-1.2549032862534013,619
failure,6.27573915540656,-0.3131140320156875,0.08560551133809892,383556
prayer,6.247331197654436,-0.15394464912018802,-1.2948613928158228,144268
transfer,5.754321782465823,0.36459028403395055,0.2900827091604333,343218
competition,5.720401844435491,0.5990966111854396,1.2598187168768331,363579
sport,5.6698403769237515,0.598030599573725,-2.087606122920944,757939
balance,5.562399259679226,1.6962735015497108,-0.17750002736731738,355030
referral,5.4832793710392815,0.07324575851823774,0.361262511555244,26209
counter,5.094349366776679,0.19161707420462817,-0.24497656524276162,206683
appointment,5.032652950906535,0.671572877999928,0.35297673578275296,115127
specifier,5.007612832458413,0.8539029126861699,-0.39148926500928843,1299
flyer,4.98367997492566,2.7618551734332724,0.9008917039094623,56756
mailer,4.87881493316295,3.38966047985379,0.9834219242570672,7401
buff,4.877744868774722,0.3429953427601044,-0.1412326301578131,34224
washer,4.844337003775381,-0.7382504619216373,-0.1999104270438409,7132
fastener,4.833211062174021,1.4573154980760568,0.048837208275568346,2490
spearhead,4.780107087691467,-1.231328251692363,0.521838390798577,7802
national,4.774072942770214,-2.769009857198294,-2.925606182616546,2753203
regular,4.756009392224424,-2.4534424335222007,-0.9429082214588517,561045
authority,4.737697108867734,2.029824772006244,1.23294578380531,883161
qualifier,4.735543639499039,-0.43036848938918265,0.668040974758095,39662
modifier,4.720293783872217,2.2471944922621896,0.5429667887427699,20765
spoiler,4.646450620637804,0.8748161983506959,0.8488767809677912,50926
category,4.625575515077209,1.7648617340414345,0.29493723704867614,263837
attraction,4.592287968773887,1.7148376038436532,2.6096448432760924,75286
family,4.550078235543119,2.780010190502946,-1.4186453426748105,2166944
hanger,4.546683621576856,-0.079236092995573,0.3457219966633153,6517
knocker,4.526844687342757,0.07171837132890439,0.7615756509758648,659
tool,4.439145764895497,2.592520211809018,1.3048823651346397,703358
spade,4.348969049390786,0.3116092706056743,-0.3710258636446094,9452
