Noun,SV_Simple_s,SV_Simple_p,SV_SubjRelClause_s,SV_SubjRelClause_p,SV_SentComp_s,SV_SentComp_p,SV_PP_s,SV_PP_p,SV_ObjRelClauseThat_s,SV_ObjRelClauseThat_p,SV_ObjRelClauseNoThat_s,SV_ObjRelClauseNoThat_p,RA_Simple_s,RA_Simple_p,RA_SentComp_s,RA_SentComp_p,RA_ObjRelClauseThat_s,RA_ObjRelClauseThat_p,RA_ObjRelClauseNoThat_s,RA_ObjRelClauseNoThat_p,wikitext_s_freq,wikitext_p_freq,webtext_s_freqs,webtext_p_freqs
abductor,1.1964055084230076,1.6414490753737634,1.2792673344809762,0.9434612986407,1.221182307404359,1.3854370243243574,-0.039759105395453964,0.6193714713450298,1.344041827908105,0.8389851683916416,-0.6056591048603488,-0.0463634999729554,0.6779965401778293,-0.5104842279909404,0.4949160986903028,-0.34866841799916665,0.8364396954904206,-0.9838071110489885,0.5465932711744929,-0.48511265799848446,15,19,998,1004
aboriginal,-0.9190825605972711,0.1751446718776889,-1.9275301881590425,0.6546718600915152,-0.7605080886913973,-0.2658547061149488,-1.4076621469384978,-0.5138000082713113,-1.6069667086919086,-0.002527741676468867,-0.01360729420586531,-2.0794537669971,-2.8095720976708236,0.4926806647774412,-3.0761992772696978,0.7865198796967803,-2.693517120701132,0.6688451163023187,-2.6381725480453997,0.8289922289748568,830,72,45619,1799
aborigine,0.5434409191600472,0.757719345693051,-1.0544092639431568,-0.3303365093470435,0.21107154699694403,0.9980071354765259,-1.0554168212054504,-0.39718405889320446,-0.8312638908875649,0.2905850018899609,-0.2709693531017864,-0.6914672989791674,-0.34293659057566833,1.300979193371982,-0.0683776018969712,1.117760380869433,-0.49696950812977914,0.9535264764249487,-0.7109348700878462,1.354010746646377,20,235,354,2697
absentee,-1.5155563267424663,0.47884159567471063,0.07712899910871604,-0.11306905595837556,-1.7631012454669577,0.9380779066326947,0.13749725947195174,-0.15316846034694054,0.13601166853591298,-0.038740594457072335,-1.2816821090097192,-0.1702889582059272,-0.8352309805727602,0.44213303541064425,-1.541918185047529,0.7492506482436795,-0.013039143517065296,0.4565331688777539,-0.2600420450506877,-0.36442882714387403,111,6,16385,692
abstainer,-1.4774936156769403,-2.040492755619872,-2.4642149083377616,-0.457329543134195,-1.7635251607807039,-1.7509540850315086,-2.7477516276578666,-1.46317462603217,-1.7023522237406683,0.22735017305710042,-0.7715831878531769,-0.6526409929837211,-2.2248821197229205,-1.393039104314399,-2.0729876526497995,-1.6727365538175052,-3.2380455823255634,-0.29635263106552545,-2.1411194814445356,-1.1156985793380267,4,4,164,426
accumulator,0.3628751112568785,0.3618913220093161,1.1302384893915387,0.18129529566919927,0.4302633263841493,-0.906309589773818,-0.7999772570379187,0.5806625313582023,1.144898211958845,0.8656908635110927,2.131670982217858,1.2408626022047353,-0.7794458676833874,-0.5823668201868476,-0.49639950955553946,-0.9175707877905912,0.4056939627054661,-0.6014695580827838,0.08491458791186589,0.08788338689275922,26,24,2194,469
accuser,1.8233059837992758,1.0733137893875322,-0.4102878059547875,-0.12363050456124286,1.9297542564816301,1.785308676432256,1.2130321413518066,0.9229149996499528,-0.7506892159310331,-1.2316865032522,-1.3227285988038964,0.4475685315204825,0.7046826851945392,0.27551160272782826,0.6411348520208371,0.5764338217617896,-0.5463502765493,-0.6142648361310484,0.04402855009351031,-0.3388078205439477,39,38,8493,8521
ace,1.0867749861666427,0.714332671838593,-0.7722854616720916,0.4672142663943687,0.5424060523914987,0.6788883045847304,0.3774249404153417,-0.2404335444787259,-0.6855481330751798,0.6300935592687642,0.05502267197534482,-0.15247161800598885,1.3021762614829464,0.42116403901705834,1.53224978814819,0.47850356354109175,1.7754569352367402,1.0001443859679156,2.069357150905533,0.19036480744418066,1494,295,51916,8130
achiever,1.279934888957647,0.1614890657888365,-1.883379850518339,0.46286228713577876,1.3746328079525991,0.11612198241235683,-1.4980227786501064,0.24604814238510941,-1.5339126291020881,0.5552794450456785,-1.8314231668320216,1.1954144551498522,0.5640495022261626,1.181322852708338,1.0565491228632604,1.154114660551165,0.17751022812539377,1.459687970664106,0.08218241583066907,1.4711259312775522,25,6,577,1612
acquaintance,-0.4164103168854286,-0.16706918104826488,-0.2839386247273707,1.3091534656667085,0.3495744345800388,-0.11126517273307049,1.0639777683097011,1.6275955196714298,-0.5196924229145357,0.44702568083482797,0.4821195529067475,0.7747260279507517,0.6160541895178459,-0.68328033638861,0.35084012701987466,-0.6381375792341875,0.31284249043874557,-0.7703781842710201,0.760541250665179,-0.14006572631777275,373,218,13178,9081
