,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20
0,RA_SentComp_txl - 0.331487,SV_SubjRelClause_txl - 0.451289,SV_ObjRelClauseThat_bert - 0.406834,SV_PP_bert - 0.432562,SV_SentComp_bert - 0.502647,SV_SentComp_bert - 0.557779,SV_SubjRelClause_bert - 0.421232,SV_SubjRelClause_bert - 0.636533,SV_ObjRelClauseNoThat_txl - 0.517864,SV_Simple_bert - 0.695110,SV_PP_txl - 0.635056,SV_PP_bert - 0.634168,SV_ObjRelClauseThat_bert - 0.697590,SV_Simple_txl - 0.606801,SV_SentComp_txl - 0.560695,SV_SubjRelClause_txl - 0.616128,RA_ObjRelClauseThat_txl - 0.521087,RA_SentComp_bert - 0.665316,RA_Simple_txl - 0.522285,RA_ObjRelClauseNoThat_bert - 0.509627
1,RA_Simple_txl - 0.310012,SV_ObjRelClauseThat_txl - 0.448533,SV_ObjRelClauseNoThat_bert - 0.402522,SV_ObjRelClauseThat_bert - 0.426374,SV_SubjRelClause_bert - 0.493480,SV_Simple_txl - 0.418487,SV_PP_txl - 0.420781,SV_PP_bert - 0.319465,SV_ObjRelClauseThat_txl - 0.416447,SV_SentComp_bert - 0.351362,SV_ObjRelClauseNoThat_txl - 0.508624,SV_ObjRelClauseNoThat_bert - 0.446895,SV_ObjRelClauseNoThat_bert - 0.582181,RA_SentComp_txl - 0.424283,RA_Simple_txl - 0.384267,RA_ObjRelClauseNoThat_txl - 0.446350,SV_ObjRelClauseThat_txl - 0.494924,RA_Simple_bert - 0.635853,RA_SentComp_txl - 0.517811,RA_ObjRelClauseThat_bert - 0.501875
2,RA_SentComp_bert - 0.307771,SV_ObjRelClauseNoThat_txl - 0.443017,RA_ObjRelClauseThat_bert - 0.389718,SV_ObjRelClauseNoThat_bert - 0.418986,SV_Simple_bert - 0.334807,SV_SentComp_txl - 0.410326,RA_Simple_bert - 0.390215,RA_ObjRelClauseThat_bert - 0.294722,SV_SubjRelClause_txl - 0.389671,SV_ObjRelClauseThat_bert - 0.245016,SV_SentComp_bert - 0.320888,RA_ObjRelClauseThat_bert - 0.354380,SV_Simple_bert - 0.211004,SV_SentComp_txl - 0.403278,RA_ObjRelClauseThat_txl - 0.383065,SV_ObjRelClauseThat_txl - 0.385001,RA_ObjRelClauseNoThat_txl - 0.455652,RA_ObjRelClauseNoThat_txl - 0.176844,RA_ObjRelClauseThat_bert - 0.460203,RA_Simple_txl - 0.495885
3,RA_ObjRelClauseNoThat_txl - 0.304524,SV_PP_txl - 0.314232,RA_ObjRelClauseNoThat_bert - 0.376395,RA_ObjRelClauseThat_txl - 0.299246,SV_PP_bert - 0.297309,SV_Simple_bert - 0.286460,RA_SentComp_bert - 0.361118,RA_ObjRelClauseNoThat_bert - 0.261698,RA_ObjRelClauseNoThat_txl - 0.308461,SV_ObjRelClauseNoThat_txl - 0.216337,SV_Simple_bert - 0.196381,RA_ObjRelClauseNoThat_bert - 0.313980,SV_SentComp_bert - 0.164373,RA_ObjRelClauseNoThat_txl - 0.325919,RA_SentComp_txl - 0.375197,RA_ObjRelClauseThat_txl - 0.337098,SV_ObjRelClauseNoThat_txl - 0.267086,RA_ObjRelClauseThat_txl - 0.169392,RA_ObjRelClauseNoThat_bert - 0.457147,RA_SentComp_txl - 0.406420
4,RA_Simple_bert - 0.293837,RA_ObjRelClauseNoThat_bert - 0.223464,RA_Simple_txl - 0.300127,SV_Simple_bert - 0.285606,SV_ObjRelClauseThat_txl - 0.251472,SV_SubjRelClause_bert - 0.249377,SV_SentComp_bert - 0.326946,RA_Simple_bert - 0.257449,SV_PP_txl - 0.276054,RA_ObjRelClauseNoThat_bert - 0.211973,SV_SubjRelClause_txl - 0.186519,SV_Simple_bert - 0.262463,SV_PP_bert - 0.158635,SV_SubjRelClause_txl - 0.225009,SV_Simple_txl - 0.361366,SV_PP_txl - 0.331756,RA_SentComp_bert - 0.241453,SV_ObjRelClauseThat_txl - 0.163575,RA_Simple_bert - 0.091167,RA_Simple_bert - 0.121308
5,RA_ObjRelClauseThat_txl - 0.286906,RA_ObjRelClauseThat_bert - 0.213381,RA_SentComp_txl - 0.265987,RA_ObjRelClauseNoThat_txl - 0.231337,SV_SentComp_txl - 0.250936,RA_SentComp_bert - 0.199647,SV_Simple_txl - 0.268741,RA_SentComp_bert - 0.226224,RA_SentComp_bert - 0.220214,SV_PP_bert - 0.211615,SV_SentComp_txl - 0.179616,SV_SentComp_bert - 0.158827,RA_ObjRelClauseNoThat_bert - 0.155114,RA_Simple_txl - 0.224124,RA_ObjRelClauseNoThat_txl - 0.260555,RA_SentComp_txl - 0.107816,SV_SubjRelClause_txl - 0.239307,RA_ObjRelClauseNoThat_bert - 0.129050,SV_Simple_txl - 0.081447,RA_SentComp_bert - 0.116408
6,SV_SentComp_txl - 0.273406,RA_Simple_bert - 0.212478,RA_ObjRelClauseNoThat_txl - 0.252450,SV_PP_txl - 0.207099,SV_ObjRelClauseNoThat_bert - 0.212283,SV_ObjRelClauseNoThat_txl - 0.194411,SV_SentComp_txl - 0.218402,SV_ObjRelClauseThat_bert - 0.193456,SV_SubjRelClause_bert - 0.206395,SV_SentComp_txl - 0.207618,SV_ObjRelClauseThat_txl - 0.179164,SV_SubjRelClause_bert - 0.122831,SV_ObjRelClauseNoThat_txl - 0.108656,RA_ObjRelClauseThat_txl - 0.220465,SV_ObjRelClauseNoThat_txl - 0.146533,SV_PP_bert - 0.087808,RA_Simple_bert - 0.224249,SV_SubjRelClause_txl - 0.120209,SV_SentComp_txl - 0.081030,SV_ObjRelClauseNoThat_bert - 0.093066
7,SV_Simple_txl - 0.269894,RA_SentComp_bert - 0.195377,RA_ObjRelClauseThat_txl - 0.235729,RA_Simple_txl - 0.205502,RA_ObjRelClauseThat_txl - 0.176683,RA_Simple_bert - 0.192741,SV_ObjRelClauseNoThat_txl - 0.186502,SV_Simple_txl - 0.191601,SV_PP_bert - 0.198020,RA_ObjRelClauseThat_bert - 0.181972,RA_Simple_bert - 0.175870,RA_Simple_bert - 0.122497,RA_SentComp_bert - 0.091565,RA_Simple_bert - 0.117183,SV_ObjRelClauseThat_txl - 0.106547,RA_ObjRelClauseNoThat_bert - 0.084761,SV_Simple_txl - 0.107907,RA_ObjRelClauseThat_bert - 0.102998,SV_PP_txl - 0.079749,SV_ObjRelClauseThat_bert - 0.090701
8,RA_ObjRelClauseNoThat_bert - 0.239949,SV_Simple_txl - 0.149764,SV_PP_bert - 0.147139,SV_Simple_txl - 0.197937,SV_Simple_txl - 0.173453,RA_ObjRelClauseNoThat_txl - 0.135669,SV_PP_bert - 0.163008,RA_ObjRelClauseNoThat_txl - 0.180414,RA_Simple_bert - 0.193413,RA_SentComp_bert - 0.173217,RA_SentComp_bert - 0.142271,RA_SentComp_bert - 0.113421,RA_ObjRelClauseThat_txl - 0.084378,SV_SubjRelClause_bert - 0.093331,SV_SentComp_bert - 0.072340,SV_ObjRelClauseThat_bert - 0.083969,SV_SentComp_txl - 0.095796,SV_ObjRelClauseNoThat_txl - 0.094077,RA_ObjRelClauseThat_txl - 0.057443,RA_ObjRelClauseNoThat_txl - 0.084125
9,RA_ObjRelClauseThat_bert - 0.229024,SV_PP_bert - 0.147364,SV_SubjRelClause_txl - 0.122114,SV_SentComp_txl - 0.174630,SV_SubjRelClause_txl - 0.171829,RA_ObjRelClauseThat_txl - 0.129137,RA_ObjRelClauseThat_txl - 0.148051,RA_ObjRelClauseThat_txl - 0.142751,SV_ObjRelClauseNoThat_bert - 0.164734,RA_ObjRelClauseThat_txl - 0.144435,SV_SubjRelClause_bert - 0.123897,SV_ObjRelClauseNoThat_txl - 0.108794,SV_ObjRelClauseThat_txl - 0.082559,SV_ObjRelClauseNoThat_txl - 0.065439,RA_ObjRelClauseNoThat_bert - 0.068906,SV_SubjRelClause_bert - 0.073307,RA_SentComp_txl - 0.068220,RA_Simple_txl - 0.085623,SV_ObjRelClauseThat_bert - 0.050184,RA_ObjRelClauseThat_txl - 0.080496
