,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10
0,RA_ObjRelClauseNoThat_bert - 0.456096,SV_ObjRelClauseThat_bert - 0.577452,SV_SentComp_bert - 0.686402,RA_Simple_bert - 0.491610,SV_SubjRelClause_bert - 0.886477,SV_Simple_bert - 0.682541,SV_PP_bert - 0.631310,SV_ObjRelClauseThat_bert - 0.715977,RA_SentComp_bert - 0.694998,RA_ObjRelClauseNoThat_bert - 0.692570
1,RA_ObjRelClauseThat_bert - 0.444272,SV_ObjRelClauseNoThat_bert - 0.576572,SV_Simple_bert - 0.499513,RA_SentComp_bert - 0.488908,RA_ObjRelClauseThat_bert - 0.223157,SV_SentComp_bert - 0.571235,SV_ObjRelClauseNoThat_bert - 0.541387,SV_ObjRelClauseNoThat_bert - 0.522314,RA_Simple_bert - 0.689174,RA_ObjRelClauseThat_bert - 0.678261
2,RA_Simple_bert - 0.383953,SV_PP_bert - 0.353213,SV_SubjRelClause_bert - 0.346437,SV_PP_bert - 0.445884,RA_ObjRelClauseNoThat_bert - 0.214175,RA_ObjRelClauseNoThat_bert - 0.254671,RA_ObjRelClauseThat_bert - 0.354318,SV_PP_bert - 0.263451,RA_ObjRelClauseNoThat_bert - 0.138627,RA_Simple_bert - 0.169881
3,RA_SentComp_bert - 0.383866,RA_Simple_bert - 0.288091,SV_PP_bert - 0.248977,SV_SentComp_bert - 0.344618,SV_ObjRelClauseThat_bert - 0.176403,RA_ObjRelClauseThat_bert - 0.226087,RA_ObjRelClauseNoThat_bert - 0.279060,SV_Simple_bert - 0.214081,RA_ObjRelClauseThat_bert - 0.127892,RA_SentComp_bert - 0.106480
4,SV_PP_bert - 0.297571,RA_SentComp_bert - 0.270024,RA_ObjRelClauseThat_bert - 0.170641,SV_Simple_bert - 0.274844,SV_SentComp_bert - 0.165076,SV_ObjRelClauseThat_bert - 0.195778,SV_Simple_bert - 0.253716,RA_ObjRelClauseNoThat_bert - 0.213306,SV_SentComp_bert - 0.048522,SV_ObjRelClauseNoThat_bert - 0.098045
5,SV_Simple_bert - 0.264730,SV_SubjRelClause_bert - 0.166259,RA_SentComp_bert - 0.160360,RA_ObjRelClauseThat_bert - 0.249317,SV_PP_bert - 0.157612,SV_PP_bert - 0.179325,SV_SentComp_bert - 0.131576,SV_SentComp_bert - 0.189407,SV_ObjRelClauseThat_bert - 0.048106,SV_ObjRelClauseThat_bert - 0.097490
6,SV_ObjRelClauseNoThat_bert - 0.255347,SV_Simple_bert - 0.106459,RA_ObjRelClauseNoThat_bert - 0.154101,RA_ObjRelClauseNoThat_bert - 0.172262,SV_Simple_bert - 0.131142,SV_SubjRelClause_bert - 0.112739,SV_SubjRelClause_bert - 0.097988,SV_SubjRelClause_bert - 0.091690,SV_ObjRelClauseNoThat_bert - 0.035907,SV_PP_bert - 0.029844
7,SV_ObjRelClauseThat_bert - 0.251706,RA_ObjRelClauseThat_bert - 0.089542,RA_Simple_bert - 0.118348,SV_SubjRelClause_bert - 0.151602,SV_ObjRelClauseNoThat_bert - 0.119574,RA_SentComp_bert - 0.084933,RA_Simple_bert - 0.074341,RA_SentComp_bert - 0.088999,SV_Simple_bert - 0.015119,SV_SentComp_bert - 0.007506
8,SV_SubjRelClause_bert - 0.112125,RA_ObjRelClauseNoThat_bert - 0.074722,SV_ObjRelClauseNoThat_bert - 0.067797,SV_ObjRelClauseNoThat_bert - 0.080738,RA_Simple_bert - 0.045738,RA_Simple_bert - 0.036189,SV_ObjRelClauseThat_bert - 0.065697,RA_Simple_bert - 0.033887,SV_SubjRelClause_bert - 0.014695,SV_Simple_bert - 0.006328
9,SV_SentComp_bert - 0.008082,SV_SentComp_bert - 0.029479,SV_ObjRelClauseThat_bert - 0.012170,SV_ObjRelClauseThat_bert - 0.069571,RA_SentComp_bert - 0.041119,SV_ObjRelClauseNoThat_bert - 0.011654,RA_SentComp_bert - 0.061670,RA_ObjRelClauseThat_bert - 0.021839,SV_PP_bert - 0.006436,SV_SubjRelClause_bert - 0.002792
