,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30
0,RA_SentComp_bert - 0.295920,SV_SubjRelClause_txl - 0.360896,RA_ObjRelClauseThat_bert - 0.396283,RA_ObjRelClauseThat_txl - 0.358577,SV_SentComp_txl - 0.380299,SV_ObjRelClauseNoThat_bert - 0.428711,SV_PP_bert - 0.322537,SV_SentComp_bert - 0.507788,SV_SubjRelClause_bert - 0.656711,SV_SentComp_gpt2 - 0.483261,SV_Simple_txl - 0.330544,RA_SentComp_bert - 0.385493,SV_Simple_bert - 0.509705,SV_PP_gpt2 - 0.530867,SV_ObjRelClauseNoThat_gpt2 - 0.508597,SV_PP_txl - 0.626809,SV_PP_bert - 0.455859,SV_ObjRelClauseThat_gpt2 - 0.494138,SV_ObjRelClauseThat_bert - 0.559445,RA_SentComp_txl - 0.376222,SV_SentComp_txl - 0.527906,SV_Simple_gpt2 - 0.509741,SV_SubjRelClause_txl - 0.612547,RA_SentComp_gpt2 - 0.484407,RA_ObjRelClauseNoThat_gpt2 - 0.436258,RA_ObjRelClauseThat_gpt2 - 0.491506,RA_Simple_gpt2 - 0.481832,RA_SentComp_bert - 0.518203,RA_SentComp_txl - 0.610882,RA_ObjRelClauseThat_bert - 0.640984
1,RA_Simple_bert - 0.286701,SV_ObjRelClauseNoThat_txl - 0.352471,RA_ObjRelClauseNoThat_bert - 0.378667,SV_Simple_gpt2 - 0.322847,SV_ObjRelClauseThat_gpt2 - 0.373993,SV_PP_bert - 0.420158,SV_ObjRelClauseThat_gpt2 - 0.300763,SV_SubjRelClause_gpt2 - 0.380533,SV_Simple_txl - 0.281223,SV_Simple_bert - 0.350158,SV_ObjRelClauseThat_gpt2 - 0.302531,RA_Simple_bert - 0.377213,SV_ObjRelClauseNoThat_txl - 0.416823,SV_SubjRelClause_gpt2 - 0.453864,SV_SentComp_bert - 0.381659,SV_ObjRelClauseNoThat_txl - 0.296991,SV_ObjRelClauseNoThat_bert - 0.433062,SV_SubjRelClause_gpt2 - 0.438019,SV_ObjRelClauseNoThat_bert - 0.413563,RA_SentComp_gpt2 - 0.337053,SV_Simple_txl - 0.499780,SV_Simple_txl - 0.399508,SV_ObjRelClauseThat_txl - 0.404090,RA_SentComp_txl - 0.376334,RA_ObjRelClauseNoThat_txl - 0.408556,RA_ObjRelClauseNoThat_gpt2 - 0.456372,RA_ObjRelClauseThat_gpt2 - 0.390758,RA_Simple_bert - 0.472858,RA_Simple_txl - 0.607095,RA_ObjRelClauseNoThat_bert - 0.640730
2,RA_SentComp_txl - 0.286406,SV_ObjRelClauseThat_txl - 0.325284,SV_ObjRelClauseThat_bert - 0.378180,SV_ObjRelClauseThat_txl - 0.289985,SV_Simple_txl - 0.356521,SV_ObjRelClauseThat_bert - 0.386567,RA_ObjRelClauseThat_txl - 0.270963,SV_SubjRelClause_bert - 0.346095,RA_ObjRelClauseNoThat_bert - 0.231579,SV_SubjRelClause_bert - 0.327695,SV_ObjRelClauseNoThat_txl - 0.279483,SV_PP_bert - 0.338617,SV_PP_gpt2 - 0.272861,SV_Simple_bert - 0.328494,SV_SubjRelClause_gpt2 - 0.358086,RA_SentComp_bert - 0.252864,SV_SentComp_gpt2 - 0.285170,SV_ObjRelClauseThat_bert - 0.291444,SV_ObjRelClauseThat_gpt2 - 0.348454,RA_ObjRelClauseThat_txl - 0.294682,SV_Simple_gpt2 - 0.429096,SV_PP_gpt2 - 0.336274,RA_ObjRelClauseThat_txl - 0.392617,RA_ObjRelClauseThat_txl - 0.370003,RA_Simple_gpt2 - 0.368663,RA_ObjRelClauseThat_txl - 0.351103,RA_SentComp_gpt2 - 0.321443,RA_Simple_gpt2 - 0.440112,RA_ObjRelClauseNoThat_bert - 0.243575,RA_Simple_txl - 0.243799
3,RA_SentComp_gpt2 - 0.282492,SV_PP_txl - 0.312693,SV_ObjRelClauseNoThat_bert - 0.347739,SV_SubjRelClause_gpt2 - 0.287394,SV_ObjRelClauseNoThat_gpt2 - 0.290019,SV_SentComp_bert - 0.335627,RA_Simple_txl - 0.269564,SV_Simple_bert - 0.257972,SV_SentComp_txl - 0.218238,SV_Simple_gpt2 - 0.294125,SV_SentComp_txl - 0.263297,SV_ObjRelClauseNoThat_txl - 0.326737,SV_SubjRelClause_txl - 0.224988,SV_ObjRelClauseNoThat_gpt2 - 0.306773,SV_Simple_bert - 0.303460,RA_Simple_bert - 0.249969,RA_ObjRelClauseThat_bert - 0.282393,SV_PP_txl - 0.285260,SV_ObjRelClauseNoThat_gpt2 - 0.276725,RA_ObjRelClauseNoThat_gpt2 - 0.287797,SV_SentComp_gpt2 - 0.275531,SV_SentComp_txl - 0.307528,SV_PP_txl - 0.281008,RA_ObjRelClauseThat_gpt2 - 0.318285,RA_Simple_bert - 0.307800,RA_ObjRelClauseNoThat_txl - 0.347161,RA_SentComp_bert - 0.318813,RA_SentComp_gpt2 - 0.415767,RA_ObjRelClauseThat_bert - 0.238158,RA_SentComp_txl - 0.169374
4,RA_ObjRelClauseNoThat_gpt2 - 0.281529,SV_ObjRelClauseNoThat_gpt2 - 0.275005,SV_SubjRelClause_gpt2 - 0.313896,RA_ObjRelClauseNoThat_txl - 0.275935,SV_SubjRelClause_bert - 0.233644,SV_PP_txl - 0.250017,SV_PP_txl - 0.256996,SV_SentComp_txl - 0.227009,SV_ObjRelClauseThat_bert - 0.205416,SV_PP_gpt2 - 0.216997,RA_ObjRelClauseNoThat_txl - 0.259243,SV_SentComp_bert - 0.275082,RA_ObjRelClauseThat_txl - 0.217367,SV_SentComp_bert - 0.254514,SV_ObjRelClauseThat_bert - 0.206280,SV_ObjRelClauseThat_txl - 0.232266,SV_Simple_gpt2 - 0.253346,SV_ObjRelClauseNoThat_bert - 0.271128,RA_ObjRelClauseNoThat_gpt2 - 0.233487,RA_ObjRelClauseNoThat_txl - 0.261688,SV_PP_gpt2 - 0.210109,RA_ObjRelClauseNoThat_gpt2 - 0.251531,RA_ObjRelClauseNoThat_txl - 0.274747,RA_Simple_txl - 0.317981,RA_SentComp_bert - 0.304027,SV_ObjRelClauseThat_txl - 0.342471,RA_ObjRelClauseThat_txl - 0.283473,RA_Simple_txl - 0.247771,RA_Simple_gpt2 - 0.201581,RA_Simple_bert - 0.162888
5,RA_Simple_gpt2 - 0.272048,SV_SentComp_gpt2 - 0.228546,SV_ObjRelClauseThat_gpt2 - 0.260246,RA_ObjRelClauseThat_bert - 0.250093,SV_SentComp_gpt2 - 0.200397,SV_SubjRelClause_txl - 0.229318,SV_SentComp_gpt2 - 0.238224,SV_PP_txl - 0.214540,SV_SentComp_bert - 0.198713,SV_ObjRelClauseNoThat_gpt2 - 0.210447,RA_ObjRelClauseThat_gpt2 - 0.256342,SV_PP_gpt2 - 0.250358,SV_PP_bert - 0.208941,RA_SentComp_gpt2 - 0.212818,RA_ObjRelClauseNoThat_gpt2 - 0.189274,SV_SentComp_txl - 0.199795,RA_SentComp_gpt2 - 0.246282,SV_ObjRelClauseNoThat_gpt2 - 0.259953,SV_PP_bert - 0.224721,RA_ObjRelClauseThat_gpt2 - 0.238500,SV_Simple_bert - 0.145785,SV_SentComp_gpt2 - 0.240269,RA_ObjRelClauseNoThat_gpt2 - 0.191722,SV_ObjRelClauseThat_txl - 0.250619,SV_SentComp_txl - 0.254498,SV_SubjRelClause_txl - 0.208042,RA_Simple_bert - 0.274435,RA_SentComp_txl - 0.194826,RA_SentComp_bert - 0.123410,RA_SentComp_bert - 0.107256
6,RA_Simple_txl - 0.267582,RA_ObjRelClauseThat_gpt2 - 0.222556,SV_ObjRelClauseNoThat_gpt2 - 0.231357,SV_SentComp_gpt2 - 0.247088,SV_SentComp_bert - 0.199160,SV_SentComp_gpt2 - 0.211826,RA_ObjRelClauseNoThat_txl - 0.200469,SV_ObjRelClauseThat_txl - 0.209168,SV_Simple_gpt2 - 0.197313,SV_SentComp_bert - 0.204307,SV_SubjRelClause_bert - 0.235841,SV_SentComp_gpt2 - 0.247044,SV_ObjRelClauseThat_bert - 0.205576,SV_ObjRelClauseNoThat_txl - 0.198950,RA_ObjRelClauseNoThat_bert - 0.182728,SV_SubjRelClause_bert - 0.196225,SV_ObjRelClauseNoThat_txl - 0.234246,SV_SubjRelClause_txl - 0.238607,SV_SentComp_bert - 0.187990,RA_Simple_txl - 0.224249,RA_ObjRelClauseNoThat_gpt2 - 0.142175,RA_ObjRelClauseNoThat_txl - 0.237720,SV_PP_gpt2 - 0.167723,RA_Simple_bert - 0.210882,SV_ObjRelClauseNoThat_txl - 0.241207,SV_ObjRelClauseNoThat_gpt2 - 0.201628,SV_ObjRelClauseThat_txl - 0.251710,RA_ObjRelClauseNoThat_bert - 0.085576,RA_SentComp_gpt2 - 0.119936,RA_Simple_gpt2 - 0.098924
7,RA_ObjRelClauseNoThat_txl - 0.246622,SV_Simple_bert - 0.211503,SV_PP_bert - 0.189096,RA_ObjRelClauseNoThat_bert - 0.243624,RA_ObjRelClauseThat_gpt2 - 0.192038,RA_ObjRelClauseThat_txl - 0.192413,RA_ObjRelClauseThat_bert - 0.200167,SV_SentComp_gpt2 - 0.203429,SV_SentComp_gpt2 - 0.196912,SV_ObjRelClauseThat_txl - 0.202944,RA_Simple_bert - 0.228105,RA_ObjRelClauseNoThat_txl - 0.225761,RA_SentComp_bert - 0.188951,RA_Simple_gpt2 - 0.172852,SV_ObjRelClauseNoThat_txl - 0.176429,SV_PP_gpt2 - 0.184982,RA_ObjRelClauseNoThat_bert - 0.228547,SV_ObjRelClauseThat_txl - 0.214748,SV_ObjRelClauseNoThat_txl - 0.177527,SV_Simple_txl - 0.221944,RA_Simple_gpt2 - 0.136754,SV_PP_bert - 0.197052,RA_Simple_txl - 0.133073,RA_ObjRelClauseNoThat_txl - 0.190949,SV_Simple_txl - 0.189463,SV_ObjRelClauseNoThat_txl - 0.193546,RA_ObjRelClauseNoThat_txl - 0.244942,SV_ObjRelClauseNoThat_txl - 0.083715,SV_PP_txl - 0.113809,SV_ObjRelClauseNoThat_bert - 0.096132
8,RA_ObjRelClauseThat_gpt2 - 0.240291,RA_Simple_gpt2 - 0.200926,SV_SubjRelClause_bert - 0.178794,RA_Simple_txl - 0.227485,SV_ObjRelClauseNoThat_bert - 0.191862,SV_SubjRelClause_bert - 0.191441,SV_ObjRelClauseNoThat_bert - 0.194711,SV_ObjRelClauseNoThat_bert - 0.189735,RA_ObjRelClauseThat_bert - 0.190783,RA_Simple_bert - 0.200524,SV_SentComp_bert - 0.207450,SV_SubjRelClause_txl - 0.217878,SV_SentComp_txl - 0.187974,RA_ObjRelClauseThat_gpt2 - 0.155148,SV_SubjRelClause_txl - 0.172800,SV_PP_bert - 0.174523,RA_ObjRelClauseThat_gpt2 - 0.178133,RA_ObjRelClauseThat_gpt2 - 0.183032,SV_PP_txl - 0.150859,RA_Simple_bert - 0.212623,SV_ObjRelClauseNoThat_gpt2 - 0.122719,SV_Simple_bert - 0.154121,SV_Simple_gpt2 - 0.106724,SV_SentComp_txl - 0.180183,RA_Simple_txl - 0.178470,SV_ObjRelClauseThat_gpt2 - 0.161387,RA_ObjRelClauseNoThat_gpt2 - 0.191869,RA_ObjRelClauseNoThat_txl - 0.073473,SV_SentComp_txl - 0.111316,SV_ObjRelClauseThat_bert - 0.093210
9,SV_PP_gpt2 - 0.216761,SV_ObjRelClauseThat_gpt2 - 0.194285,SV_SentComp_bert - 0.166500,SV_SubjRelClause_txl - 0.212380,SV_ObjRelClauseThat_bert - 0.188726,RA_ObjRelClauseNoThat_txl - 0.158714,SV_ObjRelClauseNoThat_gpt2 - 0.188808,SV_ObjRelClauseThat_bert - 0.180429,SV_ObjRelClauseNoThat_txl - 0.185894,RA_SentComp_bert - 0.199870,SV_Simple_gpt2 - 0.205124,SV_SubjRelClause_bert - 0.196757,RA_Simple_bert - 0.181662,SV_ObjRelClauseThat_bert - 0.144096,SV_ObjRelClauseThat_txl - 0.168503,SV_ObjRelClauseNoThat_bert - 0.170288,SV_PP_txl - 0.167876,RA_SentComp_gpt2 - 0.142102,SV_ObjRelClauseThat_txl - 0.142236,SV_PP_bert - 0.207835,RA_ObjRelClauseThat_gpt2 - 0.110837,SV_ObjRelClauseNoThat_bert - 0.149885,SV_ObjRelClauseThat_gpt2 - 0.099610,SV_Simple_gpt2 - 0.154924,RA_ObjRelClauseThat_gpt2 - 0.172572,RA_Simple_txl - 0.121941,SV_SubjRelClause_txl - 0.150766,SV_SubjRelClause_gpt2 - 0.071813,SV_Simple_txl - 0.096836,RA_ObjRelClauseNoThat_txl - 0.082131
