,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20
0,RA_SentComp_bert - 0.351747,SV_ObjRelClauseNoThat_gpt2 - 0.423832,RA_ObjRelClauseThat_bert - 0.414494,SV_ObjRelClauseThat_gpt2 - 0.434864,SV_PP_bert - 0.511368,SV_SubjRelClause_bert - 0.805334,SV_Simple_gpt2 - 0.417860,SV_SentComp_gpt2 - 0.544739,RA_SentComp_bert - 0.453281,SV_SubjRelClause_gpt2 - 0.676335,SV_Simple_bert - 0.571978,SV_PP_bert - 0.441348,SV_ObjRelClauseThat_gpt2 - 0.557492,SV_ObjRelClauseThat_bert - 0.650010,RA_SentComp_gpt2 - 0.575284,SV_Simple_gpt2 - 0.691315,RA_ObjRelClauseNoThat_gpt2 - 0.531353,RA_ObjRelClauseThat_gpt2 - 0.609872,RA_SentComp_bert - 0.547385,RA_ObjRelClauseNoThat_bert - 0.679866
1,RA_Simple_bert - 0.351266,SV_SubjRelClause_gpt2 - 0.406143,SV_ObjRelClauseThat_bert - 0.403540,SV_ObjRelClauseThat_bert - 0.367038,SV_SentComp_bert - 0.445142,SV_SubjRelClause_gpt2 - 0.349600,SV_SentComp_bert - 0.414198,SV_Simple_bert - 0.501918,RA_Simple_bert - 0.427283,SV_PP_gpt2 - 0.415961,SV_SentComp_bert - 0.455090,SV_ObjRelClauseNoThat_bert - 0.416276,SV_ObjRelClauseNoThat_gpt2 - 0.494891,SV_ObjRelClauseNoThat_bert - 0.453228,RA_ObjRelClauseNoThat_gpt2 - 0.418728,SV_PP_gpt2 - 0.414975,RA_Simple_gpt2 - 0.497737,RA_ObjRelClauseNoThat_gpt2 - 0.424854,RA_Simple_bert - 0.476931,RA_ObjRelClauseThat_bert - 0.674768
2,RA_ObjRelClauseNoThat_gpt2 - 0.343310,SV_ObjRelClauseThat_gpt2 - 0.370750,SV_ObjRelClauseNoThat_bert - 0.402656,SV_ObjRelClauseNoThat_bert - 0.362709,SV_ObjRelClauseNoThat_bert - 0.352617,SV_SentComp_bert - 0.256299,SV_SentComp_gpt2 - 0.333743,RA_Simple_bert - 0.306802,SV_PP_gpt2 - 0.392652,SV_ObjRelClauseNoThat_gpt2 - 0.369053,SV_PP_gpt2 - 0.369527,SV_ObjRelClauseThat_gpt2 - 0.296132,SV_ObjRelClauseNoThat_bert - 0.326104,SV_PP_bert - 0.288072,RA_ObjRelClauseThat_gpt2 - 0.387604,SV_SentComp_gpt2 - 0.408787,RA_Simple_bert - 0.402058,RA_Simple_gpt2 - 0.400624,RA_Simple_gpt2 - 0.465306,RA_Simple_bert - 0.179435
3,RA_SentComp_gpt2 - 0.337664,SV_SentComp_gpt2 - 0.360240,RA_ObjRelClauseNoThat_bert - 0.391909,SV_ObjRelClauseNoThat_gpt2 - 0.326013,SV_ObjRelClauseThat_bert - 0.316460,SV_PP_gpt2 - 0.178772,SV_ObjRelClauseNoThat_gpt2 - 0.330377,RA_SentComp_bert - 0.258023,SV_SentComp_bert - 0.323320,SV_SubjRelClause_bert - 0.266777,RA_SentComp_bert - 0.217167,SV_Simple_gpt2 - 0.281650,RA_ObjRelClauseNoThat_gpt2 - 0.269750,SV_SentComp_bert - 0.223123,RA_Simple_gpt2 - 0.252962,SV_Simple_bert - 0.217400,RA_SentComp_bert - 0.352369,RA_SentComp_bert - 0.258405,RA_SentComp_gpt2 - 0.443508,RA_SentComp_bert - 0.101758
4,RA_Simple_gpt2 - 0.335927,SV_Simple_gpt2 - 0.329380,RA_ObjRelClauseThat_gpt2 - 0.251491,SV_Simple_bert - 0.285532,SV_SubjRelClause_bert - 0.233061,SV_Simple_bert - 0.173505,SV_SubjRelClause_bert - 0.302896,RA_ObjRelClauseThat_bert - 0.215683,SV_PP_bert - 0.323031,SV_ObjRelClauseThat_bert - 0.201021,RA_Simple_bert - 0.210856,RA_ObjRelClauseThat_gpt2 - 0.264038,SV_PP_bert - 0.231284,RA_ObjRelClauseNoThat_gpt2 - 0.193405,RA_Simple_bert - 0.247815,SV_PP_bert - 0.160635,RA_ObjRelClauseThat_gpt2 - 0.270323,RA_SentComp_gpt2 - 0.238582,RA_ObjRelClauseNoThat_bert - 0.156065,SV_ObjRelClauseNoThat_bert - 0.095993
5,RA_ObjRelClauseThat_gpt2 - 0.307418,SV_SentComp_bert - 0.284422,RA_Simple_gpt2 - 0.208762,SV_SentComp_bert - 0.275520,SV_Simple_bert - 0.221437,SV_ObjRelClauseThat_gpt2 - 0.150842,SV_PP_gpt2 - 0.273981,RA_Simple_gpt2 - 0.213456,SV_SentComp_gpt2 - 0.287149,SV_SentComp_bert - 0.148963,SV_ObjRelClauseThat_gpt2 - 0.200016,SV_ObjRelClauseNoThat_gpt2 - 0.263604,SV_SubjRelClause_gpt2 - 0.224758,RA_ObjRelClauseNoThat_bert - 0.189915,SV_PP_bert - 0.244654,SV_ObjRelClauseNoThat_bert - 0.157294,RA_SentComp_gpt2 - 0.268135,SV_ObjRelClauseNoThat_gpt2 - 0.230638,RA_ObjRelClauseThat_bert - 0.141113,RA_Simple_gpt2 - 0.094586
6,SV_PP_gpt2 - 0.281589,SV_Simple_bert - 0.238525,RA_SentComp_gpt2 - 0.204881,SV_PP_bert - 0.241022,RA_ObjRelClauseThat_bert - 0.176923,RA_ObjRelClauseNoThat_bert - 0.140962,RA_ObjRelClauseNoThat_bert - 0.245100,RA_ObjRelClauseThat_gpt2 - 0.198263,RA_ObjRelClauseThat_gpt2 - 0.176028,RA_ObjRelClauseNoThat_bert - 0.146710,SV_PP_bert - 0.186491,RA_ObjRelClauseThat_bert - 0.261432,SV_PP_gpt2 - 0.193891,RA_SentComp_bert - 0.157957,SV_PP_gpt2 - 0.181300,RA_SentComp_gpt2 - 0.128199,SV_ObjRelClauseNoThat_gpt2 - 0.166854,RA_Simple_bert - 0.224746,SV_SubjRelClause_gpt2 - 0.067678,SV_ObjRelClauseThat_bert - 0.091623
7,RA_ObjRelClauseNoThat_bert - 0.234336,SV_PP_gpt2 - 0.165960,SV_Simple_bert - 0.204234,SV_SentComp_gpt2 - 0.237928,SV_ObjRelClauseThat_gpt2 - 0.171817,RA_ObjRelClauseThat_bert - 0.129222,SV_ObjRelClauseThat_gpt2 - 0.225799,SV_SubjRelClause_gpt2 - 0.195523,SV_SubjRelClause_gpt2 - 0.164775,SV_ObjRelClauseNoThat_bert - 0.141218,RA_SentComp_gpt2 - 0.157834,SV_SentComp_gpt2 - 0.250603,SV_ObjRelClauseThat_bert - 0.173885,SV_SubjRelClause_gpt2 - 0.151996,RA_ObjRelClauseThat_bert - 0.162413,RA_ObjRelClauseThat_gpt2 - 0.120498,SV_Simple_gpt2 - 0.066436,SV_ObjRelClauseThat_gpt2 - 0.190328,RA_ObjRelClauseNoThat_gpt2 - 0.053713,RA_ObjRelClauseNoThat_gpt2 - 0.076521
8,SV_Simple_gpt2 - 0.223940,RA_ObjRelClauseThat_gpt2 - 0.144473,RA_ObjRelClauseNoThat_gpt2 - 0.203833,SV_Simple_gpt2 - 0.224067,SV_SubjRelClause_gpt2 - 0.169714,SV_ObjRelClauseNoThat_gpt2 - 0.116177,RA_ObjRelClauseThat_bert - 0.217134,SV_ObjRelClauseThat_gpt2 - 0.171871,SV_ObjRelClauseThat_gpt2 - 0.153420,RA_SentComp_gpt2 - 0.134254,RA_ObjRelClauseThat_gpt2 - 0.144976,RA_SentComp_gpt2 - 0.239665,RA_ObjRelClauseThat_bert - 0.165148,RA_SentComp_gpt2 - 0.150660,SV_Simple_bert - 0.143927,SV_SubjRelClause_gpt2 - 0.116380,SV_ObjRelClauseThat_gpt2 - 0.045408,RA_ObjRelClauseNoThat_bert - 0.093626,SV_SentComp_gpt2 - 0.050485,RA_ObjRelClauseThat_gpt2 - 0.040358
9,RA_ObjRelClauseThat_bert - 0.213796,RA_ObjRelClauseNoThat_bert - 0.130997,SV_SentComp_gpt2 - 0.194742,SV_SubjRelClause_bert - 0.183778,RA_ObjRelClauseNoThat_bert - 0.165042,SV_ObjRelClauseNoThat_bert - 0.099189,SV_ObjRelClauseThat_bert - 0.204430,SV_PP_gpt2 - 0.157107,SV_SubjRelClause_bert - 0.123811,SV_PP_bert - 0.107908,RA_ObjRelClauseNoThat_bert - 0.142074,RA_ObjRelClauseNoThat_bert - 0.220763,SV_SubjRelClause_bert - 0.134294,SV_Simple_bert - 0.145625,SV_SentComp_gpt2 - 0.133590,RA_ObjRelClauseThat_bert - 0.102844,SV_PP_gpt2 - 0.039372,SV_Simple_gpt2 - 0.073912,SV_SentComp_bert - 0.041451,RA_SentComp_gpt2 - 0.037418
