,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20
0,RA_SentComp_txl - 0.341637,SV_SubjRelClause_txl - 0.384739,SV_SubjRelClause_gpt2 - 0.460900,SV_SentComp_txl - 0.420041,RA_Simple_txl - 0.346137,SV_SentComp_gpt2 - 0.653379,SV_ObjRelClauseNoThat_txl - 0.437634,SV_ObjRelClauseNoThat_txl - 0.560874,SV_SubjRelClause_gpt2 - 0.635441,SV_PP_txl - 0.603425,SV_ObjRelClauseThat_gpt2 - 0.579573,RA_ObjRelClauseNoThat_gpt2 - 0.434502,SV_Simple_gpt2 - 0.608249,SV_Simple_txl - 0.654992,RA_ObjRelClauseThat_txl - 0.567188,RA_SentComp_txl - 0.414861,RA_ObjRelClauseNoThat_gpt2 - 0.495563,SV_ObjRelClauseThat_txl - 0.449493,RA_Simple_gpt2 - 0.648045,RA_Simple_txl - 0.710823
1,RA_Simple_txl - 0.326367,SV_ObjRelClauseNoThat_txl - 0.363742,SV_Simple_gpt2 - 0.327936,SV_Simple_txl - 0.398809,RA_ObjRelClauseThat_txl - 0.304656,SV_SubjRelClause_gpt2 - 0.383306,SV_ObjRelClauseThat_gpt2 - 0.401293,SV_PP_gpt2 - 0.497289,SV_ObjRelClauseNoThat_gpt2 - 0.576606,SV_PP_gpt2 - 0.396158,SV_ObjRelClauseNoThat_gpt2 - 0.390619,RA_SentComp_gpt2 - 0.412329,SV_SentComp_gpt2 - 0.436734,SV_SentComp_txl - 0.549135,SV_SubjRelClause_txl - 0.542975,RA_ObjRelClauseNoThat_txl - 0.366347,RA_ObjRelClauseNoThat_txl - 0.390149,RA_ObjRelClauseThat_txl - 0.412765,RA_SentComp_gpt2 - 0.496266,RA_SentComp_txl - 0.639291
2,RA_ObjRelClauseNoThat_gpt2 - 0.316680,SV_ObjRelClauseThat_txl - 0.343936,SV_PP_gpt2 - 0.322220,SV_ObjRelClauseThat_gpt2 - 0.385252,SV_PP_txl - 0.293650,SV_PP_txl - 0.305073,SV_Simple_txl - 0.384314,SV_SubjRelClause_txl - 0.307282,SV_PP_gpt2 - 0.250339,SV_ObjRelClauseNoThat_txl - 0.335123,SV_PP_txl - 0.364753,SV_Simple_gpt2 - 0.358976,SV_PP_gpt2 - 0.297216,RA_ObjRelClauseNoThat_gpt2 - 0.249699,SV_PP_txl - 0.276957,SV_ObjRelClauseThat_txl - 0.356014,RA_ObjRelClauseThat_gpt2 - 0.383169,RA_ObjRelClauseNoThat_txl - 0.372459,RA_ObjRelClauseThat_gpt2 - 0.433826,RA_Simple_gpt2 - 0.136719
3,RA_ObjRelClauseNoThat_txl - 0.310041,SV_PP_txl - 0.325588,SV_ObjRelClauseThat_gpt2 - 0.312393,SV_Simple_gpt2 - 0.317532,SV_PP_gpt2 - 0.272082,SV_Simple_gpt2 - 0.295666,RA_ObjRelClauseNoThat_txl - 0.369865,SV_Simple_gpt2 - 0.230992,RA_SentComp_gpt2 - 0.220498,SV_SentComp_gpt2 - 0.245220,SV_SubjRelClause_gpt2 - 0.322683,SV_PP_gpt2 - 0.314592,RA_SentComp_txl - 0.256754,RA_SentComp_txl - 0.202853,RA_Simple_txl - 0.246395,RA_SentComp_gpt2 - 0.347064,RA_Simple_gpt2 - 0.311220,RA_ObjRelClauseNoThat_gpt2 - 0.315195,RA_ObjRelClauseNoThat_gpt2 - 0.238002,SV_SentComp_txl - 0.114125
4,RA_SentComp_gpt2 - 0.307959,SV_ObjRelClauseNoThat_gpt2 - 0.282228,SV_ObjRelClauseNoThat_gpt2 - 0.310582,SV_SentComp_gpt2 - 0.280839,SV_ObjRelClauseThat_gpt2 - 0.270323,SV_ObjRelClauseThat_txl - 0.293962,SV_SentComp_txl - 0.290927,RA_Simple_gpt2 - 0.222712,SV_SubjRelClause_txl - 0.193019,SV_ObjRelClauseNoThat_gpt2 - 0.230240,SV_SubjRelClause_txl - 0.243892,RA_ObjRelClauseThat_gpt2 - 0.288208,RA_ObjRelClauseNoThat_txl - 0.225162,RA_ObjRelClauseNoThat_txl - 0.184391,SV_ObjRelClauseThat_txl - 0.241425,RA_Simple_txl - 0.283804,SV_ObjRelClauseNoThat_txl - 0.251857,SV_SubjRelClause_txl - 0.304423,SV_ObjRelClauseNoThat_gpt2 - 0.163816,SV_PP_txl - 0.108982
5,RA_Simple_gpt2 - 0.293012,RA_ObjRelClauseThat_gpt2 - 0.262446,RA_ObjRelClauseThat_txl - 0.288820,SV_ObjRelClauseNoThat_gpt2 - 0.271552,SV_SubjRelClause_txl - 0.264003,SV_SentComp_txl - 0.205568,SV_PP_gpt2 - 0.245228,SV_SentComp_txl - 0.199081,SV_ObjRelClauseThat_txl - 0.173599,SV_ObjRelClauseThat_txl - 0.219085,SV_ObjRelClauseThat_txl - 0.239300,RA_Simple_gpt2 - 0.242890,RA_ObjRelClauseThat_gpt2 - 0.200559,RA_Simple_gpt2 - 0.176297,RA_ObjRelClauseNoThat_txl - 0.234487,SV_SubjRelClause_txl - 0.270677,RA_ObjRelClauseThat_txl - 0.238237,RA_ObjRelClauseThat_gpt2 - 0.300600,RA_Simple_txl - 0.134062,RA_ObjRelClauseNoThat_txl - 0.095116
6,RA_ObjRelClauseThat_txl - 0.277926,RA_Simple_gpt2 - 0.248755,SV_ObjRelClauseThat_txl - 0.258691,SV_ObjRelClauseThat_txl - 0.244736,RA_ObjRelClauseNoThat_txl - 0.261923,RA_Simple_gpt2 - 0.146751,SV_PP_txl - 0.222381,RA_ObjRelClauseThat_txl - 0.183161,RA_ObjRelClauseNoThat_gpt2 - 0.155483,SV_SentComp_txl - 0.200342,RA_ObjRelClauseThat_gpt2 - 0.231182,RA_ObjRelClauseNoThat_txl - 0.198670,RA_SentComp_gpt2 - 0.150370,RA_SentComp_gpt2 - 0.169215,SV_SentComp_txl - 0.174603,SV_SentComp_txl - 0.260519,SV_ObjRelClauseThat_txl - 0.216352,RA_SentComp_gpt2 - 0.242896,SV_ObjRelClauseThat_gpt2 - 0.121438,SV_Simple_txl - 0.085717
7,RA_ObjRelClauseThat_gpt2 - 0.262195,RA_SentComp_gpt2 - 0.229696,SV_SentComp_gpt2 - 0.251554,RA_ObjRelClauseThat_gpt2 - 0.223359,RA_SentComp_txl - 0.257965,RA_SentComp_txl - 0.138569,SV_ObjRelClauseThat_txl - 0.198521,SV_ObjRelClauseNoThat_gpt2 - 0.177322,SV_SentComp_txl - 0.116765,RA_SentComp_gpt2 - 0.192622,RA_ObjRelClauseNoThat_gpt2 - 0.186298,RA_SentComp_txl - 0.194886,RA_Simple_txl - 0.143704,RA_ObjRelClauseThat_gpt2 - 0.144462,RA_ObjRelClauseNoThat_gpt2 - 0.125947,RA_ObjRelClauseThat_gpt2 - 0.259267,SV_ObjRelClauseNoThat_gpt2 - 0.202931,RA_Simple_gpt2 - 0.238106,RA_SentComp_txl - 0.093515,SV_SubjRelClause_txl - 0.080066
8,SV_PP_gpt2 - 0.240997,SV_ObjRelClauseThat_gpt2 - 0.200459,SV_SubjRelClause_txl - 0.193664,SV_ObjRelClauseNoThat_txl - 0.184157,RA_ObjRelClauseThat_gpt2 - 0.227366,RA_ObjRelClauseThat_txl - 0.132370,RA_ObjRelClauseThat_gpt2 - 0.184972,SV_Simple_txl - 0.147240,SV_SentComp_gpt2 - 0.091763,SV_SubjRelClause_txl - 0.184353,SV_ObjRelClauseNoThat_txl - 0.144294,SV_SentComp_txl - 0.189687,SV_SentComp_txl - 0.143251,SV_SubjRelClause_txl - 0.126201,RA_SentComp_gpt2 - 0.123144,RA_ObjRelClauseThat_txl - 0.204028,SV_SentComp_txl - 0.191784,SV_ObjRelClauseNoThat_txl - 0.215355,SV_ObjRelClauseNoThat_txl - 0.088560,RA_ObjRelClauseThat_txl - 0.068520
9,SV_SentComp_txl - 0.234242,SV_SentComp_gpt2 - 0.194672,RA_ObjRelClauseNoThat_txl - 0.186192,RA_ObjRelClauseThat_txl - 0.172772,SV_SentComp_gpt2 - 0.227348,SV_Simple_txl - 0.113217,SV_Simple_gpt2 - 0.166029,RA_ObjRelClauseNoThat_gpt2 - 0.146383,RA_Simple_gpt2 - 0.091041,SV_Simple_txl - 0.145700,RA_SentComp_gpt2 - 0.107874,RA_ObjRelClauseThat_txl - 0.177667,RA_Simple_gpt2 - 0.140166,SV_ObjRelClauseNoThat_gpt2 - 0.114986,RA_SentComp_txl - 0.112281,SV_PP_txl - 0.156773,RA_SentComp_gpt2 - 0.184108,SV_ObjRelClauseNoThat_gpt2 - 0.124230,SV_Simple_gpt2 - 0.074948,RA_SentComp_gpt2 - 0.066930
10,SV_Simple_txl - 0.227720,SV_Simple_txl - 0.189336,RA_Simple_txl - 0.178628,RA_ObjRelClauseNoThat_gpt2 - 0.171405,RA_ObjRelClauseNoThat_gpt2 - 0.201037,SV_ObjRelClauseNoThat_gpt2 - 0.099302,SV_ObjRelClauseNoThat_gpt2 - 0.144691,RA_SentComp_gpt2 - 0.143038,RA_ObjRelClauseThat_gpt2 - 0.085586,SV_ObjRelClauseThat_gpt2 - 0.118880,SV_Simple_txl - 0.097826,SV_SubjRelClause_gpt2 - 0.166857,SV_ObjRelClauseNoThat_txl - 0.137178,SV_PP_gpt2 - 0.088227,SV_Simple_txl - 0.110808,SV_Simple_gpt2 - 0.142599,SV_Simple_txl - 0.150481,SV_ObjRelClauseThat_gpt2 - 0.103084,SV_PP_txl - 0.047961,SV_ObjRelClauseThat_txl - 0.066749
11,SV_Simple_gpt2 - 0.204266,SV_SentComp_txl - 0.181694,RA_SentComp_txl - 0.141457,RA_ObjRelClauseNoThat_txl - 0.124550,RA_Simple_gpt2 - 0.196185,RA_Simple_txl - 0.095676,SV_SubjRelClause_txl - 0.124640,SV_SentComp_gpt2 - 0.117670,RA_ObjRelClauseNoThat_txl - 0.076516,RA_ObjRelClauseNoThat_txl - 0.113142,RA_ObjRelClauseNoThat_txl - 0.090513,SV_SentComp_gpt2 - 0.164395,RA_ObjRelClauseNoThat_gpt2 - 0.132455,SV_ObjRelClauseNoThat_txl - 0.072140,SV_ObjRelClauseThat_gpt2 - 0.108551,SV_SentComp_gpt2 - 0.141003,SV_ObjRelClauseThat_gpt2 - 0.129963,SV_PP_txl - 0.091976,SV_SubjRelClause_gpt2 - 0.044820,RA_ObjRelClauseThat_gpt2 - 0.060484
12,SV_PP_txl - 0.153146,RA_ObjRelClauseNoThat_gpt2 - 0.153790,SV_Simple_txl - 0.114659,RA_Simple_gpt2 - 0.118629,SV_ObjRelClauseNoThat_gpt2 - 0.192204,SV_PP_gpt2 - 0.088875,RA_ObjRelClauseNoThat_gpt2 - 0.113835,SV_ObjRelClauseThat_gpt2 - 0.110321,RA_ObjRelClauseThat_txl - 0.071989,SV_SubjRelClause_gpt2 - 0.107979,RA_ObjRelClauseThat_txl - 0.069918,SV_ObjRelClauseThat_gpt2 - 0.156585,RA_ObjRelClauseThat_txl - 0.132084,SV_Simple_gpt2 - 0.061364,SV_SentComp_gpt2 - 0.092524,SV_PP_gpt2 - 0.116787,SV_PP_gpt2 - 0.111514,SV_SentComp_txl - 0.051164,RA_ObjRelClauseNoThat_txl - 0.031114,SV_Simple_gpt2 - 0.026702
13,SV_SentComp_gpt2 - 0.070930,SV_SubjRelClause_gpt2 - 0.147020,RA_ObjRelClauseNoThat_gpt2 - 0.110357,SV_SubjRelClause_txl - 0.108245,SV_ObjRelClauseThat_txl - 0.176242,RA_ObjRelClauseThat_gpt2 - 0.078726,RA_SentComp_txl - 0.067657,SV_SubjRelClause_gpt2 - 0.108394,SV_ObjRelClauseThat_gpt2 - 0.071178,RA_ObjRelClauseNoThat_gpt2 - 0.093311,SV_Simple_gpt2 - 0.063498,SV_Simple_txl - 0.150702,SV_ObjRelClauseThat_gpt2 - 0.121711,SV_ObjRelClauseThat_gpt2 - 0.038681,SV_Simple_gpt2 - 0.084143,SV_ObjRelClauseThat_gpt2 - 0.112657,SV_Simple_gpt2 - 0.110260,SV_Simple_txl - 0.049265,RA_ObjRelClauseThat_txl - 0.030589,RA_ObjRelClauseNoThat_gpt2 - 0.025434
