,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10
0,RA_ObjRelClauseNoThat_txl - 0.386980,SV_SubjRelClause_txl - 0.449504,SV_SentComp_txl - 0.534710,SV_PP_txl - 0.558420,SV_ObjRelClauseNoThat_txl - 0.653765,SV_Simple_txl - 0.553400,RA_ObjRelClauseNoThat_txl - 0.503897,RA_ObjRelClauseThat_txl - 0.496260,RA_ObjRelClauseThat_txl - 0.545979,RA_Simple_txl - 0.751211
1,RA_ObjRelClauseThat_txl - 0.376354,SV_ObjRelClauseNoThat_txl - 0.442445,SV_Simple_txl - 0.516031,SV_ObjRelClauseThat_txl - 0.468053,SV_PP_txl - 0.551560,RA_SentComp_txl - 0.459926,SV_SentComp_txl - 0.414220,SV_SubjRelClause_txl - 0.466432,SV_ObjRelClauseThat_txl - 0.543451,RA_SentComp_txl - 0.621289
2,RA_SentComp_txl - 0.359096,SV_ObjRelClauseThat_txl - 0.439015,RA_ObjRelClauseThat_txl - 0.402452,SV_ObjRelClauseNoThat_txl - 0.443827,SV_SubjRelClause_txl - 0.382154,RA_ObjRelClauseNoThat_txl - 0.371056,SV_SubjRelClause_txl - 0.407274,SV_SentComp_txl - 0.434684,RA_ObjRelClauseNoThat_txl - 0.468014,RA_ObjRelClauseNoThat_txl - 0.103287
3,RA_Simple_txl - 0.347978,RA_Simple_txl - 0.376192,SV_ObjRelClauseThat_txl - 0.312466,RA_ObjRelClauseNoThat_txl - 0.273745,SV_SentComp_txl - 0.270723,SV_SentComp_txl - 0.353543,RA_SentComp_txl - 0.336252,SV_Simple_txl - 0.336789,SV_SubjRelClause_txl - 0.291095,SV_PP_txl - 0.099136
4,SV_Simple_txl - 0.344456,RA_SentComp_txl - 0.352908,RA_ObjRelClauseNoThat_txl - 0.292776,SV_Simple_txl - 0.268324,SV_Simple_txl - 0.154064,RA_ObjRelClauseThat_txl - 0.275309,SV_ObjRelClauseThat_txl - 0.326903,SV_PP_txl - 0.289468,SV_ObjRelClauseNoThat_txl - 0.274352,SV_SentComp_txl - 0.090254
5,SV_SentComp_txl - 0.342392,SV_PP_txl - 0.303320,SV_PP_txl - 0.236013,SV_SubjRelClause_txl - 0.221974,RA_ObjRelClauseNoThat_txl - 0.112609,SV_SubjRelClause_txl - 0.241599,SV_Simple_txl - 0.294817,RA_Simple_txl - 0.254763,SV_PP_txl - 0.095397,RA_ObjRelClauseThat_txl - 0.086752
6,SV_PP_txl - 0.280799,RA_ObjRelClauseNoThat_txl - 0.172515,SV_ObjRelClauseNoThat_txl - 0.162228,RA_ObjRelClauseThat_txl - 0.208570,RA_ObjRelClauseThat_txl - 0.068007,RA_Simple_txl - 0.229127,SV_PP_txl - 0.208556,SV_ObjRelClauseThat_txl - 0.177000,SV_Simple_txl - 0.083954,SV_Simple_txl - 0.069711
7,SV_SubjRelClause_txl - 0.259019,RA_ObjRelClauseThat_txl - 0.143430,RA_Simple_txl - 0.124506,SV_SentComp_txl - 0.155075,RA_SentComp_txl - 0.061862,SV_ObjRelClauseNoThat_txl - 0.124228,RA_Simple_txl - 0.191416,RA_ObjRelClauseNoThat_txl - 0.160781,SV_SentComp_txl - 0.074958,SV_SubjRelClause_txl - 0.066009
8,SV_ObjRelClauseThat_txl - 0.211051,SV_Simple_txl - 0.028726,SV_SubjRelClause_txl - 0.068165,RA_SentComp_txl - 0.089972,SV_ObjRelClauseThat_txl - 0.047876,SV_PP_txl - 0.105730,SV_ObjRelClauseNoThat_txl - 0.147149,RA_SentComp_txl - 0.138961,RA_SentComp_txl - 0.066101,SV_ObjRelClauseThat_txl - 0.062641
9,SV_ObjRelClauseNoThat_txl - 0.179448,SV_SentComp_txl - 0.015107,RA_SentComp_txl - 0.017545,RA_Simple_txl - 0.016113,RA_Simple_txl - 0.043358,SV_ObjRelClauseThat_txl - 0.079157,RA_ObjRelClauseThat_txl - 0.001467,SV_ObjRelClauseNoThat_txl - 0.092760,RA_Simple_txl - 0.037261,SV_ObjRelClauseNoThat_txl - 0.019317
