SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-7.392360880399997,-8.596774153399997,-8.192717387399997,-7.682136230200006,-7.754407368200012,-6.856036856539992,-8.19779334160001,-6.947965736740002,aboriginal
-6.508537177179992,-8.802748088399998,-6.913461120959996,-7.802555841639992,-7.288833623199986,-6.454660552640003,-7.812597225999981,-6.299263819346002,absentee
-6.755007673681992,-9.583661353599997,-7.017954276679999,-8.873557977599988,-7.683636778999994,-6.936795101600014,-8.092956063400004,-6.995280600017997,accuser
-7.072409139399997,-9.383079521599974,-7.760509514999997,-8.35010031654001,-7.427623255340004,-7.783719355199997,-8.009861828399995,-7.2798463105199955,ace
-6.489321391900003,-8.60834364019999,-6.9290393928599965,-7.626802879340008,-7.173141916999997,-6.187596405434013,-7.642144163999983,-6.1594574790560035,achiever
-7.478099421599997,-9.225457221800005,-8.235566107999999,-8.216065457999996,-7.870713911400001,-7.984902582360003,-8.5276267124,-7.402184179499995,acquaintance
-7.244855238799992,-9.234716532999993,-8.016040294000009,-8.118394227799994,-7.644448011999992,-6.467263549319985,-8.009691216800004,-6.5732394738200055,addict
-6.298736775000008,-8.808251303599992,-6.5688998071999976,-8.029781304400005,-7.620827743399983,-7.460762463959994,-8.293234865599992,-7.011125194479993,adherent
-6.886664564740014,-9.558308280800007,-7.356134005939995,-8.590748963000003,-7.530248094599988,-7.648544335440001,-7.963881838200002,-7.219649086100007,administrator
-7.073784719120008,-9.827178328600016,-7.442906564159995,-8.829934208199983,-7.648896979800012,-6.798444546194003,-8.002622954800009,-6.623408523712798,admirer
-7.161926361640002,-8.903027502399983,-8.000557669000017,-7.942915400999997,-7.767997510199992,-7.62940146565999,-8.4213280142,-7.264323388220007,adolescent
-7.276039079400007,-9.052354406000006,-7.905950043000005,-8.027728834919987,-8.322639156799994,-7.024047044487988,-8.728087012,-6.923681984687987,adult
-7.247513544940008,-9.119074273800004,-8.06626516988001,-8.035598992279997,-7.5109199954000125,-6.719354056610005,-7.9309535099999975,-6.8696092193420055,adventurer
-7.0732491188000095,-9.5092273706,-7.787753723599996,-8.390081816,-7.4681204791999924,-7.5687065298000125,-8.049087109799999,-7.138687688960007,advocate
-6.45695854021999,-10.018559719000002,-6.760971135080007,-9.016294885400002,-7.6742159095999805,-6.758515632189997,-8.04318505460001,-6.5228216727600055,agent
-7.7319932978599875,-9.0966701198,-8.727187788799997,-8.176637083,-7.651274271599991,-7.0034082703799925,-8.220140358400002,-6.986763162840006,aggregator
-6.984415814600009,-9.59260114800001,-7.469718160599997,-8.438273465799993,-7.860407211600003,-7.291510148400008,-8.399369465799992,-6.936768147800009,alien
