SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-7.345706440399997,-8.344108615599989,-8.018724049,-7.633282594400015,-7.495999556799995,-6.60180606800001,-7.873079457999991,-6.3106110547999945,aboriginal
-6.3888929041999925,-9.0125028198,-6.647327183000008,-8.182190487799998,-7.254144149400019,-6.442283377359997,-7.693950621200006,-6.167099381479981,absentee
-6.6696857026800025,-9.534136501999976,-7.1096675290600055,-8.730933787600001,-7.483071315799997,-7.1278754010800025,-8.000922393999994,-6.79575457640801,accuser
-7.173739701200002,-9.278524735799985,-7.936098088800002,-8.287288649600015,-7.543965361400017,-7.724606554399991,-8.090122303800008,-7.221865855399995,ace
-6.225892404059997,-8.702964378399985,-6.5854751970000045,-7.991177189800003,-6.99159289160001,-5.8511321536400045,-7.412322592399992,-5.6837903017599904,achiever
-7.638102816600008,-9.258388463800015,-8.467257227000012,-8.414105901600001,-7.788382053199986,-7.834057737000005,-8.399440323999993,-7.310446867399987,acquaintance
-7.200522044799986,-8.822835112999982,-7.8796630919999835,-7.9504257429999905,-7.601002340599995,-6.349286009859988,-7.957322241399999,-6.141165780719995,addict
-6.345875088940003,-8.965298199800017,-6.64914904365998,-8.168737641800018,-7.452927327000007,-7.457749272179996,-8.086567899599999,-6.948304958220001,adherent
-6.776473943380001,-9.130946034400006,-7.371905201999994,-8.326164904199999,-7.307880072200009,-7.471734951520003,-7.730133951599988,-6.981728178420003,administrator
-6.6556288765200025,-9.914807004999988,-7.043846996000004,-9.024007439399993,-7.4330481225999865,-6.574126176940001,-7.811662117199996,-6.3523533627199935,admirer
-7.522468570999986,-9.062145091800012,-8.3014249344,-8.2581919418,-7.62762706639999,-7.532161326699997,-8.129774136399984,-7.044076447999996,adolescent
-7.324735340000019,-8.869985669,-8.008406053600002,-8.053613385199993,-8.026820456800015,-6.743489378139997,-8.462777877599994,-6.385091388560004,adult
-7.034670675439996,-8.595455008800009,-7.770366694600006,-7.83489180627998,-7.1867463508000045,-6.261276887259992,-7.468978136799996,-6.1114400825000015,adventurer
-6.832666442999997,-8.907232736600006,-7.482250157200007,-8.167808284200003,-7.391718273200004,-7.170761195080018,-7.938290082000004,-6.747558998119999,advocate
-6.430892590120008,-9.937103107999977,-6.7298158305799785,-9.154896120999982,-7.7397224239999955,-6.84722794710801,-8.140211550599997,-6.5938620782499955,agent
-7.561538658600013,-8.965285886800004,-8.350573265200001,-8.147944762600003,-7.780350058999993,-7.114695169999999,-8.2823440454,-6.836251758799998,aggregator
-6.649133972659995,-9.451438995999991,-7.186026411599996,-8.608065694999999,-7.466675287800013,-6.8299625775199875,-8.008148177199992,-6.516110168159994,alien
-6.976531590059987,-8.915535576800005,-7.654725815,-8.089083712999996,-7.390621680200006,-7.365830257603999,-7.928651178600013,-6.848066539577986,amateur
-7.172428565000006,-9.459939335399998,-7.901332870199993,-8.621975517000006,-7.575728507999988,-8.212951432399995,-8.17882667920001,-7.664829655999997,analyst
-7.375084509400003,-8.739238292800003,-8.168546367399996,-7.966683281599996,-7.360312424800003,-6.538956234799994,-7.80231412660001,-6.359680374399997,anarchist
-7.453460232000003,-9.165039451200009,-8.151378112600005,-8.374508087400004,-7.768862257799999,-7.613690580259992,-8.326304570199996,-7.1542650025999865,ancestor
-7.306805539199985,-9.037627383600027,-8.0153320196,-8.318057350999997,-7.665169241200003,-6.8377652524000085,-8.073592676400011,-6.681119220399999,ancient
-6.501103568340006,-10.068686254800006,-6.940479697879986,-9.191133942200004,-7.3506260018000065,-6.824292714059996,-7.7697447739999905,-6.560636327660003,angel
-6.732384240199988,-9.440665293200027,-7.156548347819995,-8.54092662340001,-7.900770077800004,-6.743365019320012,-8.489893568599996,-6.382396228524008,animal
-6.999929921800005,-8.302901086200016,-7.707550620399997,-7.6542225709999965,-7.186262296800004,-6.435726497120004,-7.464278131400008,-6.268585423759997,animator
-6.966407000939987,-9.23649729520003,-7.500398754999992,-8.611852116599987,-7.595330923599996,-6.934593397860002,-7.8868407257999955,-6.736971807159994,announcer
-6.546196026600011,-8.682934668600007,-7.2010528148000015,-7.876042517600012,-7.311154971400009,-6.5525317035000015,-7.759639203800014,-6.260988477320003,antagonist
-6.999224363360008,-9.015656049000002,-7.7638031554,-8.142217911800014,-7.458334707800004,-7.4510207469999905,-8.080067031199981,-7.0600031477199865,ape
-6.322936368799992,-9.637335519800004,-6.586774986200003,-8.852615544799988,-7.336190787600003,-6.702554958400005,-7.782497725600001,-6.4280498585399934,apologist
-6.872028036100004,-8.657173058400017,-7.608377302920009,-7.882924215400003,-7.487007023399994,-6.466778689656,-7.932938400199998,-6.130459533168002,applicant
-5.948126851880003,-9.118191327799996,-6.0853668255000075,-8.335827412400004,-7.283078497199999,-6.2721886181720095,-7.607169467799998,-6.039082778432006,appointee
-7.354255730199997,-9.435691673600004,-7.941311216800015,-8.525612909200012,-7.688125108599997,-7.793425865999997,-8.380186658399989,-7.2976993886000034,appointment
-7.1972054112,-9.148037793200002,-7.977650650599988,-8.288511117000006,-7.488302357600004,-7.223270864759993,-8.069583502000004,-6.7736546428400075,archer
-6.102999849599995,-9.225159357800026,-6.4969754036200085,-8.493426947400014,-7.237466339999991,-6.760881738839991,-7.618566058400008,-6.415985795991994,architect
-6.1387801606599925,-8.963572855999997,-6.368738490200001,-8.257353014200001,-7.372673977200002,-6.4244943820119955,-7.7459703920000065,-6.074377723766018,artist
-6.331582466079992,-9.486532117599985,-6.512078442279995,-8.711661727000006,-7.675308071399987,-6.530367555580008,-7.995780546599994,-6.31717421886001,assignee
-6.853011668400012,-9.393133903200004,-7.217244983560008,-8.599200949600007,-7.334679730000002,-6.929960545460006,-7.704892455400006,-6.547350292360009,assistant
-6.792850301800001,-8.957119471399993,-7.401504196599994,-8.074241735799985,-7.437637918000003,-7.0716055934599975,-7.894073986600004,-6.654520288559994,associate
-6.992003257,-9.531124780199999,-7.473556406600003,-8.852174057199996,-7.611353461400001,-6.964246511000012,-8.028605516199995,-6.715846841400012,asthmatic
-6.696925893939986,-8.587208463800005,-7.474469538700005,-7.853026814400003,-7.321212807600004,-7.314584547099999,-7.902860680600016,-6.887640644360009,astronaut
-6.576608664459997,-9.085455314599995,-7.183917999839983,-8.232397721599995,-7.366756782799995,-6.9759292453060056,-7.8574964361999955,-6.5787838398120115,athlete
-7.852783552399992,-9.832427978600004,-8.416229008000004,-8.687404878599995,-7.887141206399986,-7.3336592684000115,-8.582991494799996,-6.883140243999994,attraction
