SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-5.8466725023999935,-6.577971216199992,-6.619019761600003,-5.574908436179997,-7.327194669399992,-5.498465720079997,-7.582542205000005,-5.365603051319995,aboriginal
-5.132880090840004,-7.854403097199992,-5.423442551399996,-6.540670628200004,-6.930371507600001,-4.9059323878399965,-7.194515390000007,-4.727165879940004,absentee
-4.808053611140005,-8.152947689800007,-4.78032860852,-7.2655810701999926,-6.965189291000006,-5.230320194219992,-6.974666047399988,-4.946033886780001,accuser
-5.671383288860003,-8.372084996599998,-6.001475402120002,-7.547096618599997,-7.351208443400009,-5.9655993997399985,-7.3944246657999875,-5.768376879400001,ace
-4.6391132654800025,-7.5009152825999985,-4.842741079039996,-6.607521137199985,-6.657043050199995,-4.709615405315999,-6.8839667258000015,-4.515466783971997,achiever
-5.72019230668,-8.417149439800005,-5.861562094200004,-7.087869966399998,-7.5403816128,-5.402463034430001,-7.465160022200004,-5.009761920022004,acquaintance
-4.8593786043600025,-7.832454422599998,-4.902656398328003,-7.2146486882000005,-7.0940091188,-5.084992293013199,-7.149976365800005,-5.008998968077397,addict
-5.076154761639994,-7.598936047800004,-5.371061197000008,-6.524696514199997,-6.940795394600007,-4.771223283188797,-6.99075936,-4.631488884734591,adherent
-5.601138742360004,-8.843652011799989,-5.697112551920003,-8.029247112599997,-7.059236752799992,-6.735879918519987,-7.2031640607999945,-6.339420235080002,administrator
-5.301857573379997,-8.355168762399991,-5.293457864079995,-7.470647733399995,-7.377607538599994,-5.338914915479989,-7.291397092800013,-5.099194567089996,admirer
-5.2838110858400045,-8.362347952800008,-5.393890649399999,-7.113289040199999,-7.384902609599997,-4.9436317510400025,-7.393796863199992,-4.8038346524899955,adolescent
-5.549397894699997,-8.227800979400003,-5.798082261480001,-7.1472729172000005,-7.941999428199992,-5.28159733536,-7.896038617200005,-5.155115638399998,adult
-5.061950434992,-8.569702700800006,-5.008294214699999,-7.786536574399995,-7.5646815414000015,-5.8336379359200095,-7.5521882318,-5.713132870600004,adventurer
-6.175063302799993,-8.548351929800003,-6.447770332719999,-7.659469424599997,-7.2693416903999974,-5.963249130340004,-7.3237864234000005,-5.5812948480600015,advocate
-5.454501333419992,-8.692940885400006,-5.401599454980004,-7.930460336399992,-7.441556193399999,-6.1465548925699975,-7.378718602199999,-5.855206461088001,agent
-5.998837760320004,-8.002867355600001,-6.503397142799993,-7.0504777734000035,-7.511564838400002,-5.74938041512,-7.600940179599999,-5.529942496480002,aggregator
-5.625434921500001,-8.260980960000005,-5.830230352099989,-7.184924292600004,-7.627059410000008,-5.893514992760017,-7.80468412299999,-5.660281903,alien
-4.975230455140002,-8.2433609082,-5.3442340254199925,-6.993721659000004,-6.904085629799996,-5.290589862960001,-6.920116427799997,-5.090612110579998,amateur
-5.589445510260005,-9.027695761800002,-5.596330168199992,-8.292986139000003,-7.502610036200008,-6.832848677363992,-7.5649628931999935,-6.529446169674006,analyst
-4.708938613599993,-8.056383941999997,-4.911679871091997,-6.975015157799988,-7.0041588632000025,-5.585991664804996,-7.109304224799999,-5.353907778344998,anarchist
-5.2308688397799985,-7.773604885799997,-5.334072692939995,-7.096639293800004,-7.4453568092,-5.109712911940002,-7.7160871378000015,-5.02588490551,ancestor
