SG_SG,SG_PL,PL_SG,PL_PL,sent
-7.020745633400005,-7.757327572599996,-7.703189994199982,-5.9184640732199965,aboriginal
-5.50723531452001,-8.401350128600013,-7.647950152199991,-5.0637059245205975,absentee
-5.041051921259993,-9.066098230599996,-7.2209601445999985,-5.565125028630002,accuser
-5.9832471903939926,-9.611553945200036,-7.9826516340000016,-6.241821251812191,ace
-5.452989189220004,-8.517760097399997,-7.137141483199997,-5.280071184088602,achiever
-6.069775348719991,-8.901871507399994,-7.80889327300001,-5.5033253943079945,acquaintance
-5.2178276240600034,-8.937154819400027,-7.710990135399992,-5.576586702659999,addict
-5.5977479661199965,-8.414522463399983,-7.103275812399999,-5.060554853144006,adherent
-5.578137080720007,-9.78412166179998,-7.350608212400018,-6.88611403245,administrator
-5.320377210239989,-9.307360096999986,-7.8005555648000096,-5.513798155194597,admirer
-5.419836479600001,-8.734559673999993,-7.5296181173999965,-4.866229856251995,adolescent
-6.571024911599995,-9.039319767199995,-8.569803244599992,-5.673808041440407,adult
-4.724865038389998,-9.420551118800027,-7.516251761200008,-5.783914214499995,adventurer
-6.318123077571995,-9.273641270199985,-7.33132367239999,-6.024447324127993,advocate
-5.5258015600399855,-9.62466334720001,-7.805492638199987,-6.189212260394005,agent
-6.887864797800004,-9.186086478799997,-8.1427352712,-6.429170486199991,aggregator
-5.456556243699998,-9.19583099480002,-7.7351553313999935,-6.279311189126608,alien
-5.775950992179997,-9.250096864200005,-7.0087027993999955,-5.580866940627994,amateur
-5.188081326439996,-9.802268579399989,-7.4983390115999935,-6.518272344963981,analyst
-4.9504340094280055,-8.869556912200004,-7.2971179496000005,-5.8352750033160055,anarchist
-5.477192983960004,-8.642944569400013,-7.499634806599996,-5.449573207347995,ancestor
-6.337174083413997,-9.252980675800002,-8.028448345200005,-6.25604851069861,ancient
-5.4071801320800095,-9.643812631000012,-7.551625007999993,-6.06133887318,angel
-6.162755953200008,-8.571170719000001,-8.259970591799982,-5.401062093440008,animal
-4.610019784660005,-8.111886812600003,-6.9100862591999945,-5.9212949219799995,animator
-6.220301821160005,-9.5055884768,-8.160307777799993,-6.682668946540002,announcer
-5.1659494312000005,-8.705393222400003,-7.354858702800006,-6.0510388949000085,antagonist
-5.71123691254,-8.985237914800019,-7.643487825599996,-5.761700035460003,ape
-5.30352338395999,-9.345058372999961,-7.482532261600006,-6.2883290178600015,apologist
-4.541157126000002,-8.099053491200003,-7.454319551199995,-4.727382321115003,applicant
-4.974787015220006,-9.006320449999986,-7.183092681599996,-5.603875491967997,appointee
-8.030791236799995,-9.711441914599998,-8.859689430600005,-7.19044426,appointment
-5.200901016200003,-9.9497298856,-7.8587673875999995,-5.823572446080006,archer
-4.839130738630008,-9.223530532999996,-7.016764995799992,-5.519117085432407,architect
-4.492002718659991,-8.224437776799991,-7.238909125800006,-4.810182378882731,artist
-5.2524032072,-9.010089711000001,-7.5107044258,-5.655993889374003,assignee
-5.570078499660013,-9.184095048200003,-6.958763773799994,-5.915282082929801,assistant
-5.7573183984200025,-9.155737775399981,-7.354830072400006,-5.784882094056,associate
-6.036348537139992,-9.081590588599992,-7.715198039999987,-5.910715537956003,asthmatic
-4.89033242184001,-9.027570402799984,-7.219206695399986,-5.886664271757401,astronaut
-4.516289194800003,-8.545079820600023,-7.528153641,-4.636800986372403,athlete
-8.403123043000008,-9.121107898800009,-9.616734927199989,-6.5671872576000085,attraction
-5.1054398721000105,-8.917695206600005,-7.23205505260001,-6.1065701720799845,auditor
-4.834016940432,-8.908034197800006,-7.360151367600006,-5.7096136323999955,author
-6.647705364399999,-8.4700505714,-7.478651170200013,-7.263088975000001,authority
-5.393737212959994,-8.579004545200009,-7.2394466530000114,-5.388330839074005,avatar
-6.558539406400008,-8.863951241599992,-8.505069716999989,-5.427533724938599,baby
-7.804716588599995,-8.098396926600001,-8.171023475399988,-6.320718931512007,balance
-5.296735738737994,-9.964051401200019,-7.831092504799999,-6.243158479328394,banker
-5.052745179770001,-9.20902466859999,-7.262638079800012,-6.110710428764612,barbarian
-5.883465834020004,-8.793245673200005,-7.899307154799978,-5.576549794365796,bather
-5.023459799589993,-8.701259788799991,-7.165957703400013,-5.418877041398994,bearer
-6.320466854880001,-9.264033593200017,-8.388608909999991,-5.913401794179403,beast
-6.165351867040003,-9.012469325600009,-7.600255693400005,-6.183317415055197,beater
-5.672146962280014,-8.573158948200005,-7.671034921200015,-5.5223527453376064,beginner
-4.809799327189998,-8.595246198400003,-7.036755886000007,-5.43947980903879,beholder
-5.9746388754000055,-8.426023652599984,-7.930489218000008,-5.706259299570401,being
-5.11724138968,-8.363299086600001,-6.994450403799997,-4.92406303918,believer
-6.218738507600006,-9.25715914859999,-7.897626530599997,-5.6046986874999885,beloved
-5.3894364892559965,-9.196229268799982,-7.722842055400005,-5.924143233851991,benefactor
-5.412273005000004,-8.863700525599988,-7.673534501599987,-5.6949894488400075,bidder
-4.997528149686012,-9.8771442164,-7.740954754599997,-5.901325610359257,billionaire
-5.157295596767995,-9.923938916200008,-7.694095062000008,-6.078371832525124,biologist
-6.941571224400005,-8.677125614600019,-7.701000333599996,-5.576170866714004,bisexual
-6.054515979089996,-9.39713234819998,-7.758300331400004,-5.969769019755197,biter
-6.145225917799992,-9.347698621600008,-8.242538423599989,-6.185887548100003,blogger
-7.577846154400027,-10.237458955799992,-8.956982312000001,-5.955401335836007,blonde
-5.472188316939994,-8.769904007000012,-7.566660727200012,-5.8180500614519985,boater
-7.523772903799994,-8.705807494799991,-9.230915219,-5.766448053451003,body
-6.515043121219997,-9.221372341400011,-8.216606380000025,-6.287176297339991,bomber
-7.621697115599999,-8.874964909600012,-9.54826155159999,-6.802061185020013,boob
-5.683430214800001,-8.911881232999999,-7.57549083499999,-5.765900177931996,bookmaker
-6.378314280800001,-8.803502433400023,-7.533565159200001,-5.831707682776594,boomer
-7.164417021059996,-9.0011669288,-8.316230935799991,-6.606795468092594,booster
-5.3523181425720034,-9.62566398339999,-7.294225634399988,-6.494203243439996,boss
-5.121815920793998,-9.548181809000015,-7.23310057860001,-6.1982134503229975,boxer
-5.143174465460009,-9.217945985400002,-7.4578534647999914,-5.894885048240018,brawler
-6.0921417868199965,-8.753674974999992,-7.770743003800009,-5.9952879232392,broadcaster
-7.9301959663999995,-10.089160823399984,-9.084380331400007,-5.783407534627916,brunette
-5.221280300725993,-9.868162266200004,-7.456220096800005,-6.077895324883999,brute
-5.707186987620005,-9.641136998800015,-7.675586881599996,-5.968238062961394,buddy
-6.0290822299480125,-9.212036892200002,-7.553799777800004,-6.590177438362807,buff
-4.947676200440002,-9.030074167000002,-7.102782722199987,-5.662469225359995,builder
-6.327242138559999,-9.1157710438,-7.9250723696000005,-6.370254507017982,bull
-5.1232083474620005,-9.111956410400005,-7.412558512000005,-5.591988364599319,bum
-4.343253692427996,-8.845502692600023,-6.852825445799999,-5.357822207459996,busker
-6.21909232132,-9.075680558400007,-7.590876002999997,-6.477012048569993,buster
-5.831868409019995,-10.007332368600004,-8.205454546200004,-5.801965398858707,caller
-4.808449982600003,-8.283081081199995,-7.722888114599992,-4.683585435190722,candidate
-5.1395523655800135,-8.802881978000016,-7.270032118799998,-5.799810307879992,capitalist
-4.813330975650008,-9.870179117400003,-7.425482480399988,-5.671100977762006,captain
-5.533801130899991,-8.791218046200003,-7.793834036199999,-5.123374837985988,captive
-5.149214143540016,-9.617502010000015,-7.481297320399997,-5.8082509420199875,captor
-7.062078551600004,-9.15866164199999,-8.198638189400008,-5.996161772780018,carrier
-6.119947534720005,-9.374591595000012,-8.587927459999994,-6.089429912280003,cashier
-5.960591858740001,-9.023111842599997,-7.849382668000008,-5.9068616219692025,caster
-7.504530017400013,-9.013887628599997,-8.692855855999996,-6.224603031760008,catalyst
-8.660678108599987,-9.609632355,-9.2908452538,-6.654920586000007,category
-5.8247619489999884,-9.163241469600006,-7.914336264199999,-5.962491907345999,challenger
-5.1665231689199995,-8.798825314000009,-7.809184172599987,-5.5638002104200055,champion
-5.906783897800005,-9.022959930800011,-7.529868910200004,-5.678813121590007,changer
-5.364980016996004,-9.248321672000008,-7.723715467799997,-6.322201673130009,chap
-5.171826592439998,-7.997349702799994,-7.518051941799991,-5.0869633574493065,character
-5.57372697426,-9.6601072602,-8.0771859556,-6.056507576099522,charmer
-5.154806291979985,-9.234351024800002,-7.656505968999999,-6.171990819299997,chemist
-6.174306083499992,-8.44675748859999,-8.360332623400001,-5.861037327403995,chicken
-5.364553552959994,-9.771020722799976,-7.3785346351999985,-6.090882106959992,chief
-5.106920869765992,-9.2909872128,-7.352891389199997,-5.9572844947400085,chieftain
-5.5140611433399975,-8.555981723199992,-8.056503247600006,-5.179012474620009,child
-5.089510450480002,-8.809619891600008,-7.3320852164000145,-5.599398414511998,choreographer
-6.329527525199994,-8.224564179200005,-7.6742447872000055,-6.037320497040003,chum
-5.381025796419988,-8.558240182999999,-8.011687149200009,-5.314412870230004,citizen
-4.727632416059997,-8.878913805600007,-7.761189352199995,-4.958212961891997,claimant
-8.081337050999988,-7.297732490640013,-9.346028414600001,-6.301197531864602,class
-5.7755104515800095,-9.063483132000007,-8.0653392076,-5.534145669564005,classmate
