s,p,sent,s_freq,p_freq,freq
0.7365819391999908,1.7847259209799855,aboriginal,830,72,902
2.8941148140800035,2.5842442276793935,absentee,111,6,117
4.025046309340003,1.6558351159699969,accuser,39,38,77
3.6283067548060437,1.7408303821878102,ace,1494,295,1789
3.0647709081799928,1.8570702991113954,achiever,25,6,31
2.8320961586800033,2.305567878692015,acquaintance,373,218,591
3.719327195340023,2.134403432739993,addict,145,72,217
2.8167744972799866,2.042720959255993,adherent,66,352,418
4.205984581079974,0.46449417995001774,administrator,782,492,1274
3.9869828867599972,2.2867574096054124,admirer,270,182,452
3.314723194399992,2.6633882611480013,adolescent,335,209,544
2.4682948556,2.8959952031595853,adult,5529,3574,9103
4.695686080410029,1.7323375467000135,adventurer,192,152,344
2.9555181926279896,1.306876348271997,advocate,1365,653,2018
4.098861787160024,1.6162803778059818,agent,5241,3117,8358
2.2982216809999922,1.713564785000008,aggregator,443,12,455
3.7392747511000213,1.4558441422733859,alien,3286,1309,4595
3.4741458720200082,1.427835858772002,amateur,2233,232,2465
4.614187252959993,0.9800666666360129,analyst,462,549,1011
3.9191229027719983,1.461842946283995,anarchist,566,321,887
3.1657515854400096,2.0500615992520013,ancestor,931,1088,2019
2.915806592386005,1.7723998345013943,ancient,6622,134,6756
4.236632498920002,1.4902861348199927,angel,2602,1354,3956
2.4084147657999937,2.858908498359974,animal,5978,7775,13753
3.5018670279399986,0.988791337219995,animator,391,736,1127
3.285286655639995,1.4776388312599904,announcer,324,99,423
3.5394437912000027,1.3038198078999974,antagonist,884,345,1229
3.274001002260018,1.8817877901399926,ape,207,372,579
4.041534989039971,1.194203243740004,apologist,31,24,55
3.5578963652000013,2.7269372300849923,applicant,269,385,654
4.0315334347799805,1.5792171896319989,appointee,73,147,220
1.6806506778000028,1.6692451706000053,appointment,2742,656,3398
4.748828869399997,2.0351949415199933,archer,950,324,1274
4.384399794369989,1.4976479103675846,architect,2373,1256,3629
3.73243505814,2.428726746917275,artist,9094,7385,16479
3.7576865038000005,1.8547105364259968,assignee,10,5,15
3.6140165485399907,1.043481690870193,assistant,5266,498,5764
3.3984193769799784,1.5699479783440058,associate,1675,1268,2943
3.04524205146,1.8044825020439843,asthmatic,33,5,38
4.137237980959974,1.3325424236425851,astronaut,433,438,871
4.02879062580002,2.891352654627597,athlete,1335,2410,3745
0.717984855800001,3.0495476695999804,attraction,1582,735,2317
3.8122553344999943,1.125484880520025,auditor,184,97,281
4.0740172573680065,1.6505377352000101,author,7640,3461,11101
1.8223452070000006,0.21556219520001196,authority,7524,5340,12864
3.1852673322400147,1.8511158139260067,avatar,888,182,1070
2.3054118351999833,3.0775359920613896,baby,4303,480,4783
0.2936803380000059,1.8503045438879804,balance,2775,122,2897
4.667315662462024,1.587934025471605,banker,372,252,624
4.156279488829989,1.1519276510353995,barbarian,318,163,481
2.9097798391800005,2.3227573604341814,bather,7,25,32
3.6777999892099977,1.7470806620010189,bearer,374,150,524
2.9435667383200155,2.475207115820589,beast,1214,238,1452
2.847117458560006,1.4169382783448077,beater,46,11,57
2.9010119859199914,2.148682175862408,beginner,59,78,137
3.785446871210006,1.5972760769612169,beholder,54,3,57
2.451384777199978,2.2242299184296073,being,69128,978,70106
