SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-13.075169920701587,-12.836491247959366,-13.177410028043859,-12.974556533885002,-12.97772292440995,-12.62721225462431,-13.028217226798096,-12.683518047591965,aboriginal
-13.598994220715063,-13.014573541980056,-13.523277409588685,-12.854343058568544,-13.708569116686707,-13.479852785364034,-13.613508782040427,-13.288212741251604,absentee
-13.008619366774886,-12.643570265214779,-13.167736825263855,-12.721304278560519,-12.87819880187364,-12.685257047816432,-13.04579044036479,-12.881505269899005,accuser
-13.29014746521821,-12.83424264898574,-13.466168995963118,-12.994258127556074,-13.039230955687769,-12.738084073318618,-13.18376489987079,-12.81362346252975,ace
-13.329777212181627,-12.944086408664903,-13.373688975590527,-12.993129683740245,-13.72715753188664,-13.338482243683195,-13.407955764508607,-13.00582517613714,achiever
-13.592882284891026,-13.17095527400866,-13.672379905202684,-13.30430024872826,-13.470862110082448,-13.208079387230528,-13.468333990804446,-13.261269250721922,acquaintance
-13.922499218842134,-13.222593935452727,-14.24419393166235,-13.415756091360825,-13.632007281742199,-13.255279911326314,-13.79220397092782,-13.242294797474413,actor
-14.313048566219349,-13.708226021657953,-14.6443019403376,-13.878824034511295,-13.688201674761965,-13.542276069330224,-13.811352190489332,-13.51945505921849,actress
-13.504315274639337,-12.989390544814205,-13.526637223502552,-13.030067035622,-13.010180271817408,-12.491367871180675,-13.141053919197327,-12.584101911711512,addict
-13.230532803845325,-12.57752525083759,-13.194630791466052,-12.528328781078887,-13.349693775933973,-13.131656303978643,-13.374578478390207,-13.147247542715922,adherent
-13.209246393123614,-12.980073498252793,-13.308567812522824,-13.063562996971006,-13.231444958361454,-13.089990924543724,-13.385010861560968,-13.17052811062792,administrator
-13.574498700443971,-13.155511593147164,-13.835965504482507,-13.349341019456133,-13.521245690685706,-13.195680516442234,-13.437500927486596,-13.140137556908767,admirer
-13.327042209238535,-13.051755558101936,-13.472426287560953,-13.19549704632668,-13.18050717860976,-13.02850207134751,-13.233527203163812,-13.056548090510681,adolescent
-13.22565202817899,-12.95736824747514,-13.217582754676359,-12.995512206450991,-13.18114866714665,-12.989307147379007,-13.271764551880805,-12.981145997663141,adult
-13.193074824922032,-12.85067827265959,-13.43864193074842,-13.099699647205439,-12.7095896549134,-12.471675064300095,-12.837677325792948,-12.54092643391868,adventurer
-13.132535443165107,-12.65567782120349,-13.299189210538868,-12.831343648371995,-13.096546702233384,-12.84964056376931,-13.18747612078168,-12.923281138564887,advocate
-14.305303535987806,-13.514561408876514,-14.366458612382445,-13.472638435700883,-13.817612511784985,-13.396003923130586,-13.955892698766096,-13.373731048417628,agent
-13.208415074666627,-13.074776706598445,-13.412548429053805,-13.293342465253927,-12.501370273471894,-12.188546958606935,-12.574894204962142,-12.244558823348903,aggregator
-13.805228978433853,-13.03023928592924,-14.186258188355412,-13.23101534446423,-13.420461260662355,-13.041320450087591,-13.709075338903494,-13.115395323410963,alien
-13.528162633693476,-13.055340807337279,-13.7278795415281,-13.234516952444622,-13.095066446210529,-12.899221129546802,-13.294623815130091,-12.978820852036696,amateur
-12.976555775101767,-12.8724684924818,-13.111487078607125,-12.992205520702822,-12.482449569212283,-12.269625326300002,-12.57449625319472,-12.307344456077006,amir
-13.360160466749976,-12.959866925816073,-13.465755419421633,-13.09568398989042,-13.175864259506016,-13.019150864675712,-13.318314878154233,-13.182671058706019,analyst
-13.253246369154418,-12.911769409848242,-13.571417503062769,-13.223804623980744,-12.980582620382922,-12.582026855218976,-13.066973463721462,-12.646556902938714,anarchist
-13.736926446750697,-13.244224813861408,-13.840185835473594,-13.332443030686886,-13.289863418693052,-13.105914859366724,-13.330847726319131,-13.14977062254033,ancestor
-13.15517323614966,-12.851968977866653,-13.237308951208075,-12.944976165901599,-12.78670811449554,-12.539520841025453,-12.87816978797611,-12.59835441017128,ancient
-13.800211465011124,-13.232557510440435,-14.121299094661332,-13.32062414416242,-12.986754180564013,-12.731759884178906,-13.128537084303286,-12.730737454063844,angel
-15.378952485174404,-14.352460956802727,-15.421817740824373,-14.313690823416595,-14.640108987700946,-14.180066102683993,-14.870159019120221,-14.130538299150755,animal
-13.115892413175116,-12.947579499560597,-13.179461818352792,-13.017018877799137,-12.988858357353454,-12.445561350825493,-13.080871831818982,-12.630662259124565,animator
-12.933192614014848,-12.716846946294849,-13.285797037432182,-12.943931365411524,-12.665696242376745,-12.383587597939579,-12.885234579860542,-12.538877849729529,announcer
-13.207723565051868,-12.66605791909907,-13.395448195785649,-12.783484216702893,-12.28150607552212,-11.743964246340164,-12.4363720318377,-11.927005482827944,antagonist
-13.362110277607892,-12.883095190405388,-13.553751739533494,-13.116173485097498,-13.074426434091132,-12.824144124031667,-13.308289127219188,-12.895256517190981,ape
-13.735016828820978,-12.96807566764132,-13.93215293287299,-13.05912195351394,-13.29432269191818,-12.816630000012275,-13.49540633912898,-12.896272162465849,apologist
-13.272930806265517,-13.017321764711332,-13.23174210879857,-13.054267347847302,-13.55024474013059,-13.307545218239202,-13.527551510874595,-13.179458955522056,applicant
-13.305548652857109,-12.80440842175968,-13.310683189829945,-12.753847184056244,-13.792399602464807,-13.430288488923502,-13.645210231178202,-13.200639987297633,appointee
-13.290514983985892,-12.712661063314007,-13.431442467876472,-12.826844351825464,-13.274044574203591,-13.096631297604391,-13.511989999858859,-13.166051117867427,appointment
-13.494939756955226,-13.052427037844884,-13.633293060209803,-13.14336529379194,-12.91890170853963,-12.86613020963328,-13.097584322302295,-12.9048941572849,archer
-13.376673573801575,-12.940697481872794,-13.753437244610549,-13.136569623465617,-13.044235153226365,-12.814007992958565,-13.18292769202543,-12.836058216043206,architect
-13.833964402543865,-13.257914152601582,-14.127324509610494,-13.378212825367296,-13.598723050950847,-13.1355643997246,-13.778466914618376,-13.129161229150816,artist
-13.367729568271976,-12.812083612532208,-13.30981788856932,-12.708884176784153,-13.691221863008769,-13.330466939896835,-13.613671764062092,-13.167674824448236,assignee
-13.360195278608792,-13.107788487798405,-13.495258719691165,-13.142764958120976,-13.292851493559336,-13.252477758732214,-13.336209786241898,-13.161387720880633,assistant
-13.7480320519274,-13.199591665013068,-13.646700890349805,-13.230814701887024,-13.607156966850042,-13.273991735239534,-13.674086857850714,-13.257985603821654,associate
-13.468348251244707,-12.758437521394287,-13.728053685470085,-12.920500391501776,-13.611990273987722,-13.229272377858123,-13.851734364370966,-13.207412846808,asthmatic
-13.448214036135855,-12.922759459364162,-13.652546424253527,-13.156988517505305,-13.142687146458984,-12.946591315156974,-13.257413157075279,-13.051361375658797,astronaut
-14.150293507841976,-13.433696149025927,-14.15849068108248,-13.430039651758154,-13.431539846712248,-13.130517933207658,-13.503771938823665,-13.119935745874463,athlete
-13.675176474441097,-12.940681526000626,-13.670964852394825,-12.966755678193008,-13.302418261041884,-13.028995380288716,-13.48179050232989,-13.020393634755221,attraction
-13.08596146276859,-12.871546340669422,-13.167412163973612,-13.02704213096236,-12.693316873023765,-12.320958144568438,-12.784481292079644,-12.421865044870115,auditor
-12.781687780865981,-12.472203515956002,-13.056174731221164,-12.488088985690371,-13.182915797684874,-12.895289769993179,-13.287868794591306,-12.905532895773588,author
-13.591364914359415,-13.00794917836329,-13.810840453277295,-13.211598703668473,-12.828059874037848,-12.691303526658757,-13.015597108541348,-12.825147852418562,authority
-13.539640312153395,-13.053913972662556,-13.595754248133176,-13.083946722180517,-13.174557183126502,-12.608628372618242,-13.270695097058814,-12.630688117425507,avatar
-14.164419003717695,-13.610875525798955,-14.13066766498862,-13.456355435116535,-13.419276774721133,-13.25015604684822,-13.521927797009491,-13.16778431256852,baby
-14.143658028456205,-13.25815457943815,-13.924295368263893,-12.956005770128913,-13.023232334035967,-12.559226932281918,-13.247384579236677,-12.511536995126162,balance
-13.524251866144086,-12.979490227752681,-13.754258464548268,-13.19765044867466,-13.185079654271894,-12.92432403653528,-13.310309605490325,-13.017234100141588,banker
-13.457877501595723,-13.03865078779311,-13.878761985900915,-13.331697583445544,-13.168608037098954,-12.930061736170074,-13.447805543165572,-13.044269902473605,barbarian
-13.246643731525266,-12.908103397709336,-13.633315549627,-13.108822435738885,-13.23151533102994,-13.119750412078805,-13.181598888352921,-12.996656987349287,bather
-13.164720564268448,-12.808990719224491,-13.315713262388634,-12.960966339013872,-12.979261681427431,-12.514514115528105,-12.836605068392887,-12.350559893419135,bearer
-15.184763579989015,-14.142282082893765,-15.339143520298364,-14.1286190204541,-13.520015038385873,-13.152741728586829,-13.825083540899241,-13.187053328573752,beast
-13.407584510389738,-12.942102864615846,-13.647132552023756,-13.032072470129778,-13.418303623570075,-13.211676020398505,-13.251182371547491,-12.95370171309304,beater
-12.800947496388511,-12.45380427359236,-12.832596670671801,-12.394939719854891,-13.196961303102631,-12.826990484681414,-13.206297138882675,-12.783850494759498,beginner
-12.979438211189615,-12.497207893270916,-13.052487126954393,-12.536326661522706,-12.77324199284143,-12.387344503093313,-12.874525590718381,-12.50319165196228,beholder
-13.261450740129693,-13.09160346955984,-13.187511734574418,-13.021175270374492,-13.54670242695974,-13.177839410491266,-13.67138761949824,-13.156529514934785,being
-13.109156816895617,-12.971474929396047,-13.109811964626909,-13.056453540528612,-13.235980470960248,-13.080474290895665,-13.30395615600585,-13.156443800078788,believer
-13.102106003607814,-12.97060907130044,-13.316672132405195,-13.120060366453648,-13.222304046828732,-12.951270549373643,-13.176179011489305,-12.823556652808172,beloved
-13.682202150583553,-13.275496102988546,-14.028750073168553,-13.565647820670213,-13.025586650852413,-12.654302558358912,-13.090200023029118,-12.723572945034256,benefactor
-13.072003885697569,-12.69118402679996,-13.082946594738676,-12.712416292943649,-12.990341947621033,-12.728910200706064,-13.094368643276253,-12.918438586944948,bidder
-13.611641421901176,-13.21159540495952,-13.699563429393768,-13.320362832900155,-13.256257890356064,-12.867243090826285,-13.286792249814825,-12.858169165223787,billionaire
-13.313578997516661,-13.037557194284256,-13.479713959820335,-13.219609758223795,-12.84063025769731,-12.52597016621454,-13.010591824494831,-12.674401438635886,biologist
-13.233353667656136,-12.946588609381688,-13.282211420410555,-13.041269461046273,-12.727931372701757,-12.400367111984071,-12.802622503127052,-12.4102111832026,bisexual
-13.32349647092349,-12.812637388101699,-13.697656443783252,-12.99881967108162,-13.227202349343848,-12.999126643592167,-13.265316784045742,-12.923275512110514,biter
-13.156213876944276,-12.894321796805325,-13.304560610563257,-13.073643756548352,-12.781999657050982,-12.402334844461675,-12.886399955954401,-12.481288241337905,blogger
-13.993381069821575,-13.3890836939621,-14.459110988117555,-13.717560013752378,-13.99167688694385,-13.446787461591356,-14.129699091960704,-13.46543446301378,blonde
-12.995254476052342,-12.494686183837635,-13.525302875966768,-12.800523174924779,-12.828864848703446,-12.604893086212945,-12.955523455206293,-12.679373795005347,boater
-13.136337889090415,-12.591542703314804,-13.796887751578886,-12.985169324799026,-12.992465234866565,-12.736833745663526,-13.175788852431495,-12.819959893622734,boatman
