SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-13.568584030717334,-13.171531201464626,-13.656063599587712,-13.2331248767775,-13.83770498399137,-13.117084107847585,-13.986298941236742,-13.033073648007989,aboriginal
-14.93345695114893,-13.813035953992289,-14.8439683100789,-13.47894201663502,-14.720018426736749,-13.952535938306115,-14.791764282030533,-13.764376752261475,absentee
-13.357824716028153,-13.11931626560392,-13.380814042172613,-13.22631934380256,-12.96568162261654,-12.706456943474992,-12.827662872363279,-12.623704851079806,accuser
-13.63461417940252,-13.133359585977313,-13.904225231763006,-13.334940308590467,-13.512054491330485,-13.020378660898114,-13.724096475953774,-12.914255668970926,ace
-14.27292255070532,-13.48976920720097,-14.516967460519151,-13.562100040612213,-14.061023282862283,-13.148489594387579,-13.829641955198202,-12.7925529100025,achiever
-13.437528164063027,-13.205145091828987,-13.532879742261315,-13.324887323607824,-13.663826135231586,-13.425471635214976,-13.723834302407994,-13.383701933051734,acquaintance
-13.963388743646536,-13.34262739977912,-14.155874285754495,-13.228242492622046,-14.388534199763141,-13.507279675230693,-14.647709747754414,-13.514994195254204,actor
-14.744235720523562,-13.923210691424742,-14.917577616969465,-13.89370420134976,-14.26730437564461,-13.649156210680824,-14.514113170438545,-13.599829777252474,actress
-13.934087615020378,-13.273287263263324,-13.967180393080962,-13.252133277589776,-14.112589602042165,-13.329964467604427,-14.202859682801533,-13.193097435987667,addict
-13.851464529092928,-13.22210037171149,-14.049572590450873,-13.332754032650087,-13.419662318037815,-13.162105636342785,-13.457182868952804,-13.056281547674669,adherent
-13.827981913308074,-13.374250622547324,-14.033174608329663,-13.538894319921784,-13.657812728800259,-13.372807868755276,-13.834707095963273,-13.357094382807116,administrator
-14.151309886218376,-13.414380302043039,-14.725316869093016,-13.789339612532267,-13.747312489079722,-13.219866047492413,-13.674215263714153,-13.022389886724325,admirer
-13.617842169999951,-13.34943641888355,-13.703876014584258,-13.463105968204331,-13.667991765599053,-13.295772930305095,-13.777022712634167,-13.199607871643002,adolescent
-13.925573385754205,-13.298560226400983,-14.12536327786855,-13.390593489184356,-13.86195489182293,-13.318535330650565,-14.186991498448926,-13.32430195989299,adult
-13.891684609628266,-13.334526070402456,-14.030123706097456,-13.443624461849794,-14.045513784832627,-13.391750766887627,-14.102743025735199,-13.192281610707099,adventurer
-13.15879297929915,-12.689954032096427,-13.262826238623084,-12.76554292119463,-13.066236576534354,-12.72999946885453,-13.101211574506099,-12.596698219505381,advocate
-14.819497246779745,-13.848170385831327,-14.809988177346552,-13.621160741875288,-14.041798796750989,-13.441129057175525,-14.370237504212225,-13.46493586408504,agent
-13.683669139871713,-13.362438941327088,-13.803164551614955,-13.477406033919491,-12.892023339795363,-12.682022265048941,-12.981708177299874,-12.54399550085876,aggregator
-15.032930362498874,-13.913297793777984,-15.022203280776255,-13.673495793681422,-14.732145102084527,-14.010793879253807,-15.012217902609825,-13.938053495233385,alien
-13.920588371843571,-13.246035737601149,-14.05748527332016,-13.302005273640747,-13.667791822702696,-13.240138803645443,-14.033370573707067,-13.251223291772675,amateur
-13.510585232803294,-13.286779291473607,-13.598036517020367,-13.358004985527339,-13.035728326707227,-12.733264551742778,-13.240555010358564,-12.63824602476388,amir
-13.7203877032317,-13.306272560240268,-13.78756101525942,-13.432654691259618,-13.534946110878256,-13.289925552674514,-13.566728106610578,-13.264768867972055,analyst
-13.656490039597385,-13.203805033135184,-13.825450024749848,-13.316038867057973,-13.88899315982022,-13.109905242425127,-14.107114168154455,-13.031109121761446,anarchist
-14.008747541842055,-13.341166941466687,-14.0985515259659,-13.377390585255972,-13.935982103525259,-13.501041928831766,-14.14105081442194,-13.455765057718553,ancestor
-13.955714428837071,-13.293653726743731,-14.09331006498794,-13.28483060856602,-13.903721328187627,-13.384888386928127,-14.169166658880501,-13.344521312376205,ancient
-14.948791451602585,-13.965428765143127,-14.973184566249303,-13.80623906547718,-13.828081485950653,-13.225401028755885,-14.125689500201789,-13.173438118297934,angel
-16.485037034921017,-15.278774492446875,-16.34992697041227,-14.988930216590624,-15.723575207094465,-14.903863692041615,-15.776339676603744,-14.650061925628355,animal
-12.786336320801608,-12.681507696484088,-12.870587168488937,-12.654518074926946,-12.826149810534409,-11.91804290810076,-12.843074328618222,-11.913417777969347,animator
-13.356857129308784,-13.051137776366847,-13.611840697053777,-13.214192626583426,-13.086359261564114,-12.757517016066654,-13.377350113688678,-12.753488551493714,announcer
