SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-11.751432253073547,-11.894648804228453,-11.302539630016133,-11.616667735084953,-12.689691750429132,-11.466734118943696,-13.371919317539735,-11.746681907498019,aboriginal
-11.881274679991758,-12.309356729136988,-11.130952760100667,-12.002593872114048,-12.658409693997404,-11.37024821739272,-13.235998304311307,-11.33604130538587,absentee
-11.286548531799165,-12.422567357932484,-10.93793194710186,-12.270973860765958,-12.0203380594261,-10.574073916666352,-12.673115548720705,-10.630410096174446,accuser
-11.655232648843636,-11.689953192542847,-11.132302547756238,-11.44778533466388,-11.905503361097336,-11.435115970722606,-12.087752846152716,-11.011939669377373,ace
-11.754519016900653,-11.830115892804274,-10.719406432437696,-11.149734208712244,-11.895539821108473,-10.529803453300136,-12.287368225789598,-9.931917906914974,achiever
-11.903398899956224,-12.117064735262135,-11.485070432301807,-11.833547467047108,-11.815473578315705,-11.7884862484871,-11.814504277488714,-11.383644099997378,acquaintance
-11.105934372247471,-11.905645039666545,-10.949568527744878,-11.709755470302431,-12.004919700706761,-10.736916091581318,-12.673666567706109,-10.880686693992224,actor
-11.44824488903344,-12.033971095848413,-11.211709912088478,-11.826513792071307,-11.886671869388193,-11.184105205716255,-12.415115066204743,-11.166641748303233,actress
-11.92610806195168,-12.337125609185904,-11.550118169126437,-12.1982989062561,-12.145299300083378,-10.71836658476777,-12.927933238828619,-10.604839022762787,addict
-12.011031980708857,-12.151570432398396,-11.621486499173741,-12.154714314304938,-11.564383314045735,-11.42716192594131,-11.701645036960585,-11.07451883899459,adherent
-12.497769213958733,-12.962472083255324,-12.3364380851949,-13.086553014534724,-12.302171006706915,-12.001761325189593,-12.916338972906498,-12.015033001737098,administrator
-12.092230323790016,-12.639340565064215,-11.746013888424832,-12.6873195322884,-12.958337136223072,-11.601823751929082,-13.812395295716279,-11.998894821084134,admirer
-11.961763921106266,-12.138440277767518,-11.4445736302702,-11.978103945369888,-11.677540707310698,-11.48131445319654,-11.709624875718806,-11.085940136259543,adolescent
-11.818494832628911,-12.152864760837998,-11.203086876858587,-11.852676407837894,-12.433174482152348,-11.132400167788546,-13.215059331736134,-11.24837384841404,adult
-11.827939503332422,-12.224960085766535,-11.356399583119323,-12.04276236712376,-11.793222545778143,-10.472275892516699,-12.526435539512196,-10.451462083143868,adventurer
-11.513363417229812,-11.863479188732546,-11.120261401952483,-11.489518768357842,-11.475279073523648,-11.401683329057958,-11.527988447195563,-10.943432400547474,advocate
-12.536420934504347,-13.30373880476413,-12.34217880209959,-13.364563634472015,-13.176772732620885,-11.831517131724775,-13.73898377862134,-12.086015614768009,agent
-11.867725035331128,-11.954699367732244,-11.336331373368706,-11.65639730882647,-11.883436072678272,-10.693582317614636,-12.667456570110438,-10.366181352334992,aggregator
-12.19335465213258,-12.724671414137424,-11.863321315463073,-12.947067070705373,-12.58690841536544,-11.231232150655464,-13.203416712275526,-11.413072310833464,alien
-11.996809678803206,-12.173995924103767,-11.42168982109711,-11.747151589751663,-12.010221141929454,-11.724944498865804,-12.407727550228016,-11.366524709658794,amateur
-11.65437413548948,-11.857477898347854,-11.03658958911952,-11.476970937023662,-12.254162866066736,-11.25249261703542,-12.729118434194875,-10.841670012107699,amir
-12.363364144456432,-12.827724418988705,-12.120460594235134,-12.893311237950867,-12.136423053426926,-11.928859347269055,-12.563838803995388,-11.961376832304056,analyst
-12.017279462402493,-12.279205705638736,-11.347094747226825,-12.052843403418631,-13.115993625657772,-11.819541851184642,-13.888948173045714,-12.130056077442825,anarchist
-12.263139621519086,-11.828335644383287,-11.543223044816322,-11.289913159548151,-12.094348861290245,-11.633487979554124,-12.198617207123046,-11.067350262444048,ancestor
-12.51689094428061,-12.748653470762294,-12.147826203822785,-12.690471238627095,-12.870813014687482,-11.843680387053142,-13.29151552230453,-11.644763537175507,ancient
-12.459978565175955,-12.965630771939907,-11.868275781795795,-12.92540344243415,-12.6476188883209,-11.396392306768293,-13.078936085166125,-11.1536832198963,angel
-11.819013379737903,-12.536819792274521,-11.58217527275451,-12.414760875534725,-12.20381067182018,-10.946227512519119,-12.850522245401935,-10.983404918113509,animal
-10.675478148674436,-11.529826917152805,-10.494839562095637,-11.268640401631565,-12.009346984301665,-10.30775248033674,-12.703692249529269,-10.287942324459816,animator
-12.286560392237849,-13.499842680024734,-12.33398590948694,-13.863864205130387,-12.40020020678596,-10.759094442913932,-13.610432055952446,-11.610045723726357,announcer
-11.459346864572986,-11.545926946578133,-10.587307270656394,-10.850025903267564,-11.715117809019064,-10.470297870549256,-11.867508669298811,-9.610203357058657,antagonist
-11.703975795582686,-12.034084042304286,-11.015198386771758,-11.70476826725382,-11.840668787114842,-11.419966381675355,-11.786751157663744,-11.006214643432434,ape
-11.599439986033726,-12.492315987485153,-11.426161227258394,-12.747958236144758,-12.099163860321305,-10.718146047891405,-13.020133362619513,-11.138274212983582,apologist
