SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-12.71510948934684,-11.357887761625285,-12.451932285574676,-11.262525860725653,-13.36336894974921,-11.259554125568213,-13.43406661020784,-11.44361782068716,aboriginal
-13.391047976158722,-11.668480111305184,-12.557331834343787,-11.624687143156338,-13.73569898779222,-11.968138998951867,-13.619221470215395,-12.03852403312041,absentee
-12.644669776970137,-12.029310415812345,-12.470825970994744,-11.962687314437895,-14.078582605981412,-11.92692490962284,-13.985263157876284,-11.990842115783474,accuser
-11.755447428948125,-10.771087955616844,-11.317461831653555,-10.601365691201753,-13.295755008149914,-10.643353042717573,-13.660875350351601,-11.115587917055237,ace
-11.400309883927967,-10.888448150640151,-11.277428460318413,-10.599763438986974,-13.055304860127833,-10.761437991088446,-13.207391538886244,-11.072307836694788,achiever
-12.533396030111469,-11.211798160523774,-11.86950247796565,-10.983061007670253,-13.900431547215915,-11.84400244768069,-13.363458946742144,-11.581812905264066,acquaintance
-12.157401815386761,-12.859210448106019,-12.041332070447377,-12.83331990362625,-13.49313647509554,-11.291770617546346,-13.497330893891332,-11.425043742457227,actor
-12.049852569166731,-12.823998330205765,-12.020834117141394,-12.789444552918544,-13.399099186129506,-11.485354032479535,-13.434492178532707,-11.68776157221808,actress
-12.265241319521037,-12.222381243949114,-12.388142306301008,-12.41059129451822,-13.205451811598518,-10.73645861931216,-13.443342157143693,-11.184181846777207,addict
-12.279780115560714,-11.256531444316806,-11.90753193195524,-10.957356501888556,-13.318455600940958,-11.208677920386023,-13.225136226817956,-11.172584872949097,adherent
-12.933737133726325,-12.154630088031494,-12.660285980296724,-12.201128313406091,-14.1109344037711,-11.971583072695394,-14.073725809629181,-12.052521486129216,administrator
-12.222930455464118,-11.334381939748384,-11.614647716069527,-10.956474412665102,-13.27310651476482,-11.355789272212975,-13.145938906458,-11.409152834468633,admirer
-12.552459214104587,-11.253146699526317,-11.80317639946841,-10.980281788501994,-13.542523473023827,-11.531832970860574,-13.646238179215967,-11.73219846365435,adolescent
-12.796031647248382,-11.583731884474805,-12.127579130608805,-11.299997095403302,-13.696800964065716,-11.662978273138659,-13.7829552213094,-11.865925284365735,adult
-13.362350162448234,-12.343355973603574,-13.698588303589547,-13.170808366512256,-12.642187817097527,-10.279781017984384,-13.060425992227195,-10.890532010984256,adventurer
-12.60593733360523,-11.89964597238415,-12.302585025885167,-11.739898995466454,-14.504150476313017,-11.956753756191144,-14.361181556625512,-11.946943002985696,advocate
-12.840200853082473,-12.047766132056086,-12.416038579929992,-11.901628625882413,-13.910873461131393,-11.665419898186098,-13.895237987929793,-11.75950672025172,agent
-12.719281808284945,-11.751978591148104,-12.544077898973635,-11.958314390479822,-13.258935864306949,-10.778086972223791,-13.508024223592072,-11.195423211619588,aggregator
-12.497865755411427,-11.056388619607002,-11.787945618833275,-10.795932248606979,-13.25583658120717,-10.808658726751846,-13.519999263834093,-11.150876718437779,alien
