SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-10.14731774826924,-13.214240634571807,-12.62658031201105,-10.44626980064,-9.715540775137857,-12.451635784288307,-14.122153305871132,-9.952182680045402,aboriginal
-9.790304006959945,-14.047249937161979,-12.070356845969105,-10.342519774143149,-9.599140768041842,-13.200886115968235,-14.08203539556027,-9.80287487845459,absentee
-9.35397592638757,-14.412169772166882,-11.416949997639053,-9.976044634591661,-9.542653641249759,-12.381103974048381,-13.874005357705943,-9.679058302462069,accuser
-9.294025920334716,-13.847984110723202,-12.179338058468009,-10.005153742484204,-9.437187273795393,-12.65292076477644,-13.841121615295005,-9.71000314716326,ace
-9.502796701888014,-13.564352485501836,-12.435374474760849,-9.967462256022674,-9.636368460038206,-12.426067068754714,-13.609550272931928,-9.756414110747668,achiever
-9.324533468891635,-13.922950821812803,-12.378561838713866,-9.898258695611755,-9.549151875982943,-12.984726510768747,-13.886822976015155,-9.772165903484131,acquaintance
-9.181625499260154,-14.330750150833767,-11.408317475720928,-9.946497932688988,-9.476989371444844,-12.289835409923162,-14.283658897886625,-9.693012120785102,actor
-9.346905548341796,-14.503207494901115,-11.283276982646461,-10.149744865148877,-9.500124303357405,-12.423349553291938,-14.32820436699086,-9.757278990324156,actress
-9.318434807080108,-14.595710427920102,-12.532632849810913,-10.036960353852136,-9.396693376214726,-12.826235736405886,-14.384947508376708,-9.826033265058346,addict
-9.583248999165884,-13.955808039915025,-12.69136164853716,-10.200313106716088,-9.453965481476057,-12.71292103513857,-14.230399771074074,-9.744721242346788,adherent
-9.555679285470566,-14.629472564036114,-11.78988810178679,-10.221718222460286,-9.544988493655586,-12.900210175688029,-14.2254351857081,-9.756150520882507,administrator
-9.235816428332829,-14.265202444582696,-12.218129359293249,-9.750414934591523,-9.525432165861814,-11.98577294515704,-14.061824284630607,-9.569661255462329,admirer
-9.388165209073886,-13.913817955704644,-12.753811168138187,-10.185752413190656,-9.45403118768003,-13.008607177570436,-14.206867681405251,-9.806581985315985,adolescent
-9.586165732185973,-13.858042173375447,-12.62590149008613,-10.178396740913435,-9.764126256932196,-12.138319278553901,-14.670126131919599,-9.82891080846923,adult
-9.2801930911006,-14.132415497924178,-11.98608258803293,-9.925907454752704,-9.36175781392015,-12.728881217256301,-13.97140882028922,-9.725857726349226,adventurer
-9.338097483820297,-13.829268295600476,-12.133994391033006,-10.064860630311092,-9.647234188730836,-12.83152537789598,-13.651385551097471,-9.844094087856938,advocate
-9.417936675246668,-14.664586068806727,-11.703435264363188,-10.191893919431132,-9.711899194216675,-12.219156321250686,-14.61572139744326,-9.731269472499372,agent
