SG_SG,SG_PL,PL_SG,PL_PL,sent
-12.714963007894745,-11.271923703947364,-12.548966223245618,-9.986790632894733,aboriginal
-12.94189287982457,-11.965224827631586,-13.85076785526315,-11.642865545175436,absentee
-10.22183862982456,-12.929946760964905,-13.540310778508776,-10.666377354385956,accuser
-10.002835591228076,-10.154744157017554,-14.921919885964918,-11.665276740789475,ace
-11.145799869298244,-10.705077143421056,-12.977362528508761,-10.694962768421053,achiever
-10.515283867105268,-11.383133991228073,-13.213395168859648,-10.978460965789456,acquaintance
-10.605236567982463,-13.236338114035087,-12.913627190789475,-10.313922803947374,actor
-11.163816732894738,-13.78089344956142,-13.23209546096492,-10.619305936842093,actress
-10.517289827192991,-11.155550652192984,-12.212416389035091,-9.34056477236842,addict
-9.933648217105263,-10.586280573684217,-13.805200657894735,-11.271228098245617,adherent
-12.531904646052629,-14.553778217105267,-14.348755175438594,-12.387226302631584,administrator
-10.805554221491237,-11.727160362280708,-13.506516061403506,-11.782852857456133,admirer
-12.183212725000008,-10.998957334649134,-13.100643426315804,-10.109293061403509,adolescent
-11.77985639517543,-11.35884849649124,-13.04946703947368,-10.12654452280702,adult
-10.731913871052619,-11.751835601754381,-12.38143907105264,-9.812525451315793,adventurer
-12.418373070175436,-12.124512664035098,-13.686630122807019,-10.678152133333333,advocate
-12.35700785789473,-14.460651677631596,-14.179748280701759,-12.077973958333326,agent
-12.037211830263155,-12.72325701096491,-13.577752583333325,-10.7477896004386,aggregator
-10.366600588157898,-10.022724469736849,-13.012996177631585,-10.618389851315786,alien
-13.164499710526322,-11.961098342105274,-14.816779278508756,-12.20539349561404,amateur
-12.956241122807016,-12.794931695175444,-13.212000677631572,-11.229659532894733,amir
-11.826865622807023,-13.75205148245614,-14.88060584429825,-12.077153029385967,analyst
-13.594881601315794,-12.112641403947364,-13.676735969298234,-10.599195044736836,anarchist
-9.880477030701751,-10.186697750000006,-12.602130581140358,-10.170888286403503,ancestor
-12.54219146140351,-11.582236050438604,-12.833346043859642,-10.545782448245614,ancient
-11.535625906578947,-13.419636089912279,-13.567021833333332,-10.815258833771939,angel
-10.215575440350877,-11.90900956578948,-12.190929103508767,-9.468219707456141,animal
-12.770806700877204,-12.39420331973684,-13.907317967105275,-11.383108953947382,animator
-11.627525668421056,-13.909310491228075,-13.96713863596492,-11.771164039473678,announcer
-10.1862876491228,-10.953911578070171,-12.783230802631584,-9.986549641228065,antagonist
-10.950244007456135,-10.839242675,-13.080346285087725,-10.193095308771934,ape
-11.828742945614033,-11.756413139035079,-13.02820397368422,-10.12600929210526,apologist
-10.753908969298248,-12.565435592105247,-14.36938732017544,-11.988707786842106,applicant
-11.487505795175435,-11.982480616228061,-14.385998076754392,-11.791861691666671,appointee
-11.620076036403516,-12.107125398684206,-13.057227832456142,-11.439332589473677,appointment
-11.61428131096491,-13.757551712719305,-13.885173320175436,-11.844036249561404,archer
-12.623036798684206,-12.34373110526316,-13.880523660087714,-11.245226850877199,architect
-9.956115555701764,-12.382391765350873,-12.99165153070175,-10.582580962719298,artist
-10.216333792982454,-11.05177910833332,-13.626728526315796,-11.422911234210535,assignee
-13.1364619122807,-13.02419177850877,-13.379972583333327,-10.889164428508773,assistant
-14.351698833333318,-13.91389847894737,-13.245504945175442,-10.521979290789476,associate
-14.003800585526312,-11.970143742982462,-15.001310252192981,-12.018531591666665,asthmatic
-12.952349032017533,-12.233546063596489,-13.081177348684212,-9.924782196929822,astronaut
-10.518760248684217,-12.842647929824562,-13.283588100877195,-10.871832063157902,athlete
-13.277250760964927,-14.51064596929825,-12.60694286710526,-10.64658190657894,attraction
-13.065426416228073,-13.659733968859634,-14.346643364035089,-12.172817197368426,auditor
-10.7526897513158,-13.449201785087723,-14.087643561403516,-11.307852390350876,author
-11.289395755701756,-12.8429569122807,-14.552311151315793,-12.20401694561404,authority
-10.338051105701755,-10.338505468421056,-12.305583091666673,-9.34067008289474,avatar
-10.646946930263168,-12.81176886622807,-13.433646267543851,-11.070016664912284,baby
-10.642569207456145,-12.201626613157902,-12.298317949561401,-9.475017128070172,balance
-12.12046456666668,-14.208058177631589,-17.08286258991229,-14.31335738815789,banker
-10.99445904210527,-10.901026634649117,-13.000558870614045,-10.779339445614028,barbarian
-9.520522864473683,-10.767232236842101,-12.937852554824552,-10.448759462719307,bather
-10.357639577631575,-11.90652888157896,-12.484091938596494,-10.111908824561404,bearer
-11.09841027850878,-13.1230644254386,-13.30920919517545,-11.180065755263154,beast
-9.773357468421047,-9.90096632149123,-12.579753769736845,-10.031942748684221,beater
-10.869823618859645,-10.126677633771934,-12.844259809210525,-10.229227913596493,beginner
-10.956227825438594,-13.172859445175435,-12.787987993421046,-10.271908796929829,beholder
-10.796568666666666,-11.543903403947365,-13.068999131578947,-11.105514478070187,being
-13.332157451754382,-12.511572467105255,-12.892386646929824,-10.534098505701763,believer
-12.386466166666674,-10.85925057061404,-12.43908368552632,-9.934458647368414,beloved
-11.516260143421052,-13.0448671368421,-12.385097618859634,-10.185287582894743,benefactor
-12.321843328508775,-13.956627111842105,-16.045606682017553,-13.38128774210527,bidder
-11.944254076754387,-11.280932670175435,-12.232174655263147,-9.445627187719293,billionaire
-11.10237719517544,-11.292329093421069,-13.072407425438607,-10.181249932017543,biologist
-13.420922576754382,-11.398880794298243,-13.823770673245606,-10.91824746140351,bisexual
-10.679136136842107,-11.568901286842108,-12.55114860307018,-10.249014388157892,biter
-11.283262367105264,-13.988543252192972,-13.257383497807027,-10.369687527192976,blogger
-11.992861075877185,-14.114649945175435,-13.875169962719307,-11.341854974561407,blonde
-9.703205565350878,-10.719174478947368,-12.386002554824556,-9.54970552236842,boater
-9.463174553508763,-11.354582081140355,-12.547825671052642,-10.022360415789473,boatman
-11.33197522982456,-12.882166560087725,-13.883050574561413,-12.208113433771922,body
-10.578397896052623,-11.837529431140347,-14.801201287280714,-12.384836703070171,bomber
-9.626781384210533,-11.588202444298243,-12.88825283333334,-10.544857039473683,bondsman
-9.447046759210528,-9.624772380263156,-12.615298209210524,-9.92547138201754,boob
-11.526705963596491,-11.559027499999983,-13.371299317982485,-10.559599278947367,bookmaker
-9.83586082807018,-10.106201678070173,-12.742853871929825,-9.885119029824567,boomer
-10.313462429824556,-11.297817560087704,-12.920656703947365,-9.926727697807015,booster
-11.204671280263153,-12.388392530701749,-13.091432497807007,-10.933798246491227,boss
-10.947231732894744,-11.754112494298253,-12.038269225877205,-9.309714792105263,bowman
-10.19098604166667,-10.686251578070168,-13.636500131578947,-11.41139849912281,boxer
-11.894141286842098,-14.084297837719298,-13.498414901315794,-11.066525221052627,boy
-10.662832774122812,-11.463001886842106,-12.502633870614035,-9.756772661842103,boyfriend
-10.527892084210533,-12.031576962719305,-13.381884848684207,-11.211235120175447,brawler
-12.415908476315789,-13.413549660087707,-14.982870712719295,-12.429124035526314,broadcaster
-11.316791871052635,-12.804793554824569,-13.42646153289474,-11.244058729385968,brother
-11.929211321929824,-14.250369739035072,-14.011204013157899,-11.514184682456136,brunette
-12.1592022864035,-13.77534859210526,-13.117266618421045,-10.75879346622807,brute
-10.663009588157896,-10.249247121052623,-13.318962210526314,-10.956520329824565,buddy
-17.03227805482456,-16.006500201754378,-13.477175833333332,-11.07107066710526,buff
-10.350886934649106,-11.735432578508766,-12.57617482894737,-10.017934741666664,builder
-10.198406170175438,-11.549024749122804,-15.078170206140356,-12.250923691228063,bull
-11.116174375438607,-11.756110853070181,-13.323224839912292,-10.973915768421064,bum
-10.49555492587719,-10.719902535526318,-12.277091567982449,-9.48914945921052,busker
-11.781556711403502,-11.094564167543865,-12.09204305745614,-9.630829781578935,buster
-12.013306517105255,-14.196895417105255,-14.988544688596484,-12.168052562719298,caliph
-13.702997162719296,-15.346619813596506,-14.311074070175447,-11.908399947368435,caller
-11.757436675,-13.249773936403527,-14.097494394736845,-11.980487738157905,candidate
-13.625340942982438,-11.583066449561406,-12.969985672807018,-9.676344242543859,capitalist
-11.884954880701757,-14.146886120614042,-14.246693344298244,-11.986867982894733,captain
-11.626641445614036,-10.918255854824565,-13.823626459649134,-11.534395917543858,captive
-11.442267196929825,-13.616139344298242,-13.484426157894738,-11.202965589035077,captor
-9.91048650482457,-11.673440076754387,-14.053462480263144,-11.657200974561414,carrier
-12.630090041228074,-14.622063164473676,-13.563458793859642,-11.063810800438599,cashier
-9.529174030263158,-10.36310332324563,-12.628323519736838,-10.15866542236843,caster
-9.936346323684214,-10.873980509649124,-13.271389188596489,-10.401397310964915,catalyst
-10.999460681578949,-11.10511520219299,-13.961425296052631,-11.578038996491227,category
-10.00761323026316,-10.34094589561404,-12.221613835964918,-9.37511977675438,caveman
-11.567923600438604,-12.338176263157894,-15.246743155701768,-12.589869932894736,challenger
-11.998544986403509,-12.236185977192976,-15.220970337719288,-12.399468813157895,champion
-9.935714656140345,-11.086971277192998,-12.20288917850876,-9.798736151754383,changer
-12.03504322236843,-12.261004289912279,-12.225136804824569,-9.587850403947362,chap
-10.125835125438597,-12.546081961403509,-12.502221877631571,-9.6033260381579,character
-11.268366166228073,-12.141446328070181,-13.032636723684222,-10.97636755614035,charmer
-11.698764704385962,-12.066164879385965,-14.193430475877204,-11.950615098684207,chemist
-10.2754122991228,-10.775222273245609,-13.180532934210527,-10.360564458333343,chicken
-10.963230739035096,-11.492786879385966,-14.502785370614026,-12.300593372368409,chief
-12.139736251315787,-13.840098456140357,-13.459647021929813,-11.201015021491227,chieftain
-11.213824280701742,-13.506689953947378,-12.815133614912288,-10.176134812719297,child
-11.628093557894733,-11.577952655263159,-14.108383978070163,-11.601942623684206,choreographer
