SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-13.708512247144704,-12.51306386703321,-14.252814436233,-12.87432020921323,-13.529439173565327,-12.769173410484068,-14.083613600035141,-12.699727103117596,aboriginal
-14.130243907673574,-12.804703431045278,-14.98236099685828,-13.461635025962567,-13.687731379808776,-12.707116342635095,-14.72903377881954,-13.27606303008512,absentee
-13.940297824722267,-12.54461048322296,-14.390721236877926,-12.766308627886955,-13.642091853236296,-12.675508330563462,-13.997029541767436,-12.37786998339587,accuser
-13.752157701936865,-12.287053851180696,-14.567051385048734,-12.8707663106146,-13.481811262369616,-12.343505160940206,-14.437142182035105,-12.759646858225482,ace
-13.788189726167012,-12.459823489042831,-14.554854436607823,-12.924742215948546,-13.428108268779347,-12.476631459293197,-14.373753877816904,-12.73241201183455,achiever
-13.718427467287702,-12.3453990987199,-14.39818709679878,-12.82524347319556,-13.763145365129702,-12.628174388034127,-14.616438482425144,-13.101598973817403,acquaintance
-13.524753249852495,-12.223346231310757,-14.059857078235398,-12.423380889169321,-13.453221418947592,-12.663322171982347,-14.235771943737442,-12.673179093116248,actor
-13.51696560719994,-12.352539240578945,-14.142548344417275,-12.564839609039545,-13.54921557590541,-12.79924558872342,-14.423664569026366,-12.960884830865787,actress
-13.72540272681402,-12.459459319764436,-14.201150203161712,-12.618320959128427,-13.549485184960208,-12.6289000197508,-14.199625685907044,-12.695042531886669,addict
-13.974428473349613,-12.642296389459672,-14.606517480727485,-13.11978919562978,-13.752961949682202,-12.465177375274054,-14.371373795933492,-12.739126467366676,adherent
-13.797792202227544,-12.562868172816675,-14.448164096990874,-12.876798871862723,-13.650085069909974,-12.72971119602018,-14.452045555068441,-13.003718301433814,administrator
-14.06863987608268,-12.721179000491409,-14.878355352363643,-13.287637085886715,-13.722430857073533,-12.809716643373203,-14.809988059482366,-13.296857109199069,admirer
-13.906717800331359,-12.594543358641484,-14.604499078490006,-13.06382904296777,-13.601740790513134,-12.661263663863876,-14.463372266884587,-12.986118013154757,adolescent
-13.872979543952454,-12.591274451917398,-14.544919575118225,-13.088972298028727,-13.563060069769941,-12.697919298635234,-14.409425988165104,-12.943545646041825,adult
-13.704188290896022,-12.37495050766224,-14.591753288122856,-12.956391507213745,-13.275555758415846,-12.491474311204467,-14.26063596234285,-12.784569639757084,adventurer
-13.647682754522016,-12.28470938618596,-14.156069315509862,-12.460542985115476,-13.606432392819052,-12.383697232108446,-14.099643370610032,-12.348768954412474,advocate
-13.915340077205204,-12.551295722793016,-14.657457040048046,-13.092858585834048,-13.806312372838974,-12.901254829645893,-14.90040559784287,-13.36409795448109,agent
-13.722315105800769,-12.383042892647495,-14.327243980835496,-12.69008785316463,-13.427271901406653,-12.611668447820653,-14.280888328202883,-12.811541202878278,aggregator
-13.692477677192235,-12.405349680753286,-14.400243240716375,-12.90413318119542,-13.419285191948823,-12.621529045048824,-14.198555112427984,-12.712307965840983,alien
-13.81659077040606,-12.616109547148385,-14.483530576813868,-13.019092358882725,-13.612503898691257,-12.780718947654274,-14.632094714121575,-13.241350707549332,amateur
-13.702622348751829,-12.369741590284002,-14.355264241361427,-12.774274227151613,-13.458699394322133,-12.698691045563871,-14.215972809779013,-12.855882210808206,amir
-13.789270921059856,-12.476962419170267,-14.354287728834718,-12.753690265792944,-13.659373396597555,-12.525350603313296,-14.412725483700447,-12.817157778585054,analyst
-13.7361590703656,-12.476684351131734,-14.396438438909595,-12.826290789160662,-13.736693236248758,-12.85314207774852,-14.318196867710604,-12.813615665325413,anarchist
-13.896753589810364,-12.616100215018553,-14.715236588865087,-13.126229926098118,-13.808043755672932,-12.863206087484718,-14.528858435477293,-13.090216060918795,ancestor
-14.007856000950277,-12.838598241672013,-14.758469386038454,-13.324389445131507,-13.653974415088985,-12.898784472734034,-14.492764054837346,-13.05424567338747,ancient
-13.962828680358756,-12.731284376829615,-14.833360512593195,-13.312230215566693,-13.619558010833568,-12.820599978559294,-14.429945784000815,-12.932637986459644,angel
-13.9579282149914,-12.689219568459947,-14.578927099918324,-13.145487602491805,-13.560216404806976,-12.79401087586776,-14.311674602485326,-12.883424762314037,animal
-13.145265422705652,-12.021408004135125,-13.57270472672975,-12.123784672989373,-13.253976129537875,-11.965321248878345,-14.075543182652032,-12.186930570853452,animator
-13.248557097423936,-12.085218851932412,-13.662848907638619,-12.155318672530555,-13.07038742758557,-12.404132595788527,-13.689324934190632,-12.282602359465846,announcer
-12.995666880313088,-11.813459503192039,-13.399866864310301,-11.941465928950244,-12.873696887596537,-11.837171578454347,-13.034114081739006,-11.457453036399992,antagonist
-13.671595500587951,-12.396647794045975,-14.539535969304307,-12.993760837931626,-13.492646283764033,-12.464462925246105,-14.308087675016697,-12.772542911261398,ape
-13.878346046695752,-12.722089495655663,-14.398782104602759,-13.00206040066163,-13.590250822772784,-12.708012136692775,-13.976161917069414,-12.42894001777634,apologist
-13.771739368370874,-12.382304520229106,-14.367800019759207,-12.697957419876973,-13.453976959571184,-12.463402595431967,-14.237188636055093,-12.525654088079822,applicant
-13.669481876967561,-12.525152439773368,-14.536576200826511,-13.101383698076935,-13.433171015055887,-12.560960250119415,-14.201208928278625,-12.660884068080687,appointee
-13.626363542747393,-12.229666184514091,-14.37005796820717,-12.646293611731267,-13.594135945443922,-12.565868341063386,-14.426720256034743,-12.819774183705592,appointment
-13.777529840440454,-12.45133039113708,-14.699337468309364,-13.074745848314366,-13.42855849862457,-12.572916740152584,-14.484791095584415,-13.013200751417607,archer
-13.724679561995707,-12.618184018875013,-14.541051352429928,-13.026770582207202,-13.3930127232401,-12.626369403382624,-14.322933799285018,-12.827085708350284,architect
-13.767665177608132,-12.689936025814118,-14.494702623643887,-13.006651306919775,-13.56601057698865,-12.820445967175125,-14.281944620090945,-12.756861991281786,artist
-13.875693262884328,-12.67951008048547,-14.615003077130758,-13.221375935433455,-13.713527522657882,-12.871510850042846,-14.626017435548198,-13.209507045062432,assignee
-13.83170439499227,-12.590775578583797,-14.584897709454518,-13.096497042456345,-13.714677968635307,-12.897227000514452,-14.813982929219522,-13.418139473216252,assistant
-13.84028296985235,-12.496996683261447,-14.519958750565133,-12.935665965999991,-13.617706024355336,-12.590155137313142,-14.479937447667133,-12.917597930962124,associate
-13.513599191854171,-12.39925042341432,-14.149856848055705,-12.73850676643092,-13.214248636574752,-12.56657708901192,-14.081186613745587,-12.76308294801242,asthmatic
-13.527087218413751,-12.11411157892647,-14.230040108235151,-12.535877419911563,-13.403570384990322,-12.35502044438267,-14.22422240098942,-12.579171874856815,astronaut
-13.764948094048084,-12.423623897562061,-14.527076156907473,-12.8448734999705,-13.500638214292117,-12.540987275359075,-14.325387279186184,-12.69108451475338,athlete
-13.83335196793507,-12.510670085388824,-14.299686291032474,-12.771627078544716,-13.514780236979739,-12.341833671413028,-14.14163648209304,-12.424684100718979,attraction
-13.70989477610368,-12.428558405592403,-14.394886829671329,-12.856841215749073,-13.35461214728464,-12.7125271239943,-14.181296866433234,-12.764462810196216,auditor
-13.193784503140714,-12.123822501616877,-13.697211671295312,-12.108533757331324,-13.309096407676822,-12.39137878267522,-13.91129333018486,-12.241877144375673,author
-13.977232671717324,-12.625864160477494,-14.439122638474753,-12.914863701577382,-13.47847085320085,-12.49529259193894,-13.864353560237534,-12.322834141519456,authority
-13.691947979770179,-12.430906731025994,-14.382471588022787,-12.829884308208987,-13.43004987426043,-12.569103723748391,-14.233782392697576,-12.69258647923954,avatar
-13.732736703068776,-12.409561634307606,-14.536076075207177,-12.8976733067536,-13.474882639185696,-12.667486745044966,-14.45926728980094,-12.928562067930693,baby
-13.701991376561462,-12.297992361490667,-14.364406149864061,-12.673690016522036,-13.318841040461304,-12.35528544234834,-14.235256499297506,-12.34875960092557,balance
-13.840318189127213,-12.505901532621527,-14.475129630024568,-12.856384216042766,-13.630111512688053,-12.687412659810288,-14.470586980076535,-13.010824338743738,banker
-13.865063184596936,-12.602662042693579,-14.746011877674219,-13.160632069511442,-13.713861494154106,-12.781624920113194,-14.781230959144642,-13.33749450044357,barbarian
-13.592936462959885,-12.434116513812576,-14.117551857340345,-12.71359388364218,-13.291835146352632,-12.611940418229036,-14.267577528959539,-12.894730320309868,bather
-13.853824472857633,-12.3980874622296,-14.588999400512767,-12.880859272218613,-13.408539439854467,-12.377860847444913,-14.311597148722221,-12.70227380723353,bearer
-14.171602186500845,-12.891043249260235,-14.90746320991065,-13.38031805331002,-13.681505732447967,-12.802185061649682,-14.595123458678744,-13.078252278964632,beast
-13.527564630453075,-12.17620084917091,-14.060932789176741,-12.4637100151001,-13.234598626668324,-12.351440969599352,-14.154874695929756,-12.612401468830313,beater
-13.758574003714815,-12.499093761948025,-14.415361055723624,-12.890424087564226,-13.635683663767765,-12.707511880468493,-14.602920186733677,-13.210900950046685,beginner
-13.635494357396546,-12.306087370750785,-13.889544206948962,-12.45663964493258,-13.403679926732476,-12.382001457674699,-14.147396489618089,-12.653131407303126,beholder
-13.65326078450799,-12.3319063098004,-14.143823715175664,-12.626980944016767,-13.726891306867099,-12.719276469413385,-14.451196779708006,-12.873362834250742,being
-13.902699860975694,-12.51133818271729,-14.524591626854455,-12.890045215083045,-13.767922279995803,-12.619427678903385,-14.29179550836771,-12.74354087714664,believer
-13.919711810097105,-12.630484045012464,-14.756119400222847,-13.192596151769349,-13.663583701429054,-12.787029822797036,-14.737606956048241,-13.212808620486078,beloved
-13.693470046455712,-12.385069518680554,-14.210533585585955,-12.589732495222494,-13.537807044503346,-12.660315414783886,-14.116851715465904,-12.622827305028801,benefactor
-13.813966667779589,-12.443710732743984,-14.43468040137012,-12.758267486281419,-13.438478697655102,-12.516430697932728,-14.342643101748052,-12.757551161677188,bidder
-13.849942582679855,-12.502959738951152,-14.454379557563914,-12.766499949037545,-13.741478810507425,-12.892227901001565,-14.532374490467513,-13.019223268148833,billionaire
-13.810847553672044,-12.63666850778256,-14.482490095595793,-12.958336365534773,-13.588531819238026,-13.055794232488392,-14.447688914259672,-13.091994201643194,biologist
-13.681436692259815,-12.332216968060706,-14.337256941255221,-12.769970187542606,-13.467442178495377,-12.583418577498033,-14.04630154492293,-12.468548447301087,bisexual
-13.902752896116695,-12.643569569207678,-14.745985914940189,-13.240332971282179,-13.582661478312858,-12.796907259619884,-14.616463272790133,-13.257019119646195,biter
-13.588966684084095,-12.340310611009931,-14.093206448102286,-12.478107193311976,-13.469802065832438,-12.720431255799106,-14.074714027817269,-12.723017486809105,blogger
-13.646995155289982,-12.447582112332352,-14.416596573695596,-12.931925653103626,-13.689115505373607,-12.905682649691766,-14.797575831629405,-13.342354757003324,blonde
-13.486512885493829,-12.284094753585865,-14.223620068271806,-12.701748501809961,-13.320625306870674,-12.504712420688785,-14.35570260712518,-12.858359200053025,boater
-13.470008154779832,-12.296077003770868,-14.463018194137799,-13.003919534179499,-13.335313067094724,-12.66695163452304,-14.522511442314734,-13.15207069857563,boatman
-13.791983698700955,-12.446118295962489,-14.458121682100575,-12.84066864457309,-13.276242392806985,-12.576377489706328,-14.188083196564627,-12.670666940637036,body
-13.720317629362118,-12.384671150244932,-14.527125022136051,-12.897198996958087,-13.386933389219381,-12.503354256863293,-14.492995734861331,-12.970083986834409,bomber
-13.628759095020948,-12.4328677966806,-14.2701490827232,-12.73098869785948,-13.520369648216734,-12.842549169110795,-14.329589324662347,-13.04318255879576,bondsman
-13.624366243564207,-12.193590209652324,-14.14119150077842,-12.400987729130843,-13.442633636385837,-12.397121678697774,-14.250901289015903,-12.535931101344314,boob
-13.630870086807318,-12.770992852938509,-14.516937578532215,-13.185529979244773,-13.555884538788764,-12.980892189743976,-14.550192847084016,-13.219648461975027,bookmaker
-13.46683437949112,-12.164976326216555,-14.28703645117713,-12.649810076178158,-13.179615861505141,-12.32341624103688,-14.264863081161868,-12.676293443418267,boomer
-13.700634696079057,-12.290306999531493,-14.500432505802227,-12.810430084879705,-13.275915164777286,-12.357190372554868,-14.293048008705462,-12.643565000527284,booster
-13.794420714772498,-12.630880637809597,-14.375900040154006,-12.847404128682358,-13.597288912656865,-12.828531349586115,-14.161812838566735,-12.748948104575716,boss
-13.824246481671354,-12.491738892162314,-14.756489506423655,-13.142451039971395,-13.367463664950785,-12.644140298083967,-14.599055764371776,-13.15679341200084,bowman
