ss,sp,ps,pp,sent,s_freq,p_freq,freq
-0.2386786727422212,-0.20285349415885712,0.35051066978564016,0.34469917920613113,aboriginal,830,72,902
-0.5844206787350075,-0.6689343510201411,0.22871633132267277,0.3252960407888228,absentee,111,6,117
-0.36504910156010695,-0.44643254670333654,0.19294175405720893,0.16428517046578506,accuser,39,38,77
-0.45590481623247037,-0.47191086840704344,0.3011468823691512,0.3701414373410401,ace,1494,295,1789
-0.3856908035167237,-0.3805592918502825,0.3886752882034443,0.40213058837146676,achiever,25,6,31
-0.4219270108823654,-0.3680796564744231,0.26278272285192017,0.20706474008252407,acquaintance,373,218,591
-0.6999052833894073,-0.8284378403015253,0.37672737041588533,0.5499091734534076,actor,8770,6109,14879
-0.6048225445613955,-0.7654779058263053,0.14592560543174038,0.2918971312708418,actress,5705,614,6319
-0.5149247298251325,-0.4965701878805522,0.5188124006367332,0.5569520074858154,addict,145,72,217
-0.6530075530077344,-0.6663020103871649,0.21803747195533063,0.22733093567428497,adherent,66,352,418
-0.22917289487082115,-0.24500481555181786,0.14145403381773036,0.21448275093304758,administrator,782,492,1274
-0.41898710729680744,-0.4866244850263737,0.3255651742434722,0.2973633705778287,admirer,270,182,452
-0.27528665113659834,-0.27692924123427254,0.1520051072622497,0.1769791126531306,adolescent,335,209,544
-0.2682837807038503,-0.22207054822536776,0.1918415197676424,0.290618554217664,adult,5529,3574,9103
-0.3423965522624428,-0.3389422835429805,0.237914590613304,0.29675089187426806,adventurer,192,152,344
-0.4768576219616172,-0.46784556216687356,0.24690613846407494,0.26419498221679305,advocate,1365,653,2018
-0.790742127111292,-0.8938201766815617,0.421608588654399,0.5821616503484677,agent,5241,3117,8358
-0.13363836806818163,-0.11920596379987813,0.31282331486495885,0.3303353816132386,aggregator,443,12,455
-0.7749896925046134,-0.9552428438911811,0.37914081057476423,0.5936800154925308,alien,3286,1309,4595
-0.4728218263561974,-0.4933625890834783,0.19584531666372662,0.31580296309339495,amateur,2233,232,2465
-0.10408728261996636,-0.11928155790430317,0.21282424291228175,0.2671517971177142,amir,541,4,545
-0.40029354093390346,-0.3700714295312135,0.15671339483030344,0.13564381944821413,analyst,462,549,1011
-0.34147695930617594,-0.34761287908202476,0.3985557651639464,0.4204165607827477,anarchist,566,321,887
-0.4927016328892897,-0.5077428047867087,0.18394855932632836,0.18107710377880082,ancestor,931,1088,2019
-0.30320425828300657,-0.2923327853064759,0.24718727347008596,0.27981537780483023,ancient,6622,134,6756
-0.5676539545706891,-0.8006749504989124,0.2549942963851066,0.397799630239442,angel,2602,1354,3956
-1.0264915283716771,-1.1081269174077786,0.46004288501695356,0.7396207199694658,animal,5978,7775,13753
-0.1683129136145194,-0.16244294055365494,0.5432970065279612,0.4502095726944173,animator,391,736,1127
-0.21634566771999886,-0.3418656720206581,0.2821086444371659,0.34635673013101353,announcer,324,99,423
-0.5416656459527989,-0.6119639790827556,0.537541829181956,0.509366549009755,antagonist,884,345,1229
-0.4790150872025034,-0.4375782544359961,0.25028231005946466,0.4130326100282069,ape,207,372,579
-0.7669411611796573,-0.8730309793590507,0.47769269190590613,0.5991341766631315,apologist,31,24,55
-0.2556090415541856,-0.17747476095126835,0.24269952189138877,0.34809255535253847,applicant,269,385,654
-0.5011402310974287,-0.5568360057737003,0.3621111135413049,0.44457024388056965,appointee,73,147,220
-0.5778539206718847,-0.6045981160510081,0.17741327659920003,0.3459388819914313,appointment,2742,656,3398
-0.44251271911034173,-0.48992776641786406,0.0527714989063508,0.19269016501739422,archer,950,324,1274
-0.4359760919287812,-0.616867621144932,0.2302271602678001,0.3468694759822242,architect,2373,1256,3629
-0.5760502499422824,-0.7491116842431982,0.4631586512262462,0.6493056854675601,artist,9094,7385,16479
-0.5556459557397684,-0.6009337117851672,0.3607549231119336,0.4459969396138561,assignee,10,5,15
-0.25240679081038664,-0.3524937615701891,0.040373734827122476,0.17482206536126554,assistant,5266,498,5764
-0.5484403869143311,-0.4158861884627818,0.3331652316105078,0.4161012540290603,associate,1675,1268,2943
-0.7099107298504208,-0.8075532939683097,0.3827178961295985,0.6443215175629664,asthmatic,33,5,38
-0.5254545767716934,-0.495557906748223,0.19609583130201003,0.20605178141648217,astronaut,433,438,871
-0.716597358816049,-0.7284510293243258,0.30102191350458973,0.383836192949202,athlete,1335,2410,3745
-0.7344949484404708,-0.7042091742018162,0.27342288075316823,0.4613968675746687,attraction,1582,735,2317
-0.2144151220991688,-0.1403700330112514,0.37235872845532647,0.36261624720952845,auditor,184,97,281
-0.3094842649099796,-0.5680857455307926,0.28762602769169554,0.38233589881771834,author,7640,3461,11101
-0.583415735996125,-0.5992417496088223,0.13675634737909093,0.19044925612278618,authority,7524,5340,12864
-0.48572633949083865,-0.5118075259526584,0.5659288105082609,0.6400069796333074,avatar,888,182,1070
-0.5535434779187405,-0.6743122298720845,0.16912072787291343,0.35414348444097143,baby,4303,480,4783
