ss,sp,ps,pp,sent,s_freq,p_freq,freq
0.1432165511549055,0.3141281050688196,1.2229576314854356,1.6252374100417164,aboriginal,830,72,902
0.42808204914522996,0.8716411120133802,1.2881614766046834,1.899956998925438,absentee,111,6,117
1.13601882613332,1.333041913664097,1.4462641427597482,2.04270545254626,accuser,39,38,77
0.03472054369921018,0.3154827869076424,0.47038739037473043,1.075813176775343,ace,1494,295,1789
0.07559687590362074,0.43032777627454877,1.3657363678083367,2.355450318874624,achiever,25,6,31
0.21366583530591043,0.3484770347453008,0.02698732982860541,0.4308601774913363,acquaintance,373,218,591
0.7997106674190739,0.7601869425575529,1.2680036091254436,1.7929798737138842,actor,8770,6109,14879
0.5857262068149733,0.6148038799828281,0.7025666636719379,1.2484733179015102,actress,5705,614,6319
0.41101754723422346,0.648180737129664,1.4269327153156084,2.323094216065831,addict,145,72,217
0.1405384516895385,0.5332278151311964,0.1372213881044253,0.6271261979659943,adherent,66,352,418
0.4647028692965911,0.7501149293398246,0.3004096815173227,0.9013059711693998,administrator,782,492,1274
0.5471102412741988,0.9413056438635685,1.35651338429399,1.8135004746321446,admirer,270,182,452
0.17667635666125214,0.5335303150996875,0.1962262541141584,0.6236847394592626,adolescent,335,209,544
0.33436992820908706,0.6495895309793074,1.3007743143638013,1.9666854833220935,adult,5529,3574,9103
0.39702058243411287,0.6863627840044373,1.3209466532614442,2.074973456368328,adventurer,192,152,344
0.3501157715027343,0.36925736640535867,0.07359574446569006,0.584556046648089,advocate,1365,653,2018
0.7673178702597827,1.022384832372424,1.3452556008961096,1.6529681638533305,agent,5241,3117,8358
0.08697433240111607,0.3200659354577642,1.1898537550636359,2.301275217775446,aggregator,443,12,455
0.5313167620048436,1.0837457552422993,1.3556762647099756,1.7903444014420629,alien,3286,1309,4595
0.17718624530056104,0.325461768654554,0.28527664306364997,1.0412028405692215,amateur,2233,232,2465
0.20310376285837428,0.4403813479041414,1.0016702490313154,1.8874484220871768,amir,541,4,545
0.46436027453227346,0.7728506437157332,0.20756370615787034,0.6024619716913318,analyst,462,549,1011
0.2619262432362426,0.7057486561918065,1.2964517744731303,1.7588920956028886,anarchist,566,321,887
-0.43480397713579855,-0.25330988526817144,0.46086088173612083,1.1312669446789982,ancestor,931,1088,2019
0.23176252648168472,0.5426450348043108,1.027132627634339,1.6467519851290238,ancient,6622,134,6756
0.5056522067639513,1.057127660638356,1.2512265815526078,1.925252865269826,angel,2602,1354,3956
0.7178064125366177,0.832585602780215,1.2575831593010616,1.867117327288426,animal,5978,7775,13753
0.8543487684783688,0.7738008395359284,1.701594503964925,2.415749925069452,animator,391,736,1127
1.2132822877868854,1.5298782956434476,1.6411057638720283,2.000386332226089,announcer,324,99,423
0.08658008200514722,0.2627186326111701,1.2448199384698082,2.2573053122401543,antagonist,884,345,1229
0.33010824672160055,0.6895698804820629,0.4207024054394868,0.7805365142313097,ape,207,372,579
0.8928760014514268,1.3217970088863638,1.3810178124298993,1.8818591496359307,apologist,31,24,55
0.2897560688937073,0.4318237045636977,1.3209990103115814,1.8391850524077764,applicant,269,385,654
0.407675698372012,0.5076798272305414,1.3111949684592776,2.300423017715042,appointee,73,147,220
-0.504091726935993,-0.5277676553936441,0.7362137399496458,1.3455367021242939,appointment,2742,656,3398
0.45293389024758746,0.7776734905324378,0.9173623357438387,1.3390513460340117,archer,950,324,1274
-0.025305425124534153,0.16051002789152946,0.7626612126342316,1.201872417213652,architect,2373,1256,3629
0.5431418715469789,0.6710149432626658,1.172070134205148,1.7195178947159118,artist,9094,7385,16479
0.3872786137478599,0.796479117795645,1.213271100998881,1.9218610984458397,assignee,10,5,15
0.5118987343936503,0.677830827609812,1.2375056702843619,1.7750964585782487,assistant,5266,498,5764
0.3190146303054302,0.5018566163454334,0.9473731047997731,1.4160280416363715,associate,1675,1268,2943
0.11211952914425716,0.6724156428158192,1.0180621312574996,1.832669997791026,asthmatic,33,5,38
0.41823331856671153,0.799318608085084,1.0571751406884413,1.5491719966851782,astronaut,433,438,871
0.5542961288157446,0.6366622055307012,1.0133635596022206,1.660933869215107,athlete,1335,2410,3745
-0.24914143772152286,-0.24424944418505312,1.169933891439877,1.8026146622140136,attraction,1582,735,2317
0.35453486022629477,0.602826506127295,1.1324624371483836,2.0938700222479962,auditor,184,97,281
0.05716302036990939,-0.09235821343688322,0.6525085784854596,1.2506243078079784,author,7640,3461,11101
0.22528394962926157,0.4793664264079265,0.8055362754238526,1.2613977211491942,authority,7524,5340,12864
0.29925960360349,0.47564170025470176,1.5382454075716492,2.6231367472319356,avatar,888,182,1070
0.18832454701396806,0.5701809545295831,0.932695567885121,1.669291272423056,baby,4303,480,4783
-0.021948614772748343,0.5650482033087751,0.5898105845508947,2.3606774075152526,balance,2775,122,2897
0.2902879374936802,0.48552201835111575,0.3060792158820096,0.9534721947089242,banker,372,252,624
-0.01832294807828916,0.4689780119983471,0.4718564448832865,0.9343764929485303,barbarian,318,163,481
0.5671356839627819,0.7514375595847564,1.256122334436741,1.9090552060280608,bather,7,25,32
0.304747223807599,0.47125003690002387,1.1889519331456277,1.964936804550561,bearer,374,150,524
0.472465540221517,0.8040850504665737,1.0679910901501621,1.5305621000286198,beast,1214,238,1452
