ss,pp,sent,s_freq,p_freq,freq
3.0669228863025673,4.16997062582573,aboriginal,830,72,902
4.2569459302020345,4.27916051710568,absentee,111,6,117
5.0581938457793125,4.194947055243874,accuser,39,38,77
4.553958190388485,4.131118468131746,ace,1494,295,1789
4.061555783613821,3.85313616218426,achiever,25,6,31
4.598417352921167,4.114657072531024,acquaintance,373,218,591
5.149124651573613,4.590646777101522,actor,8770,6109,14879
5.156301946559319,4.570925376666704,actress,5705,614,6319
5.277275620839994,4.5589142433183625,addict,145,72,217
4.372559040749142,4.485678528727286,adherent,66,352,418
5.073793278565548,4.469284664825594,administrator,782,492,1274
5.029386016249868,4.492163029168278,admirer,270,182,452
4.525652746630758,4.4002856960892665,adolescent,335,209,544
4.271876441189473,4.841215323450369,adult,5529,3574,9103
4.852222406823579,4.245551093939994,adventurer,192,152,344
4.491170811780179,3.8072914632405332,advocate,1365,653,2018
5.246649393560059,4.884451924943887,agent,5241,3117,8358
4.741696232710204,4.080905394205452,aggregator,443,12,455
4.920341398983869,4.3627329702813125,alien,3286,1309,4595
3.6183730624163264,4.26775526258619,amateur,2233,232,2465
4.521868147781051,4.005746615427521,amir,541,4,545
4.848888091565403,4.377898045524692,analyst,462,549,1011
3.9631706472777672,4.314462875602365,anarchist,566,321,887
4.400679048660164,4.437574312353094,ancestor,931,1088,2019
3.819160162203806,4.5300126520656985,ancient,6622,134,6756
5.196784304251766,4.746461417757747,angel,2602,1354,3956
4.729166597069611,4.4893440150258535,animal,5978,7775,13753
4.8913621077129825,4.432647030427658,animator,391,736,1127
5.266365157208201,4.777839111085052,announcer,324,99,423
4.830724402481785,3.8394846669832514,antagonist,884,345,1229
4.648589116033184,4.370816389440465,ape,207,372,579
4.794664122205571,4.174066256498367,apologist,31,24,55
4.800194514692876,4.4024494620903525,applicant,269,385,654
5.045540648968835,4.511957991395059,appointee,73,147,220
4.40494098085037,3.771925371954092,appointment,2742,656,3398
4.967802667559933,4.566816422011664,archer,950,324,1274
4.606149714739416,3.4394108614726076,architect,2373,1256,3629
5.05607249658625,4.256616246303558,artist,9094,7385,16479
4.9442874841076705,4.5317007407283505,assignee,10,5,15
4.727008043826041,4.631284314337172,assistant,5266,498,5764
4.09725650985634,3.9122294988196398,associate,1675,1268,2943
4.0653023022292025,3.9687364087105426,asthmatic,33,5,38
4.76425342240522,4.572218505659404,astronaut,433,438,871
5.096499828454315,4.52774072835326,athlete,1335,2410,3745
4.728373315177526,3.7057630185606616,attraction,1582,735,2317
4.768515320496068,4.050459881227074,auditor,184,97,281
4.831982351180178,4.061639823277536,author,7640,3461,11101
4.4953269381815435,3.967064965518194,authority,7524,5340,12864
4.99004637859654,4.583838418885815,avatar,888,182,1070
5.192569766238863,4.706502791935073,baby,4303,480,4783
4.609748121575285,3.7827661662967564,balance,2775,122,2897
4.9513975765271745,3.8657156959830523,banker,372,252,624
4.66806504961257,4.380810633029036,barbarian,318,163,481
4.756763392237479,4.412879560323885,bather,7,25,32
4.510643742723577,4.2664259892966765,bearer,374,150,524
5.221489251945696,4.761441349530841,beast,1214,238,1452
4.594644141818705,4.209901933287101,beater,46,11,57
4.429656659058223,4.771366847058323,beginner,59,78,137
5.167948306014999,4.46692365958652,beholder,54,3,57
4.741031004454555,4.738732771084166,being,69128,978,70106
4.664581595382472,4.428521247766936,believer,355,228,583
4.18269648907663,4.436740350628543,beloved,547,4,551
4.934018324201629,3.9485933883231272,benefactor,187,94,281
4.939982994353969,4.580177398519792,bidder,118,56,174
4.932490212572997,4.426787574370735,billionaire,174,31,205
5.237154349529332,4.5291346648143875,biologist,293,237,530
3.7777966697640935,4.227484241305044,bisexual,298,9,307
4.829307581251623,4.384114291104872,biter,12,4,16
5.24944155871354,4.527122392987998,blogger,162,89,251
5.072566220062521,4.725511373887384,blonde,641,31,672
4.869788175005267,4.303903105522826,boater,9,57,66
4.992492404679059,4.490342299502641,boatman,23,25,48
4.843890778800747,4.812437250521649,body,17987,5562,23549
4.972056042496963,4.3759151882628124,bomber,2167,2884,5051
4.788608621772239,4.344978623744769,bondsman,3,5,8
4.514160895247773,4.807527494004024,boob,11,18,29
4.810006275748288,4.221296184107896,bookmaker,37,73,110
4.651043786558967,4.128736319703192,boomer,66,27,93
4.370227424027364,4.452737806780396,booster,281,98,379
4.949818743907187,3.8786826033799464,boss,2156,471,2627
4.635591366524226,4.4585279020594974,bowman,455,22,477
4.7076156410113335,4.417008550111882,boxer,550,129,679
5.349946183888941,4.635083208551963,boy,7855,4928,12783
5.051518948209619,4.258994002270903,boyfriend,1689,74,1763
4.834378255945989,4.507726324101828,brawler,28,5,33
4.545224085685922,3.8990665875075745,broadcaster,515,297,812
4.789820461255861,4.182140378049134,brother,12442,6567,19009
5.169662278613046,4.770454570258746,brunette,74,5,79
5.14173235092394,4.491275174768582,brute,186,45,231
4.454736246615461,4.212964384425497,buddy,424,46,470
4.129739753217944,4.2740900207456,buff,458,42,500
4.554776393986971,3.9651260306630984,builder,492,431,923
4.694852898094407,4.474121556407848,bull,1696,585,2281
4.976584969951157,4.612647359312778,bum,81,24,105
4.884101658430948,4.181142588807642,busker,7,3,10
4.357897776585107,4.0499349077527995,buster,238,265,503
5.170683514506758,4.379234795539787,caliph,564,52,616
5.455022820312472,4.743831136700894,caller,146,39,185
4.7508737446629965,4.031749718547722,candidate,4275,2755,7030
4.238896129187738,4.55341537815951,capitalist,358,85,443
5.208237110949415,4.314186528820015,captain,13626,805,14431
4.53210583071696,4.546604396072352,captive,1064,352,1416
5.2952331141913564,4.667952231137644,captor,36,210,246
4.755502725254932,4.3973090231981615,carrier,3591,2397,5988
5.334268815054445,4.433949625112632,cashier,63,6,69
4.622759845152293,4.2103071229870555,caster,29,9,38
4.750507340217865,4.385117087798269,catalyst,402,145,547
3.523672352848063,3.283428059400025,category,6389,1759,8148
4.833552939207285,4.5645576882194945,caveman,20,21,41
4.835199602791251,4.227130332347986,challenger,456,153,609
4.050250521160752,4.052486755989831,champion,5322,4183,9505
4.578327992683384,4.16612789897901,changer,48,22,70
4.492528230405608,4.30446865515661,chap,46,23,69
4.902023150965469,4.382662367938833,character,34343,20753,55096
4.9957294173661175,4.555312704844534,charmer,33,6,39
