ss,sp,ps,pp,sent,s_freq,p_freq,freq
-1.1954483801114932,-1.37849422701977,0.760265763081259,1.3838864969175457,aboriginal,830,72,902
-1.325540476628296,-1.5207259708957128,0.9806150371736813,1.452970748734419,absentee,111,6,117
-1.3956873414993058,-1.624412608990971,0.9665835226728348,1.6191595583715657,accuser,39,38,77
-1.4651038507561687,-1.6962850744341331,1.1383061014294107,1.677495323809623,ace,1494,295,1789
-1.3283662371241807,-1.6301122206592762,0.9514768094861505,1.6413418659823549,achiever,25,6,31
-1.3730283685678017,-1.572943623603221,1.1349709770955752,1.514839508607741,acquaintance,373,218,591
-1.3014070185417381,-1.6364761890660766,0.7898992469652448,1.5625928506211935,actor,8770,6109,14879
-1.1644263666209937,-1.5777087353777297,0.7499699871819914,1.4627797381605792,actress,5705,614,6319
-1.2659434070495834,-1.5828292440332845,0.9205851652094079,1.5045831540203753,addict,145,72,217
-1.3321320838899418,-1.4867282850977048,1.287784574408148,1.632247328566816,adherent,66,352,418
-1.2349240294108697,-1.571365225128151,0.920373873889794,1.448327253634627,administrator,782,492,1274
-1.3474608755912705,-1.5907182664769284,0.9127142137003297,1.5131309502832977,admirer,270,182,452
-1.3121744416898746,-1.5406700355222362,0.9404771266492578,1.4772542537298303,adolescent,335,209,544
-1.2817050920350557,-1.4559472770894981,0.8651407711347066,1.4658803421232793,adult,5529,3574,9103
-1.3292377832337827,-1.6353617809091112,0.7840814472113795,1.4760663225857655,adventurer,192,152,344
-1.3629733683360552,-1.6955263303943866,1.2227351607106058,1.7508744161975578,advocate,1365,653,2018
-1.3640443544121883,-1.5645984542139981,0.905057543193081,1.5363076433617788,agent,5241,3117,8358
-1.339272213153274,-1.637156127670865,0.8156034535860002,1.4693471253246049,aggregator,443,12,455
-1.287127996438949,-1.496110059520955,0.7977561468999994,1.4862471465870009,alien,3286,1309,4595
-1.2004812232576754,-1.4644382179311428,0.8317849510369832,1.390744006572243,amateur,2233,232,2465
-1.3328807584678266,-1.5809900142098137,0.7600083487582623,1.3600905989708068,amir,541,4,545
-1.3123085018895893,-1.6005974630417743,1.1340227932842595,1.5955677051153927,analyst,462,549,1011
-1.2594747192338662,-1.5701476497489324,0.8835511585002376,1.5045812023851912,anarchist,566,321,887
-1.280653374791811,-1.5890066627669697,0.9448376681882138,1.4386423745584977,ancestor,931,1088,2019
-1.1692577592782634,-1.4340799409069476,0.7551899423549511,1.4385183814498763,ancient,6622,134,6756
-1.231544303529141,-1.5211302970265024,0.7989580322742746,1.4973077975411702,angel,2602,1354,3956
-1.2687086465314525,-1.4334394974265194,0.7662055289392153,1.4282498401712882,animal,5978,7775,13753
-1.1238574185705268,-1.4489200537403768,1.2886548806595304,1.88861261179858,animator,391,736,1127
-1.1633382454915235,-1.5075302351080637,0.666254831797044,1.4067225747247853,announcer,324,99,423
-1.182207377121049,-1.458400935360057,1.0365253091421902,1.576661045339014,antagonist,884,345,1229
-1.274947706541976,-1.5457751313726806,1.0281833585179285,1.5355447637552988,ape,207,372,579
-1.156256551040089,-1.3967217039411288,0.8822386860800098,1.5472218992930742,apologist,31,24,55
-1.389434848141768,-1.6698425998822337,0.9905743641392171,1.7115345479752708,applicant,269,385,654
-1.1443294371941928,-1.435192502749576,0.8722107649364723,1.5403248601979378,appointee,73,147,220
-1.3966973582333022,-1.723764356475904,1.0282676043805363,1.6069460723291513,appointment,2742,656,3398
-1.326199449303374,-1.6245916199949981,0.855641758471986,1.471590344166808,archer,950,324,1274
-1.106495543120694,-1.514280770222726,0.7666433198574758,1.495848090934734,architect,2373,1256,3629
-1.0777291517940135,-1.4880513167241123,0.745564609813524,1.5250826288091588,artist,9094,7385,16479
-1.1961831823988582,-1.3936271416973032,0.8420166726150367,1.4165103904857652,assignee,10,5,15
-1.2409288164084735,-1.4884006669981726,0.8174509681208555,1.39584345600327,assistant,5266,498,5764
-1.343286286590903,-1.5842927845651413,1.027550887042194,1.5623395167050091,associate,1675,1268,2943
-1.11434876843985,-1.4113500816247857,0.6476715475628314,1.318103665733167,asthmatic,33,5,38
-1.4129756394872803,-1.6941626883235887,1.0485499406076517,1.6450505261326054,astronaut,433,438,871
-1.3413241964860223,-1.6822026569369726,0.9596509389330414,1.634302764432805,athlete,1335,2410,3745
-1.3226818825462452,-1.528059212487758,1.1729465655667113,1.7169523813740604,attraction,1582,735,2317
-1.2813363705112764,-1.5380456139222556,0.6420850232903401,1.4168340562370183,auditor,184,97,281
-1.0699620015238374,-1.5886779139639877,0.9177176250016021,1.6694161858091867,author,7640,3461,11101
-1.35136851123983,-1.5242589368973718,0.9831782612619104,1.541519418718078,authority,7524,5340,12864
-1.2610412487441849,-1.5525872798137996,0.8609461505120386,1.5411959134580346,avatar,888,182,1070
-1.32317506876117,-1.6384027684535774,0.8073958941407291,1.530705221870246,baby,4303,480,4783
-1.403999015070795,-1.6907161333420255,0.9635555981129649,1.8864968983719361,balance,2775,122,2897
-1.3344166565056863,-1.6187454139818023,0.9426988528777649,1.4597626413327962,banker,372,252,624
-1.2624011419033572,-1.5853798081627772,0.9322365740409122,1.4437364587010713,barbarian,318,163,481
-1.1588199491473095,-1.4039579736981658,0.6798947281235961,1.3728472086496701,bather,7,25,32
-1.4557370106280327,-1.7081401282941542,1.0306785924095543,1.6093233414886914,bearer,374,150,524
-1.2805589372406097,-1.5271451566006302,0.8793206707982844,1.5168711797141121,beast,1214,238,1452
-1.3513637812821653,-1.5972227740766414,0.8831576570689723,1.5424732270994426,beater,46,11,57
-1.2594802417667896,-1.5249369681593983,0.9281717832992715,1.3920192366869912,beginner,59,78,137
-1.3294069866457612,-1.4329045620163825,1.0216784690577771,1.4942650823149624,beholder,54,3,57
-1.32135447470759,-1.5168427711588972,1.0076148374537137,1.5778339454572645,being,69128,978,70106
-1.391361678258404,-1.6345464117714101,1.148494601092418,1.54825463122107,believer,355,228,583
-1.2892277650846413,-1.5635232484534978,0.8765538786320182,1.5247983355621635,beloved,547,4,551
-1.3084005277751576,-1.6208010903634609,0.8774916297194597,1.4940244104371025,benefactor,187,94,281
-1.3702559350356047,-1.6764129150887008,0.9220479997223734,1.585091940070864,bidder,118,56,174
-1.3469828437287035,-1.6878796085263694,0.8492509095058605,1.5131512223186796,billionaire,174,31,205
-1.1741790458894847,-1.5241537300610197,0.5327375867496347,1.3556947126164776,biologist,293,237,530
-1.3492197241991093,-1.5672867537126152,0.8840236009973435,1.5777530976218426,bisexual,298,9,307
-1.2591833269090174,-1.50565294365801,0.7857542186929738,1.3594441531439383,biter,12,4,16
-1.248656073074164,-1.6150992547903105,0.7493708100333318,1.3516965410081632,blogger,162,89,251
-1.1994130429576302,-1.4846709205919701,0.7834328556818413,1.4552210746260812,blonde,641,31,672
-1.2024181319079634,-1.5218715664618454,0.8159128861818896,1.4973434070721545,boater,9,57,66
-1.1739311510089632,-1.4590986599583005,0.6683614325716842,1.3704407437391044,boatman,23,25,48
-1.3458654027384664,-1.6174530375274845,0.6998649031006572,1.517416255927591,body,17987,5562,23549
-1.3356464791171856,-1.629926025177964,0.883579132356088,1.5229117480269228,bomber,2167,2884,5051
-1.1958912983403476,-1.5391603848637203,0.6778204791059395,1.2864067658665874,bondsman,3,5,8
-1.430776033911883,-1.7402037716475771,1.0455119576880634,1.7149701876715895,boob,11,18,29
-0.8598772338688097,-1.3314075992874415,0.5749923490447877,1.3305443851089898,bookmaker,37,73,110
-1.3018580532745645,-1.6372263749989724,0.8561996204682618,1.5885696377436016,boomer,66,27,93
-1.4103276965475633,-1.6900024209225215,0.9187247922224184,1.6494830081781782,booster,281,98,379
-1.1635400769629012,-1.5284959114716479,0.7687575630707499,1.4128647339910199,boss,2156,471,2627
-1.3325075895090404,-1.6140384664522607,0.7233233668668184,1.4422623523709373,bowman,455,22,477
-1.3688206471245525,-1.664181653591566,0.9500139052915912,1.520081055007621,boxer,550,129,679
-1.2109922641982198,-1.4519241138819723,0.6878650253139718,1.4189724431033621,boy,7855,4928,12783
-1.2031828745057087,-1.6239065291367805,0.7375740704721228,1.5210027739191236,boyfriend,1689,74,1763
-1.3100069441833728,-1.6111726714835726,0.887908982894988,1.5424322134780883,brawler,28,5,33
-1.2469060496085689,-1.5949229354804935,1.0555258294913035,1.527191999246412,broadcaster,515,297,812
-1.195170013088596,-1.4982873954071696,0.7359126975271497,1.4227365704320132,brother,12442,6567,19009
-1.244294418901415,-1.4929637254527144,0.8321084882195855,1.4979174242396933,brunette,74,5,79
-1.1992151867179501,-1.4119823160304232,0.7735582859327135,1.4490620603391164,brute,186,45,231
-1.3469986920452683,-1.5600659044896243,0.991586387564297,1.4789280438062846,buddy,424,46,470
-1.2526048027078218,-1.5149009354596625,0.8062031484535037,1.3899911951143462,buff,458,42,500
-1.2141386272359025,-1.5681354110764723,0.8183689468103026,1.4372043995085928,builder,492,431,923
-1.4017496501448203,-1.6344910044532917,0.9926246000725403,1.5642478953232324,bull,1696,585,2281
-1.2945814159493185,-1.5506041939158575,0.8350488143965968,1.4528677360887077,bum,81,24,105
-1.0494683925582606,-1.3468221925079469,0.7165484361000658,1.3282183293119623,busker,7,3,10
-1.3209087579816483,-1.5896741166410138,0.875967707096093,1.5130114914339234,buster,238,265,503
-1.1212273947824105,-1.4319317469384387,0.4399798704572948,1.203268580065938,caliph,564,52,616
-1.4077874920852125,-1.717745604782122,0.9395597630752874,1.623411999635012,caller,146,39,185
