SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-65.97649193600003,-68.67988879199994,-67.11312659800012,-68.50643296200003,-69.97242129799993,-68.34191576399999,-70.37429149999993,-66.94044155000002,abductor
-68.661083144,-70.41075558000007,-69.55298168000003,-69.03556590800002,-70.26553469599992,-67.72051713999993,-70.33733343600002,-66.36009338400018,aborigine
-71.32361754400013,-73.96437576600005,-72.45381627799995,-73.07550046600012,-72.70125098000003,-70.47470668200005,-72.7848430379999,-68.97091046799999,abstainer
-68.6768917780001,-70.15757105400007,-70.37067209999985,-69.07805904000014,-69.27433451200011,-66.72720600599993,-68.87704416600006,-64.63812756000003,accumulator
-66.78604112199977,-68.95506222400014,-67.18785683599998,-67.97307664999994,-69.54746244399988,-66.496811466,-68.81408252400006,-64.69047846799984,achiever
-62.253296114000044,-64.70911037999997,-64.1591713239999,-64.94162661600008,-64.64392237199995,-63.06879034200004,-66.06567915799987,-62.74088477999998,acquaintance
-64.21357326399996,-66.52643868999989,-65.14276423599999,-66.11926955000007,-67.18774213200003,-64.62716793000007,-67.1290928659999,-62.958571943999864,addict
-65.35085668800001,-67.39692875400007,-66.82857305200002,-67.32118185999994,-67.96487053999998,-65.549655726,-68.02391554000006,-64.23563975200007,adherent
-65.44077440599996,-67.68954865199998,-66.684102864,-67.37962719200006,-66.55109177799999,-64.68983509000007,-66.32977085800007,-62.84443222200001,administrator
-65.91262538400001,-68.4735214400001,-67.36221524799993,-68.39861085200003,-66.08868538800003,-64.44527343600005,-66.94319442200003,-63.895922190000064,admirer
-64.71723291200007,-66.95093445199998,-65.46736184799991,-66.05304389200005,-69.10664798599994,-66.66013199400004,-68.49217642599994,-64.25660227799993,adolescent
-61.726596074000035,-63.32315749999995,-62.692202265999896,-62.919307364000005,-64.821795164,-62.355614554,-64.39147799199995,-60.39259321199998,adult
-62.322107559999935,-64.2469774519998,-64.30871995199995,-64.53302818999988,-66.52934017000007,-64.36400502799992,-66.91928974599993,-63.36715837799999,adventurer
-64.57908796200006,-67.20994727199997,-66.02656584799998,-66.61181899000017,-67.7877742700001,-65.34885271599997,-67.83029523800002,-63.74831237200009,adversary
-64.39988319599999,-66.48087018400001,-65.61835441799987,-66.20856654399999,-67.53560406599998,-65.32910801199992,-67.27642930799992,-63.73099283000007,advocate
