SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-68.85968698799992,-71.33731842600001,-70.09153255600003,-71.13827441599993,-72.64688342399994,-71.22254155799989,-73.48371818200003,-70.14725087399997,abductor
-69.82155265799996,-71.64014973800006,-70.78705357999993,-70.16827547000015,-71.10497833000014,-68.70702790999981,-71.24249437999994,-67.00246080799988,aborigine
-71.59433223799998,-74.16991549999996,-72.66004425399997,-73.45376189599996,-73.7086568740001,-71.59632938600001,-73.75230604599996,-69.87589088000003,abstainer
-69.9589927899999,-71.03670138999995,-71.74160749199996,-70.22045565,-70.10744579200005,-67.76054670800009,-69.80379313800005,-65.65977694999992,accumulator
-68.19543597800002,-69.99604537199993,-68.66393917000008,-69.22853622599996,-71.08038093799998,-68.42456841999996,-70.15304039600002,-66.13983665200011,achiever
-63.79561019199998,-66.16167106800016,-65.5621419759999,-66.16599431000004,-66.0934284080001,-64.81353641799991,-67.33332167200011,-64.26021551399998,acquaintance
-65.71099566400008,-67.78254319400004,-66.4494432700001,-67.50068669399998,-68.54350584400007,-66.15056665800007,-68.13784621199994,-64.09490670999999,addict
-67.85268305599996,-69.74462647800007,-69.0165253560001,-69.40211751200007,-69.78554595200008,-67.75624652999986,-69.82076031200008,-66.18701538600017,adherent
-67.06356999599997,-68.78512231799999,-68.04259220400003,-68.46200891200003,-67.391074566,-65.54337606799997,-67.34180317200003,-63.8298051839999,administrator
-65.59753166999994,-68.23313348599987,-67.029177878,-68.11225183800013,-67.45375895599992,-66.25888765600006,-68.06161534200008,-65.291840442,admirer
-65.822403186,-67.81173290200006,-66.80197281400008,-67.52432414000009,-70.37501382399991,-67.72192139199993,-69.85639966199989,-65.45884283399994,adolescent
-63.88850102600004,-65.16675647199993,-65.2637544600001,-65.54996202800007,-66.92558668399992,-64.41645651000003,-66.549633586,-62.60347203600005,adult
-63.39928718200007,-65.30330055600001,-64.92723149799997,-65.62972234199995,-67.79015658800003,-65.77441865400003,-68.29848296199991,-64.81507443400002,adventurer
-65.86862369800001,-68.11223764400009,-66.85872620799995,-66.9385589340001,-67.94121184000001,-65.79888378199995,-68.12222323399999,-64.125696906,adversary
-66.40628470600001,-68.51989544800014,-67.07589360799999,-67.68780865399994,-68.43685359200012,-66.50390388000005,-67.75513430400004,-64.27302329799997,advocate
-61.70002144999993,-63.8787347519999,-63.00096441999995,-63.718024631999924,-65.09167565200005,-63.473923153999955,-65.53180192999999,-62.11564487599993,agent
-70.331461106,-70.92527069400005,-71.66263793200005,-70.13243935000007,-72.58460677999993,-70.0014350999999,-71.77637503600019,-67.66107917399992,aggregator
-69.41640111800004,-71.08001929800001,-70.666842554,-69.77983788400014,-70.98314979799997,-69.46929741200007,-71.01259562799997,-67.23706726399989,agonist
-67.36843651000001,-69.61180183800003,-68.5460255160001,-69.11619132800001,-70.32015913,-68.31385506000005,-69.96529393999992,-66.12589833200005,albino
-63.91939783600006,-66.17800015000002,-64.85753354399999,-65.45197719400004,-65.470129688,-63.63187003800004,-65.52916302800006,-61.98344572799986,alien
-72.29941204599994,-73.27590176199995,-73.71508692000002,-72.3590766879999,-75.42818594400003,-72.90612824999998,-75.21574851800003,-71.1395256759999,allocator
-70.34372010199989,-72.97156007400004,-71.61233591399989,-72.90395136600006,-72.9730181020001,-70.81753536800005,-72.91316211199984,-69.099547844,amputee
-64.71328278200005,-67.09037229,-64.73765993799992,-65.91362181599989,-68.44087036400005,-66.70235445599992,-67.68161426200001,-64.43146314600008,analyst
-66.52487299399999,-69.07729899999997,-66.24647294199995,-67.18835446399996,-68.47574215399997,-66.29029442000002,-67.45561008999988,-63.45264446999995,anarchist
-69.8542068820001,-72.57264936799997,-70.58230201200004,-71.72003880800015,-72.43098202000002,-71.04370728400022,-72.45918021000014,-69.24012583400014,anatomist
-65.33901942,-67.29396973799987,-66.58565762999999,-66.82246267800005,-69.4422747379999,-66.5833662419998,-69.7981664020001,-65.35172717399992,ancestor
-64.57783067200003,-67.35452110600008,-65.79118844000007,-66.64892771399984,-66.3082954000001,-64.78173170200009,-66.99548808600008,-63.712711896000044,angel
-61.100530401999904,-62.789232509999934,-62.701745659999894,-62.480749465999956,-63.24577524200001,-61.028670138,-63.212674120000045,-59.22848385999993,animal
-67.2723927039999,-69.61726400000015,-67.80020093800003,-69.16245952999994,-70.522647454,-68.70814971199995,-70.24594878999996,-67.01895850999996,animator
-66.67218563799993,-68.79981514400006,-67.35432240000003,-67.54412572399994,-68.388384858,-66.53497355999997,-68.80360723800011,-65.01006715999992,antagonist
-70.50074489599999,-73.11673998399999,-70.95071443400016,-71.99415449399986,-72.38213003599998,-70.87351920799995,-72.3153880000001,-69.15427724399997,antiquarian
-71.33874121799988,-74.22564663800001,-71.91304060000013,-73.20322415599999,-74.05976778800019,-72.50658737399992,-74.00929508999991,-70.72762031999993,antiquary
-63.86050148199998,-66.53450364399995,-64.39432496600014,-65.44180847799991,-66.80820283799989,-64.68464423599995,-66.54181821999997,-62.739570591999986,ape
-69.63394161799992,-72.07973934000005,-69.86998387199999,-70.45364554399998,-70.70225325999995,-69.8620180919999,-70.55783543400001,-67.7999201040001,apologist
-69.47063575800001,-72.19502318800001,-69.76588767400001,-70.779373152,-70.67230094599995,-69.04625468600005,-70.98076539799999,-67.56120150400004,apostate
-69.5199347640001,-71.21624613799993,-71.19736960600001,-71.21634924999998,-69.01479977799997,-67.23867132000001,-69.40130127399993,-66.11306077799999,applicant
