SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-56.55639535400003,-59.4197817060001,-58.348103614000046,-59.776098069999854,-58.23259889800002,-57.082129944000066,-60.314838525999996,-57.19412767600009,abductor
-59.237714256000004,-61.50941814399996,-60.92052105600007,-61.41031681199994,-59.99123017200007,-57.54169239599993,-61.51786821199998,-57.52525201599995,aborigine
-60.82643141000007,-63.66080754200007,-61.96509936199998,-63.549765054,-62.91411953199997,-60.669326737999995,-64.15934700799995,-60.20117333,abstainer
-60.452433002000035,-62.15845817800002,-63.13376416599996,-61.58324642399997,-61.934726147999974,-60.03464601799989,-63.99080815800005,-59.77438238399993,accumulator
-58.181838558,-60.844678756000064,-59.96883336599992,-61.23880878400003,-61.82054438399989,-59.57175082599988,-63.05660279000008,-59.014810499999996,achiever
-56.219881138000005,-59.16122029,-58.386725395999996,-59.54255327199998,-60.08917263400011,-58.662366096000035,-62.11242180199996,-59.093368496000025,acquaintance
-55.45256572999998,-58.30408063200003,-56.75081059199995,-58.470021668,-58.78940759800002,-56.604181354,-60.53991277599993,-56.42036880200006,addict
-57.68494434800002,-60.57896081600002,-59.54380201800002,-60.929593937999954,-60.84961522999998,-58.93563095800003,-62.50481120600001,-58.82954658399994,adherent
-54.782617265999995,-57.419844406000024,-56.36218455800006,-57.25688427999997,-56.975743113999975,-55.99840875799999,-58.70911188199998,-55.61746042600007,administrator
-57.56699652600004,-60.719755324000026,-60.37886603199997,-62.128836376,-59.60363340600002,-58.28732567400002,-61.43291766000002,-57.98915208199999,admirer
-55.738039523999895,-59.0554209820001,-57.03373288,-58.77748224600014,-59.020792547999925,-56.705948120000066,-60.68460483599999,-56.615475894000035,adolescent
-54.002205215999915,-56.3827374840001,-55.903009694000005,-56.56715777999995,-55.51824250399999,-53.51544092600009,-57.21736230400003,-53.310263883999966,adult
-55.18685553999998,-58.12096607999993,-56.594164955999965,-58.015211536,-58.10097098999997,-56.586208655999954,-59.649029596000005,-56.159335072000005,adventurer
-55.517133142,-58.09675558200003,-57.444760491999986,-57.97770563000003,-59.091970096000026,-57.075692724000035,-60.61075810400003,-56.86395328799989,adversary
-55.90585489600003,-58.98321052000009,-57.45557958200003,-58.567846385999964,-58.220017834000025,-56.860847540000016,-59.95178834800002,-56.43829143799997,advocate
-52.01564826000007,-54.901522813999975,-53.85998571800005,-54.920523295999956,-54.76195428399992,-53.876849045999975,-56.8554252119999,-53.60065579000001,agent
-59.945784106000026,-61.65461733799992,-62.76039596000001,-61.405714373999956,-62.62717697600003,-61.025150245999974,-64.76468870799995,-60.76783054799997,aggregator
-60.02981444399994,-62.668578176000025,-62.317657186000005,-62.70311149000002,-61.86370813199996,-60.51587725800003,-63.99999581600002,-60.50980066000003,agonist
-57.307956533999956,-60.23245775200007,-58.823378859999956,-59.642605841999895,-61.54837550999995,-59.558707432,-63.27290189399999,-59.27094959400004,albino
-53.782050592000004,-56.554400832000034,-55.663517988000095,-56.15406632399992,-55.305532146000026,-53.869997665999925,-57.30498403600008,-53.69057462200009,alien
-59.606340556000035,-61.526631932000114,-61.231453654000084,-60.4694048259999,-62.61868060599996,-60.93809129000004,-63.83611980800026,-60.096697686000034,allocator
-57.45143408199997,-61.223664475999925,-57.985672910000076,-60.50593735400005,-62.066337468000015,-59.67993874200005,-62.806070594,-58.60543335599998,amputee
-55.30321959999996,-58.34384021399996,-56.96874116999996,-58.512242668000056,-58.32549948400008,-56.55566107199995,-59.871568519999954,-56.261935387999955,analyst
-56.61454473600006,-59.21849398999996,-58.241318148000005,-58.91291440199997,-58.02165111400009,-56.50975082200003,-59.62819430199986,-56.002194076,anarchist
-58.249184456,-61.66510641399999,-59.492054665999966,-61.54832297199992,-61.75475823199993,-60.45191210799997,-62.92369409600006,-59.76617514200003,anatomist
-56.54068142199994,-59.612327139999984,-58.101862534,-59.99588706999995,-58.54972337200007,-55.94671098800003,-59.80120731000002,-56.005035870000064,ancestor
-54.10616020599989,-57.020502074000085,-55.68994261000013,-56.36553181799994,-55.18530554599994,-54.16140322599994,-56.84213271999993,-53.84528496600011,angel
-52.316991860000066,-54.884057545999994,-54.87027887800004,-54.606144600000036,-53.50111122999997,-51.43207503200014,-55.45248434799996,-51.26454199599998,animal
-57.27745201599996,-60.31812890799996,-58.46413393999993,-60.405037465999975,-59.29233196000007,-58.207685944000005,-60.780470894000004,-57.770476272000074,animator
-56.423340078000024,-59.14751311400013,-58.46759279000002,-59.03477865800004,-59.58868064600004,-57.80940955800006,-61.275735578000024,-57.59785537199989,antagonist
-60.52091557400014,-64.014673622,-62.369787108000075,-63.87380693800005,-63.36060557000005,-62.35218462400003,-64.97715597599995,-62.14095406599999,antiquarian
-62.34386687799993,-66.12143612799997,-63.44945143800006,-65.65554365799993,-65.25965763599997,-64.47547804199992,-66.5758958780001,-63.971645100000075,antiquary
-55.60354540599997,-58.66248424999996,-57.31733347799997,-58.161841114000104,-57.4956741140001,-55.34846804799994,-59.0887541999999,-55.11406094999993,ape
-58.585553919999896,-61.563322206000024,-59.72954761799996,-61.06093035999997,-60.809704226,-59.3415074060001,-61.91455327000003,-58.691578069999906,apologist
-56.88277401799993,-60.22594995200007,-58.4259808960001,-60.07933441599994,-59.62930763399999,-58.50400089199997,-61.451248329999984,-58.336006956000034,apostate
-54.36588264999998,-57.11702305600002,-56.011324924000036,-57.153092709999974,-57.88984284599996,-55.895082783999904,-59.52998924400003,-55.59230771600003,applicant
-58.1846122900001,-61.19686542599997,-60.036122902000024,-61.181281064000025,-60.217759207999976,-59.17363327200014,-61.88305947200009,-58.758642658000014,appointee
-57.34984964399992,-59.49500947800002,-59.42085692799993,-58.310953898,-59.57892115799997,-59.567898162000034,-61.495820734,-58.45241093799993,appointment
-57.809034183999955,-60.57894395600003,-59.218996267999955,-60.04241601,-60.645768746,-59.26527122000002,-62.17003549000003,-58.73048430999995,arbiter
-55.834257412000035,-59.15394425999993,-57.132788445999964,-59.190995319999935,-59.11152785199998,-57.073038679999975,-60.577684512000026,-56.96922484800001,archer
-54.651555171999995,-57.736422495999925,-55.97015291200001,-57.726199967999904,-57.92312462399993,-56.48349492599999,-59.236877125999925,-55.9969707420001,architect
-56.223318183999936,-59.70865900399994,-57.7090229920001,-59.979278546,-59.42375502400012,-57.20354874599997,-60.51099594800004,-56.76463104799997,aristocrat
