SG_SG,SG_PL,PL_SG,PL_PL,sent
-36.27934361999993,-38.780088342000006,-39.31868678199999,-36.88555591400001,abductor
-39.199067904,-39.846127545999934,-40.036100320000074,-35.967978761999994,aborigine
-39.538955774,-42.33302111400003,-42.59811049800005,-38.609144538000024,abstainer
-40.35964041800004,-41.052097019999984,-41.42057170400003,-37.509884361999994,accumulator
-37.92453671800003,-40.066583519999966,-41.27796425000001,-37.34142660000001,achiever
-35.32092842999995,-37.927014054000026,-39.54572183999995,-36.42521998000004,acquaintance
-33.91025514199991,-36.602391370000035,-38.097758627999966,-34.22221746799997,addict
-36.43077427400002,-38.628750983999964,-39.69268174800007,-36.08061930999995,adherent
-35.19103489000001,-37.319635581999975,-37.02592027199999,-34.381983309999946,administrator
-35.956588448000005,-38.791933317999955,-38.76231267399998,-35.798556347999934,admirer
-35.141898605999984,-37.84854269200002,-39.29567991600001,-35.19296628399999,adolescent
-34.432131064000004,-35.815672745999976,-35.74304630000001,-31.904384081999982,adult
-33.76636452400002,-36.138853051999945,-37.273260211999975,-33.808818948000024,adventurer
-33.90045156000002,-36.28406815600001,-38.329560867999994,-34.770742306000045,adversary
-35.191227426000026,-37.674887667999954,-37.84332067000006,-34.54904322599996,advocate
-31.374409495999988,-34.04236047800003,-34.745582879999965,-32.14216207999996,agent
-40.814183497999956,-40.938664957999954,-42.6585106960001,-38.90822277,aggregator
-41.443367166,-42.79979301600001,-43.35108281800002,-40.359497464000036,agonist
-36.88360502800006,-39.231316114000094,-41.40335717199992,-37.62018310999998,albino
-32.423465369999946,-34.95298316600001,-35.47681774799997,-32.44696141200005,alien
-41.54288120400003,-41.961178277999934,-44.700500519999935,-40.83655666399999,allocator
-38.13654116600003,-41.677531113999976,-42.75463391600001,-38.939685675999996,amputee
-33.83453108799997,-36.93036599999998,-37.64718948600007,-34.27703230599999,analyst
-35.61114337200001,-37.93710796600006,-38.071092468,-34.60299429000004,anarchist
-38.04423172599999,-41.547498182000005,-41.231910885999994,-38.682473378000026,anatomist
-35.136462156000036,-37.655904914000004,-38.11069652999999,-34.30790534800001,ancestor
-32.90998716799993,-35.76243122000001,-35.074233512,-32.55829318000005,angel
-32.895749317999986,-34.54577580400002,-35.06466079600001,-31.01483538799997,animal
-34.38799493999996,-37.63029795599999,-36.889528016000035,-34.31013984399997,animator
-35.46922339200008,-38.14472960400004,-39.108016372000044,-35.87444072199997,antagonist
-38.58942562199997,-41.80210056400007,-41.96000080200001,-39.103783151999956,antiquarian
-39.88414199000001,-43.59508273200003,-43.597536282000036,-41.19030515999999,antiquary
-34.78525291200002,-37.87903167200008,-37.71229647599996,-34.15181454800001,ape
-37.912980088000026,-40.81815847599997,-39.868817384,-36.699477486000006,apologist
-36.08408012200002,-39.17682391000001,-38.65045861799994,-35.76525648199998,apostate
-35.444612835999955,-37.82193102200007,-38.71465268199991,-34.94895564400002,applicant
-39.76658916000004,-42.6437714900001,-41.26134407599999,-38.363768957999966,appointee
-37.45231589400005,-38.709706104000006,-39.683410838,-38.19011423599998,appointment
-37.568256081999934,-40.22863949200002,-40.80522655400007,-38.09022191600003,arbiter
-34.591753136000015,-37.979348134,-38.596451897999955,-35.266761507999966,archer
-33.49408736200001,-36.84990183800001,-37.78570635199996,-34.56424048200005,architect
-35.345355753999975,-39.18887954,-38.34224624000001,-34.44870603400003,aristocrat
-35.85775427400004,-39.31839388599995,-39.166405100000055,-36.48712387400003,artificer
-30.79162139199998,-33.820357437999995,-35.405003138000005,-31.75330854400006,artist
-35.88807865600003,-39.86652262599993,-40.049248296000016,-36.70254979800004,ascetic
-37.450176086000035,-41.178245430000025,-42.47806526599993,-38.573180231999956,aspirant
-40.293824592000064,-41.923721706000016,-43.31131521999998,-39.91158816600008,assignee
-33.31297573199999,-35.812696751999994,-38.14648390800004,-35.40246576200004,assistant
-34.69533141400005,-37.279499025999954,-38.139075424000076,-35.34331405800005,associate
-34.20271746600009,-37.72515737199986,-37.470345941999945,-33.75440804199998,astronaut
-32.937511127999976,-35.7111154919999,-37.04011184199995,-32.93185330800003,athlete
-37.227173239999935,-37.41969741799998,-39.805440411999975,-36.53138657400003,attraction
-30.78416486999994,-34.09778201199997,-35.85671064199997,-32.508405295999985,author
-35.933889880000045,-36.695380981999996,-34.842397731999995,-32.833866287999946,authority
-34.878722604000075,-37.599425833999966,-40.96457414399993,-37.22138807599994,automaton
-31.94750589799999,-34.13049449600003,-36.54873148,-32.485510914,baby
-35.58139649199996,-35.59992890000004,-40.027487728000004,-37.078885618,balance
-33.596653334000045,-37.187040084000074,-36.66299459600007,-33.004922788000044,banker
-33.12714575800001,-36.73315539599994,-35.56042608800004,-32.20088976400001,barbarian
-32.07478837799996,-34.67950110399999,-35.958200774000005,-32.53961159200003,beast
-37.444318248000066,-40.11980999199997,-39.29798772999995,-36.726539802000005,beater
-36.063191692,-38.02655846199993,-39.17389657400004,-35.783693754000026,beginner
-34.67927333599999,-36.76574515199996,-38.753761034000014,-35.745163251999976,beholder
-31.736248191999998,-34.044440800000054,-36.460033929999966,-33.554804764000004,being
-34.488842212000044,-37.662189924000046,-36.93977183999998,-33.460112826000014,believer
-34.00394982800001,-38.56600753199997,-39.044499047999956,-35.30398889200005,billionaire
-34.51374240400005,-37.82165018400004,-38.60757741399996,-35.642744347999965,biologist
-36.52510732,-39.10018668600009,-40.75336822399993,-37.632539716,biter
-40.51988716600003,-41.479633753999956,-38.89491511999998,-36.210717577999965,bleacher
-33.600240402000004,-36.547247642000066,-38.148764046,-34.55097573999996,blogger
-37.281209060000016,-40.64758946799993,-40.02089800799996,-36.670224354000005,boater
-32.27093943400001,-33.054500872000034,-36.153413609999966,-32.708635186000016,body
