s,p,sent,s_freq,p_freq,freq
2.5007447220000785,2.433130867999985,abductor,998,1004,2002
0.647059641999931,4.06812155800008,aborigine,354,2697,3051
2.7940653400000315,3.988965960000023,abstainer,164,426,590
0.6924566019999432,3.9106873420000383,accumulator,2194,469,2663
2.142046801999939,3.9365376499999982,achiever,577,1612,2189
2.606085624000073,3.120501859999912,acquaintance,13178,9081,22259
2.6921362280001233,3.8755411599999974,addict,12455,18953,31408
2.197976709999942,3.612062438000116,adherent,2216,12743,14959
2.1286006919999636,2.6439369620000477,administrator,61210,57008,118218
2.8353448699999504,2.963756326000045,admirer,6444,6882,13326
2.7066440860000327,4.102713632000018,adolescent,26820,18675,45495
1.3835416819999722,3.838662218000028,adult,245407,211316,456723
2.372488527999927,3.4644412639999516,adventurer,6950,8770,15720
2.383616595999989,3.5588185619999493,adversary,14726,15142,29868
2.483660241999928,3.2942774440001017,advocate,129120,169090,298210
2.6679509820000398,2.603420800000002,agent,296265,259730,555995
0.12448145999999838,3.750287926000098,aggregator,5228,2317,7545
1.356425850000008,2.9915853539999873,agonist,4617,3250,7867
2.3477110860000323,3.7831740619999437,albino,4706,945,5651
2.5295177960000643,3.0298563359999164,alien,134423,59864,194287
0.4182970739999021,3.863943855999942,allocator,2767,684,3451
3.5409899479999467,3.814948240000014,amputee,2353,1728,4081
3.095834912000008,3.370157180000085,analyst,140326,139030,279356
2.3259645940000553,3.4680981779999627,anarchist,44060,26033,70093
3.503266456000013,2.5494375079999685,anatomist,758,396,1154
2.5194427579999683,3.8027911819999787,ancestor,16543,40028,56571
2.852444052000081,2.51594033199995,angel,71285,52496,123781
1.650026486000037,4.049825408000043,animal,376786,323086,699872
3.2423030160000295,2.5793881720000655,animator,8445,7778,16223
2.6755062119999593,3.233575650000077,antagonist,12276,6215,18491
3.212674942000099,2.8562176500000547,antiquarian,1833,197,2030
3.7109407420000196,2.4072311220000486,antiquary,125,240,365
3.0937787600000632,3.560481927999952,ape,11422,13950,25372
2.905178387999946,3.169339897999997,apologist,4324,8652,12976
3.092743787999993,2.885202135999961,apostate,2730,2622,5352
2.3773181860001174,3.7656970379998853,applicant,21197,49503,70700
2.8771823300000605,2.8975751180000273,appointee,7152,11733,18885
1.2573902099999543,1.4932966020000222,appointment,84329,30798,115127
2.6603834100000867,2.715004638000039,arbiter,7407,2643,10050
3.387594997999983,3.329690389999989,archer,21385,4952,26337
3.355814475999999,3.2214658699999106,architect,56275,39639,95914
3.843523786000027,3.893540205999976,aristocrat,2937,4228,7165
3.460639611999916,2.679281226000029,artificer,1139,313,1452
3.0287360460000166,3.6516945939999452,artist,229336,212484,441820
3.978443969999894,3.3466984979999737,ascetic,3489,753,4242
3.728069343999991,3.9048850339999746,aspirant,1909,1896,3805
1.6298971139999523,3.3997270539999036,assignee,421,164,585
2.4997210200000026,2.744018146000002,assistant,282156,21877,304033
2.584167611999902,2.795761366000029,associate,161000,55860,216860
3.522439905999775,3.7159378999999646,astronaut,28563,39886,68449
2.7736043639999224,4.108258533999923,athlete,58866,116006,174872
0.19252417800004196,3.2740538379999435,attraction,52751,22535,75286
3.3136171420000267,3.3483053459999823,author,463215,225163,688378
0.7614911019999511,2.008531444000049,authority,381264,501897,883161
2.7207032299998914,3.743186067999993,automaton,3080,3462,6542
2.182988598000044,4.063220565999998,baby,297082,89352,386434
0.018532408000076828,2.948602110000003,balance,328654,26376,355030
3.590386750000029,3.658071808000024,banker,22058,45232,67290
3.606009637999925,3.3595363240000324,barbarian,8538,5867,14405
2.604712726000031,3.4185891819999767,beast,77081,21937,99018
2.675491743999906,2.571447927999948,beater,2111,1081,3192
1.9633667699999364,3.390202820000013,beginner,14917,14870,29787
2.086471815999971,3.008597782000038,beholder,1326,155,1481
2.3081926080000557,2.9052291659999625,being,5830771,92990,5923761
3.1733477120000018,3.4796590139999637,believer,23513,32466,55979
4.562057703999962,3.7405101559999068,billionaire,71829,22891,94720
3.3079077799999936,2.964833065999997,biologist,26008,18230,44238
2.5750793660000966,3.1208285079999314,biter,532,306,838
0.9597465879999234,2.684197542000014,bleacher,9033,3998,13031
2.9470072400000618,3.5977883060000337,blogger,48537,30692,79229
3.3663804079999124,3.350673653999955,boater,621,2345,2966
0.7835614380000209,3.4447784239999493,body,1036949,241587,1278536
4.06302624599995,3.381590048000014,bodybuilder,2626,2937,5563
2.8427289800000324,3.29955372400012,bomber,44275,38056,82331
1.7875069700000523,2.97685793199998,bookmaker,1363,2639,4002
1.888472662000055,4.062548547999981,boomer,6703,15065,21768
0.9416875740001132,3.3269262019999317,booster,26185,10990,37175
3.0429398819999136,2.940740459999965,boss,180377,48969,229346
1.7095255600000243,3.351488489999973,broadcaster,35350,20661,56011
1.909727617999991,3.9465569359998725,brunette,5020,294,5314
2.8281286320000305,3.1699840560000325,buddy,39376,17096,56472
1.3373481799999567,1.9358714499999508,buff,22085,12139,34224
2.610193707999919,2.9520188940000622,builder,27762,25069,52831
3.1006149119999478,3.4320506599999305,bull,79088,72714,151802
4.192006548000052,3.3015691819999944,bullfighter,442,157,599
