SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-62.65612098800005,-62.46980975999998,-64.09020685599985,-63.50100734800001,-66.03476920199996,-64.82998392199998,-65.28501741400001,-63.92836378199995,abductor
-63.965590155999976,-63.603226574,-64.823221924,-64.15093489599997,-64.64067572600004,-63.65456753400004,-64.13158468599997,-62.881536145999966,aborigine
-66.99930059599997,-66.59044519999998,-68.447057722,-67.52422970200003,-67.62073130600011,-66.3885137059999,-66.88350109800004,-65.34910485399988,abstainer
-63.609881582000064,-63.75756614400002,-64.78134690600007,-64.32192458600002,-65.15535592,-63.55438160399996,-63.798435670000096,-61.953237788000145,accumulator
-62.86297375799997,-62.96180536599991,-63.901452727999974,-63.7433415140001,-65.07214802199998,-63.377137706000035,-63.792921343999964,-61.885496655999916,achiever
-58.68753566400012,-59.13766655600012,-60.543172562000024,-60.54180439400003,-61.704742244000045,-60.21346490600006,-61.96159164200004,-60.39377726799994,acquaintance
-58.32354060199999,-58.61240169599991,-59.16117397600009,-59.12970333800003,-60.29025447200009,-58.776363098000076,-59.0680816459999,-57.39041606600002,actor
-59.84370257400009,-60.184181896000034,-60.792625781999966,-60.71829242800001,-62.80789247200003,-61.31472959199994,-61.420875043999864,-59.766831666,actress
-60.385105795999934,-60.475753908000065,-62.02327811399989,-61.85770201599992,-63.59753158199998,-62.12491123599991,-62.445110718000024,-60.74501455599997,addict
-61.457385742000106,-61.4964838440001,-63.10039065,-62.779399312000024,-64.12417463400006,-62.56665599000005,-63.35596234999999,-61.702051342,adherent
-61.27324301200007,-61.4964114240001,-62.88922015200003,-62.598388238000034,-63.08936947199994,-61.74983882800005,-62.06577628799991,-60.543747720000006,administrator
-61.8235371140001,-61.663366194000034,-63.77046423599986,-63.23457093199993,-62.55608333799999,-61.09551148199997,-62.457003718,-60.87348525800003,admirer
-60.08876366999986,-60.251101773999956,-61.63448808199999,-61.38277526800014,-65.10360285000004,-63.64343642000003,-63.62818343599996,-61.927203365999965,adolescent
-58.14551430400008,-58.195917920000035,-59.10296326200004,-58.89043823799992,-61.413234459999934,-59.834368133999995,-60.01965528999996,-58.20833567000004,adult
-57.779001542000024,-58.06439173799993,-59.94098550400005,-59.751436820000066,-62.081260602,-60.980166836000045,-61.618021657999954,-60.299686484000006,adventurer
-60.88880441000001,-60.988059813999946,-62.374707448000024,-62.12559968399996,-63.575591716000034,-62.1718100239999,-62.76729238999993,-61.117622310000016,adversary
-61.030505936000004,-61.24007234400006,-62.54169388600008,-62.294070033999965,-63.87112415199992,-62.22189072599996,-63.04702841999997,-61.152283272000005,advocate
-57.438494283999795,-58.04804491800001,-59.068677631999996,-59.26214236800004,-61.240284110000076,-59.943480764000086,-60.37365716200007,-58.94839702600017,agent
-63.384297993999894,-63.92054006400002,-64.61724345999997,-64.48379687799992,-67.22422107200006,-65.61917587199997,-65.56399287199999,-63.771549932000035,aggregator
-64.38810006000007,-63.955614594,-65.70952528399998,-64.95142755800002,-67.094487254,-65.50784447200009,-65.41049190599996,-63.690860882000045,agonist
-60.65957968200007,-60.435337346000004,-62.832734414000036,-62.063513175999994,-66.09260471400003,-64.50570387000013,-64.66887272199996,-62.84094622999997,albino
-57.575948184000005,-58.168043204000035,-59.039967435999976,-59.30612746199998,-61.33747022400002,-59.883114793999994,-60.54788093599993,-58.89765876599992,alien
-65.93609078799997,-66.2509179279999,-67.34069624200006,-67.06351599600002,-69.84358082000007,-67.86189166800014,-68.96379786599995,-66.79172815199996,allocator
-61.07871675800003,-61.11536197199993,-63.4817208139999,-62.88388939600003,-69.20109747600003,-68.31484870199999,-68.273310694,-67.18446915199999,amir
