SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-65.494311994,-65.76139106,-67.01665884000005,-66.7327425139999,-68.50663847400003,-67.46331117200005,-68.42464805000004,-67.10513296599993,abductor
-66.14288232400004,-66.24546002999998,-66.78400069000007,-66.32668594400003,-66.91885868999996,-65.59044522599997,-66.10334796,-64.40165713400003,aborigine
-68.23266211999984,-68.25214308999999,-69.580870894,-69.07225044800002,-69.66272232600005,-68.16839560200005,-68.84182763800007,-66.998933032,abstainer
-64.28757092600009,-64.99848597200001,-65.61840663199996,-65.79264431799999,-65.6161683299998,-64.22998788800007,-64.46817811999993,-62.83882806600006,accumulator
-64.64202522799998,-65.11919673799996,-65.51552361400003,-65.4775118699999,-66.91132828800004,-65.38128850599993,-65.38605706199994,-63.606616642000006,achiever
-59.879747206000054,-60.287909646000074,-61.44176810600008,-61.39642147599999,-63.05873843199994,-61.46683129599997,-63.08639202199998,-61.36996036599993,acquaintance
-60.95530115800002,-61.192224006000004,-60.86325217599989,-60.852781065999814,-62.20111017199994,-60.737440240000026,-60.751983135999915,-59.11878679800003,actor
-62.97842496199995,-63.163519615999974,-63.1790327999999,-63.001563838,-65.57255749000001,-64.07950374599992,-63.89697196,-62.18731735599989,actress
-62.74857714399991,-63.65782054600006,-63.98620311999998,-64.35327611800007,-65.45208331599997,-63.93736264000002,-63.96963630600008,-62.26218265799994,addict
-63.727547123999976,-64.13128994800003,-65.27189776200008,-65.17853436800006,-66.34700877200008,-64.64483559600005,-65.66628586200001,-63.7771124399999,adherent
-62.43516499200005,-62.34644067999995,-63.84570202000002,-63.28684392199995,-63.826271419999934,-62.435370066,-63.055335366000044,-61.451151346000024,administrator
-62.277083928,-62.52845440200003,-64.01861113400004,-63.889277648000096,-64.07838130600005,-62.77614876599996,-63.99095435800004,-62.442236152000035,admirer
-62.795390513999976,-63.656418183999975,-63.900232910000064,-64.33857633199993,-67.26157274,-65.68098744800005,-65.52855462200003,-63.70808025600005,adolescent
-60.443782720000144,-61.17512107999993,-61.92734803399997,-62.172851523999995,-63.31898104600015,-61.67622671199998,-62.044157635999916,-60.180540986000004,adult
-60.261617394,-60.866652822000106,-62.03754944599999,-61.910408953999955,-64.138488456,-62.8858941460001,-63.803624836000054,-62.29922972000014,adventurer
-62.620026195999934,-62.87017868999998,-63.28949196399999,-63.096872218000065,-64.23774691600003,-62.785936193999994,-63.48383292600008,-61.77253879199993,adversary
-62.61624738600012,-63.02488834999997,-63.587148054000025,-63.56283398199995,-64.42014434600003,-63.083349510000104,-63.123401107999925,-61.603765758,advocate
-58.434500827999976,-59.107983663999995,-59.92980672799994,-60.14851746399993,-62.28556178400007,-60.899250985999934,-61.65780591800007,-60.0862035000001,agent
-64.608043892,-65.44028825199993,-65.51991182599993,-65.77098347600011,-67.95689015399998,-66.20370669399999,-66.42430636999988,-64.52423524000007,aggregator
-65.98038001199996,-65.92196783199996,-66.41449791000001,-65.98554145800003,-68.17890773800009,-66.76633966600005,-66.94869695600008,-65.41477475800005,agonist
-64.18263254400003,-64.352925892,-65.47679329399999,-65.10106894799996,-67.51576862399996,-65.70984297200003,-66.02707613400004,-63.93349994999999,albino
-60.11742422000002,-61.02923514599998,-61.08254411200003,-61.487509016000004,-61.87895869800006,-60.348882000000046,-61.016307719999936,-59.24978811200005,alien
-66.41752155399992,-66.9523055260001,-67.85796895,-67.88986228800006,-70.94276286799999,-69.03625874,-70.20685205600003,-68.129412042,allocator
-65.38702849000002,-65.25423004199999,-65.6643482000001,-65.15497176400007,-71.07715957400002,-70.07361846199996,-69.92163391799997,-68.72407617399995,amir
-66.74902942600002,-67.15668964199986,-68.19699040800008,-68.23895142400005,-69.11112098399998,-67.61636986200004,-68.06474562400007,-66.39580217000001,amputee
-60.658478057999886,-61.27088680799999,-61.211499999999994,-61.37268618200007,-64.29394242800008,-63.16011362399991,-63.12467705200011,-61.717452314,analyst
