SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-57.845068534000035,-59.52641355399992,-60.784652236000035,-62.092003500000104,-63.13185847200006,-60.736290852000074,-65.069774878,-62.33388924799993,abductor
-55.528114866,-56.64230567999999,-58.53510492199993,-59.12890279999992,-58.74239954000003,-57.06049799399996,-60.274588798000096,-57.820891565999915,aborigine
-58.005938618000066,-59.76986283,-62.24421035800002,-63.558179251999924,-62.06109379800006,-59.803079807999936,-63.608952600000045,-60.59703535999999,abstainer
-53.430924945999976,-53.72440861599993,-56.17119521399993,-56.1298155240001,-54.487189667999964,-53.26211575600007,-55.66824168600014,-53.34290384999992,accumulator
-55.1034014020001,-56.75237668999989,-58.80287493000004,-59.799411723999995,-58.65371244599999,-56.76722530199994,-60.20906785800004,-57.286474754,achiever
-53.62088466600006,-55.31677990600004,-57.34673561600004,-58.57678396600011,-58.587205963999956,-56.10088713400017,-60.50298866800003,-57.75146023799993,acquaintance
-53.8861254339999,-55.12439833000005,-56.980650431999905,-58.06254206199996,-53.80897958600009,-51.611492978,-55.44516326400007,-52.40579392400007,actor
-55.670299565999976,-57.18236888800003,-58.938383736000006,-60.10033055199994,-57.6258512599999,-55.59982378200001,-59.01147740799996,-55.87583802200004,actress
-53.59063197799996,-55.19103381399995,-57.61116214800001,-58.58831548800004,-57.15952202800001,-54.84810498399994,-58.80439121400011,-55.78045129000004,addict
-54.80238432599989,-56.584941801999925,-58.843811106000054,-60.07965010199997,-59.87793826799997,-57.474711565999975,-61.87217932800003,-58.74936846000006,adherent
-54.722853088,-56.04104619600012,-57.80948934600001,-58.805396613999974,-58.471224786000064,-56.33931117399997,-60.43690827200004,-57.64293107399988,administrator
-55.297499622000075,-57.19329072799994,-59.13386616200007,-60.540297292000005,-59.26823162999995,-56.9594662320001,-61.260727447999955,-58.400474774000024,admirer
-53.71017194200007,-55.132803815999935,-57.72403994800013,-58.75840140800005,-58.99975276199997,-56.87921632599993,-60.765733311999966,-57.71548125999999,adolescent
-51.197885594000006,-53.13941555399994,-54.679045531999996,-55.94383681399998,-54.25199825800008,-51.878019467999856,-55.59152112800003,-52.522914857999886,adult
-51.114435984000025,-53.217623313999994,-54.398797643999885,-55.77976725400001,-57.05644269200005,-54.769001850000116,-58.961789048,-56.24210499999995,adventurer
-55.38117233200016,-57.616119051999924,-58.85220278599996,-60.45929795600005,-57.72063886800005,-55.408729675999936,-59.375439284000045,-56.25673563200003,adversary
-53.15185975800004,-55.282783964000046,-57.077138093999956,-58.463206510000035,-59.360841000000065,-56.97393495399999,-60.73480210599992,-57.48405557200014,advocate
-50.6667019680001,-52.49438350199996,-53.920288996000025,-55.275553339999895,-57.10614159000003,-54.602992244000006,-58.83144311399996,-55.739385540000036,agent
-57.80129681800002,-58.53838305800007,-60.40035778199998,-60.80763674600001,-61.23153573000002,-59.974194674000074,-62.722063518000056,-60.29476871999995,aggregator
-55.49817335199993,-56.00096478800001,-58.78500191200013,-58.963921495999976,-59.40910358000002,-57.846153554000004,-61.06460471399994,-58.666630053999995,agonist
-53.09970397600002,-54.10435000399995,-56.58507908000009,-57.060924327999935,-57.96020179200006,-56.096200936000116,-59.504183828,-56.65627148999995,albino
