SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-54.55246432000018,-55.18720927800003,-56.054720006000174,-56.620114832000034,-57.13723295799997,-54.748248494000094,-57.737107438000145,-55.41034413600006,abductor
-56.20620828800004,-56.17070220999998,-57.23440083200003,-57.15276545399997,-57.873050960000064,-55.27779417000008,-58.35146129600008,-55.83856864200008,aborigine
-58.01397944800002,-58.3572092060001,-58.79112855799999,-59.13159939799997,-60.81071050400009,-57.700305559999954,-60.99102596599994,-57.95976461999997,abstainer
-55.13449245799996,-55.99552713199994,-56.456212775999845,-57.22937789400016,-59.36469297000001,-56.46718076599996,-59.96737417800004,-57.04602020400004,accumulator
-55.5054414799999,-56.17646712800007,-56.93373667600014,-57.4999745919999,-59.60802812600004,-56.51621832600002,-59.90504996000001,-56.73281114599994,achiever
-54.440904426000024,-54.81427084000007,-56.09473057799999,-56.322884019999954,-58.18267878000013,-55.6043718,-59.088350354000006,-56.637391992000005,acquaintance
-50.13086327800002,-51.363875892000024,-51.861257947999995,-52.999522820000045,-54.28927284399997,-51.70818481599996,-54.72111471199996,-52.15338788000013,actor
-51.58662648399999,-52.63883856400009,-53.04034015199997,-53.97876238600009,-56.82626956400012,-54.462893792000024,-57.06953686,-54.65617495600007,actress
-52.402672446000054,-53.39598342000005,-53.700531044000066,-54.35650484399989,-56.276787171999814,-53.01874427600007,-56.73804138999997,-53.582771766,addict
-54.610161675999954,-55.316079460000076,-55.986998912,-56.67071373199996,-58.502144392000034,-55.497378926000025,-58.94552277000007,-56.082573946000025,adherent
-53.23721536400009,-53.62689863199992,-54.502801757999976,-54.783020885999996,-56.251436436000034,-53.60714680999993,-56.410853456000005,-53.81653821000005,administrator
-55.33013495200003,-56.00728423399995,-57.825630516000004,-58.44415765000014,-57.63829475999995,-54.8127371840001,-58.07331874799993,-55.38947089400006,admirer
-52.409387932000044,-52.718089980000016,-53.22928658800006,-53.469249833999996,-56.84481719199996,-54.097033215999964,-57.34899419400003,-54.53855146600007,adolescent
-50.14037201399993,-50.49913391000007,-51.17422722799999,-51.42829505400008,-53.74441322000007,-50.87199560800003,-53.94908479000002,-51.147115914,adult
-52.853578594000005,-53.24328028200013,-53.91507472800005,-54.26887823400006,-55.687831925999994,-53.346362733999996,-55.85264530200008,-53.476869306000005,adventurer
-52.0570431039999,-53.080789014,-53.337543395999916,-54.2139639179999,-56.480386570000036,-53.716068682000035,-56.98098921600006,-54.20031268800007,adversary
-53.89602668000001,-53.993751852000024,-55.129537344,-55.18074258400011,-57.02653330600008,-54.023823844,-57.12797137999989,-54.20269210000001,advocate
-50.31890440200009,-50.67097357200001,-51.802591684,-52.13367198800014,-53.93151295799996,-51.426369728000076,-54.46188758599997,-51.985620414000024,agent
-55.524627968000004,-55.903967538000096,-56.77896450400001,-57.14123170399997,-60.209430301999944,-56.673429205999994,-60.686245065999934,-57.14325700200003,aggregator
-56.19792282199997,-56.36528627799993,-57.50072534799993,-57.614007980000046,-60.08929930800002,-57.06865251199994,-60.75106348600004,-57.738245046000024,agonist
-52.66513966599996,-52.744851722000035,-53.93319883200007,-53.92569899599996,-58.85845886400007,-55.56145458799996,-59.51736177800002,-56.31982856599998,albino
-50.00369383800002,-50.475461779999954,-50.95698922800005,-51.395755454000046,-53.82111474800005,-50.96212268800004,-54.28151838399992,-51.417280145999925,alien
-55.5214828100001,-55.857668251999925,-56.78285217999982,-57.07552113799999,-60.07437422199998,-57.186155858000056,-60.55791907399992,-57.69508059800003,allocator
