SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-43.67696473799995,-47.93610793400007,-48.83918728599998,-47.13600228400004,-49.477025006000034,-52.22168957600009,-51.366719610000075,-46.440023316,abductor
-46.732697526,-49.865339898000094,-50.72311395399994,-47.91733047399993,-48.51559951999993,-51.21225087600004,-50.63931167800018,-45.77521739599997,aborigine
-47.99051043000011,-52.223106646000005,-53.321652523999894,-51.007998032000046,-51.98495269200007,-54.32720980799999,-53.325687641999856,-48.46706983199998,abstainer
-44.424890758000004,-48.16507046800006,-48.80525831800007,-46.89290538999993,-47.77074154800006,-50.26226420399995,-49.14510899600007,-44.74293217999999,accumulator
-45.59628439400001,-49.575570945999964,-50.58815675799999,-48.411423145999954,-49.35463323599998,-51.80020195800005,-50.222563703999995,-45.67696665600006,achiever
-43.771339254,-47.872123518,-48.381603094000084,-46.31493885199996,-47.967551001999986,-50.55402904799999,-49.51353964799997,-44.926823207999924,acquaintance
-40.58307553999996,-45.185977160000064,-46.07078947200003,-44.30475205399998,-43.476834445999984,-45.90758124799997,-44.92291582600005,-40.126740162,actor
-42.325342194000065,-46.835618905999965,-47.768413724000034,-45.808963086000006,-46.509908172000046,-48.96307012199994,-48.187288486000064,-43.42052172599991,actress
-41.295033256000025,-45.69152728999998,-46.72382171599997,-44.85287942400007,-46.27315822600004,-48.95278544200004,-47.65650875200003,-42.44628568399995,addict
-44.35132921599988,-48.01960304800004,-49.327913506,-46.7847254,-48.233061479999954,-50.557844833999994,-50.113953510000066,-44.75449260599992,adherent
-42.72880822800009,-47.01255529600005,-47.32528954999998,-45.86842385399992,-46.29536356199998,-48.848843974000005,-47.933873835999954,-43.23700743800007,administrator
-43.89015806000005,-48.064222376000004,-49.15024653199989,-46.990109437999976,-47.42435535000007,-49.95123969199996,-49.10369523000002,-44.143302842000026,admirer
-42.73943450399995,-46.383169369999955,-47.033367629999994,-44.363548320000106,-47.663227198000065,-50.619326814,-49.53209663399998,-44.41809525199995,adolescent
-41.34425215799988,-44.43726642000009,-45.004668647999964,-42.65102638599995,-44.03722402999998,-46.27735533800002,-44.98708772600008,-40.133662926000035,adult
-41.56174481800003,-45.82148966799998,-46.475574183999974,-44.953005430000026,-45.35162481999996,-47.7291820200001,-46.998674349999895,-42.262157537999975,adventurer
