SG_SG,SG_PL,PL_SG,PL_PL,sent
-30.100131366995093,-32.260425997536935,-35.99337713793106,-32.9057648768473,abductor
-32.81735730295571,-32.95333469704432,-35.17509368965518,-32.40501199507391,aborigine
-33.906373290640445,-35.56003897290638,-37.553703187192056,-34.22577516256152,abstainer
-30.450253990147825,-31.64964130541874,-34.350364169950716,-31.29960302955662,accumulator
-31.488350583743873,-33.040872724137934,-35.055384866995105,-31.61789255172413,achiever
-29.98047547044336,-31.32684958374388,-34.36690430788176,-31.49216936453203,acquaintance
-26.828058699507427,-29.289536184729037,-30.200966174876854,-27.112642167487692,actor
-28.526805184729053,-30.949524273398985,-33.006340406403936,-30.090357985221683,actress
-27.72506966256163,-29.875192785714287,-32.75028604926115,-29.13954964285718,addict
-30.46460953940889,-31.881029339901453,-34.82965988916258,-31.58063279556655,adherent
-28.787847376847328,-30.7786824458128,-32.61976164778323,-29.601059369458145,administrator
-30.482338408866905,-32.83427236699506,-34.28064698029555,-31.07816648029557,admirer
-28.95991290886701,-29.337000738916263,-34.405591906403906,-31.303520076354676,adolescent
-27.166947199507433,-27.410909554187263,-30.597534879310327,-26.96509011083745,adult
-27.722192633004923,-30.27126550492609,-31.888513795566503,-28.69101321674883,adventurer
-27.783684362068954,-30.06827893596064,-32.97212897783246,-29.938786216748763,adversary
-28.950404236453263,-30.590319672413806,-32.83966014778325,-29.41880407142861,advocate
-25.801130975369496,-27.79624817487688,-30.928863490147748,-27.76326807389163,agent
-31.979789913793113,-33.12938108866995,-36.229220662561595,-32.6444313669951,aggregator
-33.292264857142875,-33.37121396551727,-37.187177768472864,-34.10238585221672,agonist
-30.066508049261103,-29.735135849753732,-35.52461484236454,-32.146345325123114,albino
-25.839922724137963,-27.12758353201972,-30.73036293103447,-27.33116719950734,alien
-32.78814159359605,-33.203963605911305,-37.589796133004896,-34.568442541871924,allocator
-31.99024623645321,-32.703823123152716,-39.5816864187192,-36.70069970689653,amir
-32.96933754926106,-34.491264586206924,-37.11729629310347,-34.27636957881774,amputee
-27.969200285714283,-29.48459576600987,-32.43221857389159,-29.196035896551727,analyst
-29.782500391625646,-29.59757574137932,-33.64020209852216,-30.471858347290645,anarchist
-33.643794238916264,-34.99416546551718,-37.71160390394085,-34.33083530788175,anatomist
-29.18863565270937,-29.99066159605908,-33.144119773399055,-30.80279813793104,ancestor
-26.625096923645323,-28.400125051724128,-30.357270524630536,-26.815072034482714,angel
-24.77460407881772,-26.362472738916253,-28.85408776108375,-25.85287104926111,animal
-29.38043742364533,-30.872246775862127,-33.03624410344824,-30.10196165270935,animator
-29.01414404433495,-30.073393901477807,-33.01601058374384,-29.95599105418715,antagonist
-32.651660669950736,-32.532853967980394,-37.84226629556647,-34.612239002463035,antiquarian
-35.19867934236453,-36.32251066256159,-39.334166229064,-36.374178701970465,antiquary
-27.88965175615758,-29.453004108374444,-32.077159672413764,-28.677283583743826,ape
-31.50056695320197,-32.765188475369484,-35.096487665024625,-30.980258266009802,apologist
-30.517222216748795,-30.680282970443354,-33.995529802955645,-31.08067751477829,apostate
