SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-63.66349234199996,-63.07830206199996,-65.5947403440001,-64.94677200400001,-66.0520139560001,-65.23200639000011,-68.11705869399998,-67.04969144000005,abductor
-63.58498607000006,-62.956410074000026,-65.45924883800006,-64.657662656,-62.46261741799989,-61.59797951599997,-64.58431357000015,-63.27983677000001,aborigine
-65.35722518600001,-64.85544982599997,-67.56680974800005,-66.98601265,-65.61534249799992,-64.49911325400004,-67.75817462399993,-66.23478982400003,abstainer
-64.10963642600008,-63.626605017999886,-66.19583476000011,-65.73493928199997,-64.99182617599999,-63.84701005600005,-66.99191098399997,-65.56846214999999,accumulator
-63.265756759999846,-62.699904056,-65.532489974,-64.80986471599996,-63.362830855999974,-62.12993249200001,-65.68175630399999,-64.10351645200002,achiever
-59.421385163999936,-58.98599306800007,-61.667832738,-61.24827160999996,-60.63881306000005,-59.32386354200003,-62.78436140600002,-61.42446804399988,acquaintance
-58.59485459000001,-58.00711511999998,-60.747496414,-59.922124202000006,-58.422097864000065,-57.10581825199996,-60.289080500000075,-58.694653390000035,actor
-60.864831811999906,-60.344852702000026,-63.01213702999999,-62.26201269399995,-61.38775906400002,-60.264576880000035,-63.210429907999995,-61.82514611199996,actress
-58.71512084999999,-58.57562563999997,-60.85533782200007,-60.66580950199999,-60.28517796199999,-59.41026873800001,-62.307200268,-60.993792822000096,addict
-60.82620021600005,-60.468912364000104,-63.16980397599997,-62.637239863999994,-61.79987348200001,-60.624601635999966,-63.73940938800003,-62.35111027799997,adherent
-59.358303736000025,-58.88704013600008,-61.72857471399995,-61.103779226000036,-59.40208584000001,-58.338366092000044,-61.422216331999905,-60.040472184000045,administrator
-60.05626854199996,-59.591105805999966,-62.44045136400005,-61.852907399999935,-60.53640713199999,-59.2745076199999,-62.702462913999994,-61.38186803799986,admirer
-59.77860470399994,-59.5631149019999,-61.849909683999975,-61.485178401999995,-61.74612111199994,-60.659285207999936,-63.81352057199998,-62.174180825999926,adolescent
-56.8472693239999,-56.67692205,-59.00614789399995,-58.668800246000025,-57.425761027999954,-56.407403172000116,-59.23576862399993,-57.85346840799996,adult
-59.483552435999954,-58.89739646800004,-61.551224496000025,-60.852354393999946,-60.738879692000005,-59.86438322399988,-62.50224832600008,-61.30651191200003,adventurer
