ss,sp,ps,pp,sent,s_freq,p_freq,freq
-0.18631122800006494,-0.5891995079998438,1.2047852799999816,1.3566536320000608,abductor,998,1004,2002
-0.3623635819999791,-0.6722870280000279,0.9861081920000032,1.2500485400000017,aborigine,354,2697,3051
-0.40885539599999277,-0.9228280199999688,1.2322176000002116,1.5343962440001633,abstainer,164,426,590
0.14768456199995939,-0.45942232000004424,1.6009743160000482,1.845197881999951,accumulator,2194,469,2663
0.09883160799994073,-0.1581112139998737,1.6950103159999443,1.9074246880000487,achiever,577,1612,2189
0.4501308919999971,-0.0013681679999919538,1.491277337999982,1.5678143740001005,acquaintance,13178,9081,22259
0.28886109399991966,-0.031470638000065776,1.5138913740000177,1.677665579999875,actor,199773,143125,342898
0.34047932199994335,-0.074333353999954,1.4931628800000851,1.6540433779998622,actress,90150,12160,102310
0.09064811200013168,-0.16557609799997408,1.4726203460000704,1.700096162000051,addict,12455,18953,31408
0.03909810199999697,-0.3209913379999776,1.5575186440000053,1.6539110079999944,adherent,2216,12743,14959
0.22316841200002813,-0.29083191399999464,1.3395306439998862,1.5220285679999037,administrator,61210,57008,118218
-0.16017092000006983,-0.5358933039999272,1.4605718560000227,1.583518459999972,admirer,6444,6882,13326
0.1623381040000993,-0.2517128139998519,1.4601664300000152,1.7009800699999928,adolescent,26820,18675,45495
0.050403615999954354,-0.21252502400011508,1.5788663259999396,1.8113196199999209,adult,245407,211316,456723
0.2853901959999021,-0.18954868399998048,1.1010937659999556,1.318335173999948,adventurer,6950,8770,15720
0.09925540399993338,-0.2491077640000654,1.4037816920001305,1.6496700799999147,adversary,14726,15142,29868
0.20956640800005744,-0.2476238520001175,1.6492334259999595,1.8947451479999629,advocate,129120,169090,298210
0.6095506340002146,0.19346473600004543,1.2968033459999901,1.425260135999899,agent,296265,259730,555995
0.536242070000128,-0.13344658200004744,1.6050452000000917,1.792442939999951,aggregator,5228,2317,7545
-0.43248546600007387,-0.75809772599996,1.5866427819999132,1.7196310239999164,agonist,4617,3250,7867
-0.22424233600006716,-0.7692212380000427,1.5869008439998993,1.827926491999989,albino,4706,945,5651
0.5920950200000306,0.26616002600000144,1.454355430000028,1.6502221700000064,alien,134423,59864,194287
0.3148271399999203,-0.277180246000043,1.9816891519999302,2.1720697139999885,allocator,2767,684,3451
0.03664521399990406,-0.5978314179998705,0.8862487740000375,1.0888415420000115,amir,15694,147,15841
0.19523307999993733,-0.2547934320000138,1.4575818700001264,1.67137325799996,amputee,2353,1728,4081
0.6513985180000219,0.1915854960001937,1.1403179340000094,1.3956037359999414,analyst,140326,139030,279356
0.13832526199995954,-0.4460937059999637,1.0093433340000786,1.348509780000029,anarchist,44060,26033,70093
0.1743477200001209,-0.28731682999999464,0.9962185660000102,1.0823041700001426,anatomist,758,396,1154
0.7905730159999607,0.25763765599980104,1.0348028600000347,1.2789677060000884,ancestor,16543,40028,56571
0.4297630320000181,0.10104454999987666,1.2708060859999435,1.4842925079999603,angel,71285,52496,123781
0.5930839739998532,0.21685772399994363,1.2977482859999654,1.5275196120000345,animal,376786,323086,699872
0.4485756639999394,0.04363204600000614,1.0065344460000532,1.2147369720001038,animator,8445,7778,16223
0.0945672560001114,-0.2460704140002079,1.201959585999937,1.4247686719998924,antagonist,12276,6215,18491
0.23713708600027417,-0.18581427799995254,0.9381554500000675,0.9710271419998406,antiquarian,1833,197,2030
-0.03185403199978509,-0.34864305799992223,1.0294405859999642,1.078783122000189,antiquary,125,240,365
0.37031611799997677,0.08475769199993266,1.2877804680000438,1.5655071800000329,ape,11422,13950,25372
0.10688361000005386,-0.42115267800009804,1.4414643140000578,1.829818812000127,apologist,4324,8652,12976
-0.22700337400000592,-0.6948935219999157,1.3562212740001627,1.7360383840000893,apostate,2730,2622,5352
-0.21880326799999494,-0.7516882460000147,1.2032503659999705,1.5107395359999956,applicant,21197,49503,70700
0.6477539160000845,0.025741613999997526,1.5834650040001321,1.7959854640000685,appointee,7152,11733,18885
-0.20757937999985643,-0.46910347000008557,1.5091667220000602,1.6425832819998902,appointment,84329,30798,115127
0.11029940199990307,-0.3006484140001149,1.2448781180000452,1.4693074779998767,arbiter,7407,2643,10050
-0.42829369799994765,-0.7626379780000221,1.1428963719998748,1.394765432000007,archer,21385,4952,26337
0.33406188600015696,0.10629869399995329,1.1639186420001977,1.25962273199994,architect,56275,39639,95914
0.12315048599999301,-0.22499611399991437,1.2246634839998833,1.4233536279999797,aristocrat,2937,4228,7165
-0.32004544399998025,-0.6674708480000504,1.2294533660000013,1.339308996000014,artificer,1139,313,1452
0.19117285999982414,-0.15606270799998612,1.5452274299999331,1.7329062999999607,artist,229336,212484,441820
0.12327998800012097,-0.47203044800000526,0.889887180000045,1.1939936760000194,ascetic,3489,753,4242
-0.050490249999974424,-0.40457525600004374,1.4000658959999868,1.589023818000129,aspirant,1909,1896,3805
0.2100279679999204,-0.3786126979999551,1.3954459800000478,1.6212797900000453,assignee,421,164,585
0.32084440200011244,-0.0395447459998195,1.3419966979999316,1.4321812399999416,assistant,282156,21877,304033
0.2666636240000173,-0.1884728440000245,1.4406225319999564,1.6375135379999577,associate,161000,55860,216860
0.4261328620001379,-0.026699867999973037,1.1449732620001143,1.4209189340000208,astronaut,28563,39886,68449
1.0213202940000201,0.464319844000066,1.4709520120000832,1.7550179299999868,athlete,58866,116006,174872
0.18632193999987123,-0.059203792000168676,1.1434961679999844,1.2901366199998776,attraction,52751,22535,75286
-0.1643116020001827,-0.4894983220001379,0.5592244479998243,0.7527654820000933,author,463215,225163,688378
0.46371069799995723,0.22118149400002096,1.0701155520000611,1.2862788900000695,authority,381264,501897,883161
0.1630757359999464,-0.2959525919999493,1.5421562079999163,1.8864230360000676,automaton,3080,3462,6542
