ss,pp,sent,s_freq,p_freq,freq
4.259143196000117,4.926696294000074,abductor,998,1004,2002
3.1326423720000918,4.864094282000217,aborigine,354,2697,3051
4.232596215999898,4.858617809999878,abstainer,164,426,590
3.7401797100000564,4.402176816000079,accumulator,2194,469,2663
3.979286551999955,4.545597047999934,achiever,577,1612,2189
4.100784264000005,4.586716440000046,acquaintance,13178,9081,22259
4.602901620000104,4.796175664000053,actor,199773,143125,342898
4.5102767119999,4.766766760000152,actress,90150,12160,102310
4.396494033999957,5.210223068000076,addict,12455,18953,31408
3.6682738320001604,5.359460904000144,adherent,2216,12743,14959
4.283747067999961,4.696866397999884,administrator,61210,57008,118218
4.174064315999956,4.960392387999995,admirer,6444,6882,13326
3.6437348660000026,5.114001382000026,adolescent,26820,18675,45495
3.09301426200021,4.853424800000042,adult,245407,211316,456723
4.259744849999947,4.73651681199992,adventurer,6950,8770,15720
4.617991833999973,4.75059987999996,adversary,14726,15142,29868
4.11549664200021,5.038631555999949,advocate,129120,169090,298210
4.2589156940000805,4.952676842000109,agent,296265,259730,555995
3.971409612000045,4.8339615220002585,aggregator,5228,2317,7545
2.881993588000064,4.237879194000016,agonist,4617,3250,7867
2.9440351119999377,4.677089943999974,albino,4706,945,5651
3.8640446079999435,4.80015134399995,alien,134423,59864,194287
3.8001541960001077,3.960764666000017,allocator,2767,684,3451
3.4456875540000027,4.7195640239999435,amir,15694,147,15841
4.328655554000122,4.947021513999893,amputee,2353,1728,4081
4.136359403999926,4.699458930000041,analyst,140326,139030,279356
3.239245621999906,5.02883157600008,anarchist,44060,26033,70093
4.198305669999982,5.022951454000015,anatomist,758,396,1154
3.57141416999999,4.738195434000076,ancestor,16543,40028,56571
4.291607693999943,4.880222555999978,angel,71285,52496,123781
3.889262946000052,5.044574220000058,animal,376786,323086,699872
4.1707722479999205,4.742567495999893,animator,8445,7778,16223
4.099364444000045,4.833622856000041,antagonist,12276,6215,18491
3.1595852920000382,5.011581297999982,antiquarian,1833,197,2030
3.719031202000025,4.782421114000051,antiquary,125,240,365
4.1892950759999295,4.926279194000067,ape,11422,13950,25372
4.242729846000081,5.297363076000046,apologist,4324,8652,12976
3.7164848600000937,5.073021517999891,apostate,2730,2622,5352
4.154830086000132,4.605655338000091,applicant,21197,49503,70700
4.473310409999975,4.943860129999912,appointee,7152,11733,18885
3.3468009320000647,4.364081390000038,appointment,84329,30798,115127
4.161326360000004,4.591575676000019,arbiter,7407,2643,10050
4.234285780000064,4.66402994799995,archer,21385,4952,26337
4.476883999999977,4.8888711500001065,architect,56275,39639,95914
4.3566864239999745,5.033919122000107,aristocrat,2937,4228,7165
4.422003493999995,4.7282246840000255,artificer,1139,313,1452
4.501694783999973,4.706140982000065,artist,229336,212484,441820
3.4665756760000335,4.716523963999926,ascetic,3489,753,4242
3.9552726160000162,4.9961063000000365,aspirant,1909,1896,3805
4.1756180420000675,4.6572846840000395,assignee,421,164,585
4.107461554000011,4.7920514040000555,assistant,282156,21877,304033
3.6688718159999425,4.723752484000016,associate,161000,55860,216860
4.156836977999951,5.099190399999955,astronaut,28563,39886,68449
4.438899913999897,5.050838513999956,athlete,58866,116006,174872
4.010731973999938,4.471555584000022,attraction,52751,22535,75286
4.417336680000005,4.972123889999885,author,463215,225163,688378
4.176411768000023,4.840178329999915,authority,381264,501897,883161
4.463645212000017,4.442838375999997,automaton,3080,3462,6542
3.87373281600005,5.02357913000003,baby,297082,89352,386434
3.3850807899999964,4.486981975999974,balance,328654,26376,355030
4.208094012000032,5.106887530000037,banker,22058,45232,67290
3.80261809200001,5.06085218599987,barbarian,8538,5867,14405
4.409477554000027,4.964429640000027,beast,77081,21937,99018
3.317428679999992,4.402661615999946,beater,2111,1081,3192
3.672887162000073,4.005088997999984,beginner,14917,14870,29787
4.424037989999931,4.797640136000076,beholder,1326,155,1481
4.692977396000138,4.963602280000011,being,5830771,92990,5923761
4.639504620000096,5.2203441779999125,believer,23513,32466,55979
4.114785531999772,5.0684368960000015,billionaire,71829,22891,94720
4.51606868399989,5.032128813999911,biologist,26008,18230,44238
