SG_SG,SG_PL,PL_SG,PL_PL,model_name
-7.071822738199991,-7.902612563600005,-7.97013539779999,-6.878729595199996,wuz-simple
-6.108745449799997,-0.3152859832794005,-7.4089156388000035,-0.2917298910171599,wuz-reflexive
-7.3723514696000105,-6.494861917399996,-8.189363560799995,-6.068629389800003,wuz-pred-adj
-6.823515527980001,-9.000591315,-7.513287422400004,-8.127720698799994,wuz-all-over-new
-6.863531202400006,-8.713005147800008,-7.7112346814000015,-7.583091919599997,wuz-all-over
-7.251046786799997,-7.434489825800005,-8.189962739000002,-6.810951472420002,wuz-around-new
-7.203347770200004,-7.914898569800003,-8.055961733799995,-7.125959794919997,wuz-world-coll
-6.856394916799994,-7.506980182999996,-7.775120735400007,-6.578469898399996,wuz-throughout
-7.913571130599998,-7.692496284199987,-8.910151706599995,-6.965575920400006,wuz-around
-7.036895050800009,-8.063401808,-7.857050328799997,-7.219336836000007,wuz-lifted
-6.724507119000007,-8.254669829399985,-7.459949104200003,-7.397573564199999,wuz-throughout-new
-7.126643116716665,-8.574593176626665,-8.009754497236665,-7.529742670795999,wuz-base
-7.994115152400006,-6.644137634399996,-8.895302606799996,-5.930900566339999,wuz-unison
-7.701371731599998,-7.208341475,-8.545874343999989,-6.46189417239999,wuz-exchanged
-7.672026796599991,-7.906980418199997,-8.518637883799988,-7.080024586200006,wuz-outnumbered
-7.836307448599993,-7.016363621400006,-8.679013149800001,-6.4666371050000055,wuz-simultaneously
-7.837960647800001,-7.027223827800007,-8.765992051600008,-6.527331357,wuz-unanimously
-7.570314094000006,-8.100987087400002,-8.359303085999993,-7.214095897199995,wuz-side-by-side
-7.647257734999993,-8.261399669320006,-8.735800840400003,-7.116207507659999,wuz-lexical-dist
-7.461222855400006,-6.905882800200002,-8.428155798399992,-6.410450694879999,wuz-gathered
-7.602997940200002,-6.619989080411999,-8.352046354600002,-6.15600452878001,wuz-lexical-coll
-7.819090185600007,-7.7298470542,-8.672659705200001,-6.976409052000005,wuz-constituted
-7.191545484199998,-6.6867024204000005,-8.04784778960001,-6.185681814599997,wuz-formed
-10.651625001000006,-8.054269030399997,-11.591858973399997,-8.117583879600001,wuz-together
