SG_SG,SG_PL,PL_SG,PL_PL,model_name
-7.183832456399991,-7.999045674600004,-7.897108049800001,-7.140193471400005,wuz-simple
-6.056976841599994,-0.34143548622639996,-7.3171433340000025,-0.2717424945463399,wuz-reflexive
-7.550336618200007,-6.483286204900006,-8.247825131,-6.15257918600001,wuz-pred-adj
-6.809254325600003,-8.778198974400002,-7.4491261155999995,-8.079678100199997,wuz-all-over-new
-6.989381913999997,-8.813820789999992,-7.595998681999999,-7.859394116400004,wuz-all-over
-7.280898206199997,-7.362496873800007,-8.077566967199987,-6.843627431999993,wuz-around-new
-6.983059735599999,-7.762439841199999,-7.6308711865999985,-6.968039645400005,wuz-world-coll
-6.906435880599999,-7.640702000399998,-7.658292161799994,-6.702257302600007,wuz-throughout
-7.945570518200011,-7.861440006599996,-8.749325539399997,-7.224963748599996,wuz-around
-6.9428350068,-7.9559593901999985,-7.5271625246000005,-7.132477234400005,wuz-lifted
-6.552596051799998,-8.044608514800004,-7.1451213621999985,-7.203989380199998,wuz-throughout-new
-7.109666901546663,-8.451808265733334,-7.863394549226667,-7.604927255906666,wuz-base
-7.968379330599996,-6.758298124000004,-8.707134705799996,-6.171834010999999,wuz-unison
-7.801889315000003,-7.498537304799999,-8.509555492599997,-6.794600400200003,wuz-exchanged
-7.903227768600006,-7.868711325600004,-8.4604784258,-7.201120812400004,wuz-outnumbered
-7.925609709000002,-7.078767661199997,-8.569221696799996,-6.562611515400004,wuz-simultaneously
-7.991695503799999,-7.207518599400007,-8.658142518599997,-6.7205135908000075,wuz-unanimously
-7.53398566079999,-8.194802530400004,-8.246362490200008,-7.420556705600004,wuz-side-by-side
-7.86950184099999,-8.269419143199993,-8.651976326800007,-7.356255103200003,wuz-lexical-dist
-7.762971057400015,-7.086305220999995,-8.423853438599998,-6.620348949599998,wuz-gathered
-7.752978939400005,-6.784553260799998,-8.358174557599998,-6.383830357519989,wuz-lexical-coll
-7.803194011999994,-7.845768565599995,-8.493347618000005,-7.124778558599994,wuz-constituted
-7.153274800999997,-6.648798325399996,-7.859461241999985,-6.1835238055999895,wuz-formed
-10.812765099400002,-8.029882038000004,-11.610490683600007,-8.019217133799996,wuz-together
