SG_SG,SG_PL,PL_SG,PL_PL,model_name
-7.196719815000008,-7.201089377800002,-7.80311245540001,-6.221906065320005,wuz-simple
-6.850511986999988,-0.15830324650840025,-7.936953420399998,-0.11601710892625991,wuz-reflexive
-7.710518928400001,-5.835173119999997,-8.282030838399999,-5.414572223999999,wuz-pred-adj
-5.551134346680009,-7.549223416400013,-6.116317019000002,-6.503309737799993,wuz-all-over-new
-6.263155070800001,-7.7925047384000035,-6.717026578199998,-6.541758311400002,wuz-all-over
-6.282109850599988,-7.187689193800002,-7.218268487400006,-6.0253727577399925,wuz-around-new
-5.959314335999999,-6.852701529600006,-6.508385187000001,-5.5148866240000025,wuz-world-coll
-6.802886143599994,-6.863263549599996,-7.515787847600005,-5.838534445920001,wuz-throughout
-8.1248182894,-7.205194387400003,-8.793731581800007,-6.330016426800007,wuz-around
-6.651770855199987,-7.579461945600001,-7.109662781000009,-6.33903440140001,wuz-lifted
-6.050402235599997,-7.598424390199997,-6.621526629999989,-6.5235173422,wuz-throughout-new
-6.192294985721334,-7.768762169251334,-6.845093129324667,-6.4502334438526665,wuz-base
-8.690031456599991,-6.081683844319994,-9.424638200200008,-5.392847852340008,wuz-unison
-7.360860698,-6.556140687699991,-8.178880575199996,-5.619196440339992,wuz-exchanged
-7.283182467199992,-7.039859130200001,-7.868188188799988,-6.164438248900006,wuz-outnumbered
-9.501067753999997,-7.480414876600012,-10.122704667799995,-6.705479120399998,wuz-simultaneously
-9.404447856800003,-7.655475811399997,-10.226187350599998,-7.270465913600013,wuz-unanimously
-7.233129738800007,-7.1732738135999945,-7.883654432399992,-6.169597039600004,wuz-side-by-side
-7.531350699399996,-7.206223966540001,-8.281993915599998,-6.096099643879985,wuz-lexical-dist
-7.537705131799994,-6.272968179459996,-8.139891554999993,-5.638863500320001,wuz-gathered
-7.591308901000009,-5.698736643059994,-8.163164547599996,-5.156626532000002,wuz-lexical-coll
-8.025644774400002,-7.149025790799996,-8.806821241199993,-6.236402293880009,wuz-constituted
-6.980093342800004,-5.699055538119988,-7.672864482800004,-4.9621875126,wuz-formed
-11.846036499399977,-7.940629758600001,-11.975167837799999,-7.559907808299998,wuz-together
