SG,PL,model_name
-7.481773368999993,-7.831985757599991,wuz-simple
-8.200755308800003,-0.18723291410645998,wuz-reflexive
-8.14206437980001,-6.052183058200003,wuz-pred-adj
-5.511809134140003,-8.039979419999991,wuz-all-over-new
-6.496734130200007,-8.215372658199993,wuz-all-over
-6.348382363507998,-7.167668945800006,wuz-around-new
-6.354271863000003,-7.042844412600008,wuz-world-coll
-7.140968577199996,-7.036215395000005,wuz-throughout
-9.355724475799997,-7.512224879019999,wuz-around
-6.9931052968000085,-7.910017253999997,wuz-lifted
-6.152061110479998,-7.685808028000002,wuz-throughout-new
-6.522925845876066,-7.957084599015999,wuz-base
-10.240121873600009,-6.334050639480001,wuz-unison
-7.7491329184,-6.639845053520006,wuz-exchanged
-7.5140823802,-7.305928744800005,wuz-outnumbered
-11.494147474799995,-8.569549038400012,wuz-simultaneously
-11.301468303400002,-8.576427596999997,wuz-unanimously
-8.463105354800009,-7.465526521899997,wuz-side-by-side
-8.461420692400006,-7.213030707339999,wuz-lexical-dist
-8.955746941599994,-6.263830069279989,wuz-gathered
-8.397267089000003,-5.574824225863405,wuz-lexical-coll
-8.7729977252,-7.462155759279993,wuz-constituted
-7.233999657199999,-5.802151355140009,wuz-formed
-12.71200450520001,-8.521454532399993,wuz-together
