SG_SG,SG_PL,PL_SG,PL_PL,model_name
-13.606795749229866,-12.52882677647345,-13.625609447364939,-12.571807059082671,wuz-simple
-16.16508676989913,-15.784088518969357,-17.166292461605682,-16.60778390440538,wuz-reflexive
-12.36194234803862,-11.816170658971734,-12.633773709682576,-11.714325525218428,wuz-pred-adj
-13.584655951778885,-12.671241850407807,-13.841510587556904,-12.791409548834375,wuz-all-over-new
-13.447438207411563,-12.940968485728092,-13.671545521129865,-13.196092821754581,wuz-all-over
-13.362825033585771,-12.810686126640363,-13.620686646706227,-13.004043315185358,wuz-around-new
-13.037718666755381,-12.775423821588673,-13.130650609226338,-12.880847651594596,wuz-world-coll
-12.956542076985917,-12.841083364899319,-13.219747882017517,-12.972504208352614,wuz-throughout
-13.37318014636475,-13.149990862298973,-13.750092655860616,-13.269258146239583,wuz-around
-12.44822008266658,-12.179107884908138,-12.521167832492614,-12.264063629865737,wuz-lifted
-13.522421630391273,-12.581387253569257,-13.651458117174736,-12.743422142090154,wuz-throughout-new
-13.258762081934112,-12.807443434820616,-13.440306920243392,-12.979712383772803,wuz-base
-13.072286136217542,-12.769483615581539,-13.351903499872865,-12.881878884696363,wuz-unison
-12.711655516477771,-12.534320452879141,-12.965890330607914,-12.512779710328958,wuz-exchanged
-12.148613045981556,-12.00982457098585,-12.315604865451848,-11.943211254043856,wuz-outnumbered
-12.45054844222612,-12.039570001727457,-12.63546513937359,-12.060745359316595,wuz-simultaneously
-12.787660230167305,-12.398973211013825,-13.026661145792966,-12.490307783887616,wuz-unanimously
-13.544774786340456,-13.205353973193144,-13.913756304892829,-13.34004357471331,wuz-side-by-side
-13.656076068074132,-13.300428803006065,-13.842164685410744,-13.38148140643073,wuz-lexical-dist
-13.04767329805148,-12.78981350914584,-13.173628078458137,-12.760274688632515,wuz-gathered
-13.35865355209743,-12.747588985735996,-13.491963890669151,-12.734297342572695,wuz-lexical-coll
-13.274410846883637,-12.855033157564119,-13.430519677826153,-12.928673158804818,wuz-constituted
-13.48403117916237,-12.70015787243867,-13.601399753057104,-12.719491739823619,wuz-formed
-14.45981957592887,-13.968770191197253,-15.389174672892263,-14.748988449448033,wuz-together
