SG_SG,SG_PL,PL_SG,PL_PL,model_name
-14.364596020893272,-12.836172106501753,-14.51363459698618,-12.884990363754454,wuz-simple
-16.998372325262952,-16.439864610947225,-17.915739328324364,-17.02501245630267,wuz-reflexive
-12.838675268614908,-12.098923107991016,-13.226998951119242,-11.908026646609654,wuz-pred-adj
-14.328396133846518,-13.269820936578578,-14.408289950122848,-13.152332444914578,wuz-all-over-new
-14.012770108787505,-13.34105969577176,-14.24243302671852,-13.530138008208914,wuz-all-over
-14.217394719448114,-13.302566448549983,-14.456164722107923,-13.394577910585117,wuz-around-new
-13.484955447631572,-13.134188925150946,-13.598625065683365,-13.138891475317541,wuz-world-coll
-13.47909515164745,-13.147234646284256,-13.745627468434074,-13.180568976685914,wuz-throughout
-14.084347354890355,-13.629288151236167,-14.450129691386348,-13.609671314178199,wuz-around
-13.167665392599245,-12.665524516617312,-13.19754461296927,-12.642277667814882,wuz-lifted
-14.21529846462818,-13.010902230779871,-14.264008528943105,-13.043149672379954,wuz-throughout-new
-13.769301804645151,-13.163020428078658,-13.96569954340334,-13.271861673956401,wuz-base
-13.598766853962104,-12.97832265680898,-13.960513885704042,-13.04360352700063,wuz-unison
-13.273037745171994,-12.947738753970862,-13.601657526978833,-12.897426427082916,wuz-exchanged
-12.307256241148362,-12.038493915926377,-12.464936512609057,-11.877274185454455,wuz-outnumbered
-13.106575092544722,-12.426209750501696,-13.403618544532446,-12.455057138488536,wuz-simultaneously
-13.159515254133398,-12.574521488662933,-13.231098669833907,-12.452349567756167,wuz-unanimously
-14.297229288159578,-13.658977205436493,-14.65295780505531,-13.70717780883226,wuz-side-by-side
-14.624384015663082,-13.828653284528828,-14.926848045649336,-13.897469015461269,wuz-lexical-dist
-13.787801769948285,-13.209960459216978,-13.985263860677403,-13.107521217620894,wuz-gathered
-13.925945535561514,-13.076001354099171,-14.05556382286409,-12.947437613409384,wuz-lexical-coll
-14.23621338887621,-13.46700524172911,-14.38581390448281,-13.398967153511522,wuz-constituted
-13.991415611652139,-13.070416158986966,-14.112650596240343,-12.938793448593833,wuz-formed
-16.59180097295167,-15.675087418814993,-17.88754303005245,-16.7013469315017,wuz-together
