SG_SG,SG_PL,PL_SG,PL_PL,model_name
-10.541410174892947,-10.71419806938609,-10.555040621094886,-10.269870988836844,wuz-simple
-11.710340143133925,-11.563505001077226,-12.531196312363019,-11.598788624586607,wuz-reflexive
-10.474676465101654,-10.103237037775095,-10.977463243103346,-9.640590061812466,wuz-pred-adj
-12.463038815178127,-11.408074421426392,-12.42049268935671,-11.125981495932319,wuz-all-over-new
-11.812034941213485,-11.994542138649214,-11.845536087794205,-12.113217289600895,wuz-all-over
-11.699794870230763,-11.641544975120897,-11.516173960229972,-11.589664255636968,wuz-around-new
-11.20710347299369,-11.394754370797338,-10.73790056080601,-10.717079878821712,wuz-world-coll
-11.1766325901209,-11.432865846327328,-11.36159306139904,-11.206209720435155,wuz-throughout
-12.011803546051684,-12.464751013002804,-12.328101850071889,-12.437321552683972,wuz-around
-10.979819561337779,-11.678321033041192,-11.115140705197287,-11.666380809047329,wuz-lifted
-11.703242242877085,-10.896291588529001,-11.448014522886856,-10.749930725567472,wuz-throughout-new
-11.484571506790642,-11.691817377952162,-11.11481139671858,-11.517491628584663,wuz-base
-12.820310161203839,-13.506095847757132,-14.599219870413243,-14.766983095512469,wuz-unison
-11.203428831785985,-11.919098997042893,-11.424100482366706,-11.893796652264992,wuz-exchanged
-10.240828748107049,-11.072063074053245,-10.608033911713298,-10.987300613484416,wuz-outnumbered
-10.888228562383276,-11.212497301966591,-11.302516423058796,-11.168843981527205,wuz-simultaneously
-11.205089014582311,-11.471185500647275,-12.273411914218379,-12.02635467217349,wuz-unanimously
-14.12315433429646,-14.035898366260652,-14.200903004252764,-14.158174368249375,wuz-side-by-side
-13.417765130892652,-13.88746704868317,-13.906649161523635,-13.970091968954941,wuz-lexical-dist
-11.827257281000117,-12.215556120458885,-12.881207844183349,-12.540515774335905,wuz-gathered
-12.09084549336153,-11.717698186081567,-12.838063804204427,-12.049809499194511,wuz-lexical-coll
-11.857664522825463,-11.900361508165359,-12.2335365034414,-12.104508381368213,wuz-constituted
-11.302467290635981,-11.077837360973556,-11.182499645159599,-10.7851961058929,wuz-formed
-12.393438841299869,-11.815465044158884,-13.14064888647479,-12.249652841185101,wuz-together
