SG_SG,SG_PL,PL_SG,PL_PL,model_name
-11.767069057912991,-10.05298809250788,-11.452446132936789,-10.061542757624402,wuz-simple
-13.63735711972809,-12.386965742339683,-14.009649994734948,-12.836970186894717,wuz-reflexive
-11.748990006721133,-10.20592739560177,-11.776356234148201,-10.139171514890577,wuz-pred-adj
-12.533939885229723,-11.134518480867555,-12.183808079351076,-11.004246090139732,wuz-all-over-new
-12.34412194667633,-11.265614021716853,-11.761500132420222,-11.057396536257238,wuz-all-over
-12.205877858013196,-11.07494335697709,-11.90230083963339,-11.09283949949639,wuz-around-new
-11.81252231381223,-11.139599428832662,-11.493988721086966,-10.993223978973116,wuz-world-coll
-11.557445983332599,-11.23505174650597,-11.468168305844072,-11.21721755052627,wuz-throughout
-12.092296245010694,-11.339690394247315,-11.830730446037812,-11.250003125732288,wuz-around
-12.191690545745635,-11.076757819606883,-11.776260254376254,-11.066783918322816,wuz-lifted
-12.116590318407704,-10.627247528423593,-11.73452669214656,-10.683416572817448,wuz-throughout-new
-12.343009378908002,-11.146478876365977,-11.630542662881092,-10.945493458045116,wuz-base
-12.424325931434106,-11.434853343923917,-12.543584695033463,-11.867713457102818,wuz-unison
-12.063443870740402,-11.259407377691232,-11.968096436297907,-11.300472775126298,wuz-exchanged
-11.47368658927911,-10.756169815174744,-11.344210849688515,-10.71243072340261,wuz-outnumbered
-13.905863988620322,-12.804946136685285,-13.87836498868837,-12.956577086025302,wuz-simultaneously
-13.783306869192858,-13.085905154531751,-14.572569156630403,-13.821826907033188,wuz-unanimously
-13.055953315414236,-11.82606500983611,-13.045434606667465,-12.109045921819217,wuz-side-by-side
-13.971226037853322,-12.957390061898977,-14.21942261689916,-13.405769654530976,wuz-lexical-dist
-11.899770130691307,-11.0729814823061,-12.047472660013339,-11.26078679669122,wuz-gathered
-12.536097275194622,-10.80156949976763,-12.475316121666674,-10.860644253630603,wuz-lexical-coll
-12.777574000187894,-11.694215014330672,-12.488804901829777,-11.639701293251257,wuz-constituted
-11.77761758890332,-10.542943029766564,-11.519507157449826,-10.575394954727342,wuz-formed
-14.997419286941811,-13.984600182264849,-14.953744716330853,-13.932901878612382,wuz-together
