SG_SG,SG_PL,PL_SG,PL_PL,model_name
-9.06650457924072,-12.657313865873004,-12.639892142944884,-9.544169312454397,wuz-simple
-9.22276827276075,-11.81536887479414,-13.831777691840005,-9.229361230570282,wuz-reflexive
-9.043862943793107,-11.143988539967216,-13.327613209281463,-9.029192716755308,wuz-pred-adj
-9.578399149799633,-13.255312541485967,-12.920531620094433,-10.038656776290956,wuz-all-over-new
-9.286316470800653,-13.49333304800284,-11.873275641975953,-9.908688031188944,wuz-all-over
-9.511484685470226,-13.318261913593862,-12.991290860671734,-9.945105516229878,wuz-around-new
-9.383078457186652,-13.23617275054263,-12.673776654307533,-9.767206502752996,wuz-world-coll
-9.184015985436886,-13.321151311918584,-12.11021905550047,-9.801814452035895,wuz-throughout
-9.172807485281874,-13.869553342776584,-13.400093678796528,-9.782735561986529,wuz-around
-9.112157720206083,-13.33686422070203,-11.576345571643069,-9.78575142559944,wuz-lifted
-9.13259625094499,-12.485794547775258,-12.072887848228316,-9.46866009714627,wuz-throughout-new
-9.370480308505241,-13.666067126164105,-12.501032638202641,-9.926839340128026,wuz-base
-9.22773482537289,-13.364660554943242,-13.697503179183563,-10.454222638122223,wuz-unison
-9.149677191452346,-13.50933280685491,-12.1862084558916,-9.613764936860216,wuz-exchanged
-8.88426856361966,-12.617343381758849,-11.735499580417535,-9.376361725670655,wuz-outnumbered
-8.826779611675374,-12.280350961395404,-12.610794817105292,-9.171306567802255,wuz-simultaneously
-9.64497944895811,-12.588665000561797,-12.908275362263591,-10.082326310051112,wuz-unanimously
-9.336791542867491,-14.165224985417215,-12.958048594762877,-10.24865862446494,wuz-side-by-side
-9.446861591062495,-14.357209010311516,-13.250344461277578,-10.096407206318524,wuz-lexical-dist
-9.204691405666356,-12.79734797938674,-13.496179105744432,-9.636885336452492,wuz-gathered
-9.51869208476291,-12.266151919645196,-13.462173179804743,-9.65775050114577,wuz-lexical-coll
-9.450810609867535,-13.709252447538509,-12.924604651062488,-10.102687542163547,wuz-constituted
-8.949261299210308,-12.455980347363225,-12.376235530829499,-9.342344361737588,wuz-formed
-9.75328105776179,-12.466167948541324,-14.091536719614428,-10.05250775163399,wuz-together
