SG,PL,model_name
-10.691562189473682,-9.825351758333321,wuz-simple
-12.50297078947369,-10.659473759210528,wuz-reflexive
-11.622146480263158,-9.297894541666667,wuz-pred-adj
-12.262625199122795,-11.024470065789467,wuz-all-over-new
-11.576479946052629,-10.648629014473688,wuz-all-over
-11.182331086842108,-10.716027068421045,wuz-around-new
-11.800147807017549,-11.443835412719299,wuz-world-coll
-10.575725436842115,-10.874434987280704,wuz-throughout
-11.986920195175445,-12.539504183771934,wuz-around
-10.689454421491225,-11.01914083201755,wuz-lifted
-11.047650301315798,-10.410102447368418,wuz-throughout-new
-11.118161144078947,-10.463356633742693,wuz-base
-14.115523317105266,-15.031511370614027,wuz-unison
-10.909346938596487,-11.681066511403513,wuz-exchanged
-10.173892199122799,-10.799751022807019,wuz-outnumbered
-11.128392547368422,-10.890026189035074,wuz-simultaneously
-13.721782293859654,-12.866144720175432,wuz-unanimously
-13.546783926754372,-13.968359595614029,wuz-side-by-side
-13.326034641666668,-14.198968425438592,wuz-lexical-dist
-13.945655377192978,-13.102054159210535,wuz-gathered
-12.771504006578954,-11.23654367236842,wuz-lexical-coll
-11.220799168859651,-11.590666344298254,wuz-constituted
-10.854973817105252,-10.12724920921052,wuz-formed
-14.77671746271931,-13.328296091228053,wuz-together
