SG_SG,SG_PL,PL_SG,PL_PL,model_name
-13.268128219168418,-11.434773457609479,-13.803250087731348,-12.050900249449978,wuz-simple
-14.63937251144026,-13.699327543758725,-16.872555707605468,-15.518837789837432,wuz-reflexive
-12.429422526815802,-11.140988810706125,-13.294038443063407,-11.499649108204633,wuz-pred-adj
-13.302241380820263,-11.776790409538403,-14.253053982163015,-12.43851766066849,wuz-all-over-new
-13.079365875492757,-11.75181887756404,-13.696660925697175,-12.078747406846702,wuz-all-over
-13.352062682329155,-12.262929172828123,-14.71749738847831,-13.353108194672137,wuz-around-new
-13.148911953220372,-12.066900535512474,-14.001085978241417,-12.541641470322373,wuz-world-coll
-12.932805942837936,-12.045336582080788,-13.628340145575324,-12.43076068344218,wuz-throughout
-13.277542911141158,-12.260639764968658,-14.301734579125629,-12.908023241740455,wuz-around
-12.72530076965895,-11.414482724533348,-13.361750726439972,-11.818203931408805,wuz-lifted
-13.127576025408084,-11.499042036135883,-13.650467860859473,-11.859928304385884,wuz-throughout-new
-13.310952018079734,-12.105583119922073,-14.071227067328634,-12.629318383936246,wuz-base
-12.685380509111505,-11.543165952607099,-13.224860775978803,-11.875562995921209,wuz-unison
-12.75298507337026,-11.766270384904352,-13.436576162408452,-12.129593641820195,wuz-exchanged
-11.921527249293897,-11.062510698710431,-12.407812646337982,-11.277033231635714,wuz-outnumbered
-12.315648590136671,-11.315391246022825,-12.98524581411939,-11.561898212426627,wuz-simultaneously
-12.841416826416067,-11.797456938492763,-13.473049395182707,-12.164173196679112,wuz-unanimously
-13.240008969388576,-12.15193640101936,-14.034840631879142,-12.690180812770244,wuz-side-by-side
-13.511432925103836,-12.458766328171254,-14.02928504947904,-12.805588043455325,wuz-lexical-dist
-12.937448368910756,-12.13545808320452,-13.6385192680746,-12.364641181364252,wuz-gathered
-13.072552065826738,-11.847521074716871,-14.194787711105183,-12.477985172035932,wuz-lexical-coll
-13.443567841661398,-12.241061306166387,-14.440120693661564,-12.866623456741245,wuz-constituted
-13.240168684750913,-12.012962766323653,-14.165595048338968,-12.552710755416845,wuz-formed
-15.004559827617696,-13.942484281254336,-16.974642161871177,-15.380467539441193,wuz-together
