SG_SG,SG_PL,PL_SG,PL_PL,model_name
-7.539312483299998,-8.439635503399995,-8.37992335400001,-7.615629728299993,wug-first-new
-7.082978358000004,-8.687614560799997,-7.817880865400007,-7.574141382399995,wug-top-score
-7.150693305600001,-8.402129026600008,-7.851606514600006,-7.197554623200004,wug-birth
-6.750406504740002,-8.873772586399998,-7.506486692399999,-7.600144463400001,wug-world-ndist-ncoll
-5.7765229726,-8.86419064779998,-6.680142239319997,-7.686146911999988,wug-wore-the-new
-6.19147606124,-9.424224255600004,-6.736243271380004,-8.295122493999997,wug-caught-new
-6.410137104280005,-8.557411240999988,-7.290437303999993,-7.464211077599994,wug-birth-new
-7.293858867599997,-7.4896079334,-8.163922301000003,-6.840447276799998,wug-first
-6.7106017195,-8.833282118999994,-7.490010955799999,-7.558475959799997,wug-caught
-6.290081092000007,-7.418711324800011,-7.053637781799988,-6.648036898399998,wug-wore-the
-6.725560142779999,-8.19878176579999,-7.472643256799996,-7.341582897600005,wug-world-ndist-ncoll-new
-7.126036640823332,-8.566528475060002,-8.00816046009,-7.524252772426669,wug-base
-0.1785200895728001,-6.767759370000002,-0.31650469452700014,-4.612407275399999,wug-reflexive
-6.910021893200001,-8.183981157000003,-7.709727302400005,-7.284278138200001,wug-pred-adj
-7.141421185999998,-7.812784652800001,-7.975331567200009,-7.028966679600005,wug-simple
-7.233294221800003,-8.0941468914,-7.946042013999992,-7.342821436799998,wug-lexical-ndist-ncoll
-5.281068232000003,-7.890913635799996,-6.21432084230001,-6.687145995200003,wug-all-alone-new
-6.399718061750001,-9.966895999199997,-7.155008613179999,-8.7134768806,wug-only
-8.075705049999993,-7.943347114399996,-9.07395508080001,-7.056704651800001,wug-sep-entire
-6.513066156599993,-7.734073833999985,-7.026020744999998,-6.785030661399999,wug-personally
-7.195608536399997,-8.253005534600003,-8.081730288200003,-7.3574896085000105,wug-lexical-ndist-ncoll-new
-5.567914444600001,-7.036552595200002,-6.367773515999995,-5.9187390163,wug-all-alone
-6.159687501820013,-9.0080465776,-7.186571101199993,-7.891709766399994,wug-lone
-6.312711749200001,-6.502408241999997,-6.893850836399993,-5.757756185059999,wug-sep-entire-new
-7.106188144199992,-7.314420859199998,-8.048644204200004,-6.493211907800002,wug-sole
-6.23628646352,-9.374207668399992,-6.947391199079994,-8.317230791599991,wug-unaccmp-new
-6.847010156199999,-7.803348241399995,-7.6647065305999895,-6.855932090800003,wug-unaccmp
-6.560612484679997,-9.848767869200001,-7.522705911200003,-8.547536941800015,wug-sole-new
-6.371307676340001,-9.1602082466,-7.1127487039600075,-7.906262518199998,wug-personally-new
