SG_SG,SG_PL,PL_SG,PL_PL,model_name
-7.368282034000009,-7.9692403930000015,-8.0601982568,-7.307458709200002,wug-first-new
-7.071495117799993,-8.709922441399993,-7.709378310400002,-7.8366516723999995,wug-top-score
-7.167267653200003,-8.340321093800013,-7.761356892800003,-7.318403314199999,wug-birth
-7.014144291200004,-8.799569543200002,-7.606797184399997,-7.923260210600004,wug-world-ndist-ncoll
-6.078246930279999,-8.579352521799994,-6.965309758799993,-7.637742340259998,wug-wore-the-new
-6.457716462599999,-9.25635214420001,-6.997461972280005,-8.260855596999995,wug-caught-new
-6.509836151999999,-8.370551479,-7.223735812400008,-7.5583239679999945,wug-birth-new
-7.186182518799997,-7.387407833599994,-7.849355752199994,-6.7410180284,wug-first
-6.770528626399996,-8.118597980200006,-7.379813122800004,-7.303253579000005,wug-caught
-6.243821263799998,-7.112852503999999,-6.803695338000007,-6.5137912115999965,wug-wore-the
-6.616286018,-7.856016471799993,-7.197540757999999,-7.104805437399998,wug-world-ndist-ncoll-new
-7.110391496406665,-8.446182473566669,-7.86494490252,-7.6018361021666685,wug-base
-0.2539999308221999,-6.556668410400005,-0.35332968221859984,-4.8756638658,wug-reflexive
-6.906499905200001,-8.169483448600005,-7.548252865799992,-7.391834836000002,wug-pred-adj
-6.885480031600001,-7.348101408800004,-7.514457502399993,-6.716693154400001,wug-simple
-7.1198758358,-7.825918263199999,-7.652842887599999,-7.206163115800001,wug-lexical-ndist-ncoll
-5.343723110800003,-7.5862322756,-6.037923665600009,-6.818554518400006,wug-all-alone-new
-5.684516450999995,-9.13340943080001,-6.146694794399998,-8.144331608799986,wug-only
-7.963235787000007,-7.826774898800013,-8.81203872599999,-6.9171218395999885,wug-sep-entire
-6.667428206000001,-7.898124239000003,-7.1942448286000005,-7.227603347999997,wug-personally
-6.925196537659989,-7.905244182,-7.744936099200006,-7.027519759199998,wug-lexical-ndist-ncoll-new
-5.970485763799989,-7.093833935800003,-6.563448433199995,-6.288162876799991,wug-all-alone
-5.890865216800002,-8.4209436826,-6.540566329000003,-7.506404920000009,wug-lone
-6.161451408799996,-6.1375044454000065,-6.607690382600004,-5.494230871700008,wug-sep-entire-new
-7.075680178799998,-7.262224099799998,-7.851820403999998,-6.421138512720003,wug-sole
-6.349682037000001,-8.992557642400003,-6.873597493800001,-8.181048013200009,wug-unaccmp-new
-7.050830107400004,-7.920801854800005,-7.654238701000011,-7.176234022399989,wug-unaccmp
-6.133841421200002,-9.141429383600006,-6.7709638676000035,-8.233537843000006,wug-sole-new
-6.622300564199999,-9.0056253832,-7.246764957800001,-8.088399609799987,wug-personally-new
