SG_SG,SG_PL,PL_SG,PL_PL,model_name
-6.274798442800002,-7.510960654400007,-6.966806020400006,-6.379745337200004,wug-first-new
-6.25727744360001,-8.474356640800002,-6.915527034199996,-6.843641073399997,wug-top-score
-6.012509478959999,-8.529006638600002,-6.470971988399995,-6.686825227799997,wug-birth
-5.8862917761599975,-8.94754297059999,-6.323060957400001,-7.381952894599999,wug-world-ndist-ncoll
-4.462569886865997,-7.870645581600001,-5.01124350686,-6.289450632199998,wug-wore-the-new
-5.24609957744,-8.697631252200006,-5.594819186539997,-7.117311296600003,wug-caught-new
-5.581732755400001,-7.453120194000003,-6.138719282799997,-6.378772811000007,wug-birth-new
-6.9097018559999945,-7.340587080799997,-7.639686712799993,-6.2044790743,wug-first
-5.861091099120006,-8.429940065799999,-6.466856361200002,-6.925883185599986,wug-caught
-5.870503627399999,-7.4136855372,-6.412062997599999,-6.2080587478,wug-wore-the
-5.940254658059994,-8.082123671999994,-6.465754927799998,-6.970677654800003,wug-world-ndist-ncoll-new
-6.180052448347997,-7.785783391804667,-6.835412447544665,-6.457032578432664,wug-base
-0.09972697196818006,-8.041629819200015,-0.09294207195719993,-5.940258348400008,wug-reflexive
-6.634056667200002,-8.349311438200008,-7.2675051956000125,-7.112853832200002,wug-pred-adj
-6.365618710799992,-7.6883822516,-7.068521668200004,-6.513820770800009,wug-simple
-6.755622992000003,-8.264745173599993,-7.253387676400003,-7.224039835800002,wug-lexical-ndist-ncoll
-4.176802008279998,-6.648697204599995,-4.807347686740001,-5.412336517999999,wug-all-alone-new
-4.969320760680002,-8.658153707400002,-5.277147232120005,-7.269445438200005,wug-only
-6.513471846899998,-7.758537721399999,-7.271498423399991,-6.0597081082,wug-sep-entire
-6.325268596000003,-8.010474661000003,-6.872496695599999,-6.749757864400006,wug-personally
-5.4173021531000085,-7.398311498800006,-6.039359591599993,-6.153099959,wug-lexical-ndist-ncoll-new
-4.710164535420002,-6.884956216599997,-5.343473615399997,-5.266554359499996,wug-all-alone
-5.210753382640004,-8.16978166760001,-5.736730844139998,-6.757979661399996,wug-lone
-5.3375561425999996,-6.423434609399993,-5.712359964600003,-5.386957548080003,wug-sep-entire-new
-6.2248739646000075,-7.434887281600006,-6.9047456816,-6.035902601599999,wug-sole
-5.549202323260002,-8.530721868800011,-5.940856468399999,-7.334568261399998,wug-unaccmp-new
-6.236434665000002,-7.626502323799999,-7.031820532599994,-6.185789740740005,wug-unaccmp
-5.422544108659999,-8.533101245599985,-5.897961086439997,-7.176966925400001,wug-sole-new
-5.9118209214000075,-8.593365610600001,-6.287904128199994,-7.32125003099999,wug-personally-new
