SG,PL,model_name
-6.01978939316,-7.800088519400006,wug-first-new
-6.218511101600006,-8.251987659,wug-top-score
-6.250840732280013,-8.416179773400007,wug-birth
-5.607275999679997,-8.77959088359999,wug-world-ndist-ncoll
-4.273653675640002,-8.678923138800002,wug-wore-the-new
-5.032476387530003,-9.247777371999993,wug-caught-new
-5.469425746780001,-8.020115894399993,wug-birth-new
-6.899081737000012,-7.08120638980001,wug-first
-5.655270727720007,-8.441418698200012,wug-caught
-5.581192968800003,-7.1022950811999985,wug-wore-the
-5.478913086128005,-8.015861578800004,wug-world-ndist-ncoll-new
-6.510800050113399,-7.955917106482667,wug-base
-0.1419541500542599,-8.25359525940001,wug-reflexive
-7.102164914000004,-8.42539094200001,wug-pred-adj
-6.766201395999991,-7.618942651800001,wug-simple
-6.9778199316,-8.376749862000011,wug-lexical-ndist-ncoll
-4.387957799320002,-7.5571017011999935,wug-all-alone-new
-5.177613204820004,-9.090340414799996,wug-only
-6.940430621400009,-7.574909430600005,wug-sep-entire
-6.357898623000003,-8.215084175399996,wug-personally
-5.17806658258,-7.657796416200004,wug-lexical-ndist-ncoll-new
-5.079188560840007,-6.934507941119992,wug-all-alone
-5.265560596859999,-8.579058527399999,wug-lone
-5.308530066431993,-6.57201404100001,wug-sep-entire-new
-6.350611298199996,-7.259368649000002,wug-sole
-5.289720660760005,-8.837565630599997,wug-unaccmp-new
-6.686743681999999,-7.395055958999997,wug-unaccmp
-5.4693063071740005,-8.988711304200008,wug-sole-new
-5.742346330979998,-9.208453343800004,wug-personally-new
