SG_SG,SG_PL,PL_SG,PL_PL,model_name
-12.97673989361121,-12.308093655134375,-12.954317968679831,-12.380254992951862,wug-first-new
-13.726802487578722,-12.893855985618378,-13.980249689132675,-13.23329385130681,wug-top-score
-13.949639228393881,-13.438190935101753,-13.99443156492808,-13.61378650633087,wug-birth
-12.787964208792022,-12.32448138231924,-12.981590467567278,-12.617377010675424,wug-world-ndist-ncoll
-13.26601468236764,-12.865763168717589,-13.555144686729133,-13.085607917710316,wug-wore-the-new
-13.327844168814574,-12.730921121846315,-13.546129863378106,-12.928538173175344,wug-caught-new
-13.321962807836933,-12.36086458124133,-13.374605747820285,-12.50751091219962,wug-birth-new
-13.250031242609522,-12.70091153500615,-13.335810395552848,-12.840569623626017,wug-first
-12.569159616038638,-12.197539664207914,-12.565670184553593,-12.22515793138406,wug-caught
-12.337240873992249,-12.14870866928386,-12.537222759232636,-12.30030105762019,wug-wore-the
-13.286534561597366,-12.416227594048433,-13.20838229975345,-12.564594281811349,wug-world-ndist-ncoll-new
-13.260502168193002,-12.810256199933143,-13.44265011158462,-12.984357708272306,wug-base
-15.675507913824376,-15.379482670782293,-15.128559106231073,-14.914014175848074,wug-reflexive
-12.371914489949388,-12.289463293790284,-12.690419162762202,-12.388959874012032,wug-pred-adj
-11.986698765868566,-11.988864837795449,-12.075178766001859,-12.042246740929032,wug-simple
-12.5791130955147,-11.842603126934243,-12.544464991356884,-11.84594460172994,wug-lexical-ndist-ncoll
-12.82831882302623,-12.376601668990507,-13.026263861078988,-12.547221900623526,wug-all-alone-new
-12.656376263946457,-11.980199343682541,-12.742130139369554,-12.142214089349133,wug-only
-14.041315529685866,-13.680805440074696,-13.999640778659785,-13.725019240073456,wug-sep-entire
-15.05235188103515,-14.223340793571843,-15.078249025062219,-14.20941832260009,wug-personally
-13.966126092545034,-13.426807632611396,-13.855844722062576,-13.352309765678205,wug-lexical-ndist-ncoll-new
-13.27019926498487,-12.77461095992046,-13.326222114062055,-12.815264332996747,wug-all-alone
-12.815306186268364,-12.087062252292128,-12.836302942266402,-12.233809185353174,wug-lone
-13.037174790044002,-11.973355565546532,-13.002923583185021,-11.899892576877424,wug-sep-entire-new
-13.582405997816755,-12.893508590663812,-13.608124003076922,-12.990817087702778,wug-sole
-13.28847308275623,-12.0673167944491,-13.247244995151767,-12.17931403874479,wug-unaccmp-new
-12.834219015183296,-12.492818002872017,-13.02871705782375,-12.663177934888362,wug-unaccmp
-12.834941133160804,-12.16609684604488,-12.976461407691904,-12.396315658077063,wug-sole-new
-13.703416882768286,-13.148250026548133,-13.78572838638159,-13.329763133118993,wug-personally-new
