SG_SG,SG_PL,PL_SG,PL_PL,model_name
-13.85825316737096,-12.958295812888572,-13.768019369411343,-12.80128765453678,wug-first-new
-14.178872235871973,-13.238398385837286,-14.405830249094928,-13.457940338918617,wug-top-score
-14.509936526392176,-13.89488940311398,-14.65394702397435,-14.036011015536907,wug-birth
-13.29572866532199,-12.67548889440854,-13.516402405128098,-12.883457923535284,wug-world-ndist-ncoll
-13.872543722576413,-13.2666532001079,-14.289351267895787,-13.554901553534162,wug-wore-the-new
-13.949076921720922,-13.055068425679703,-14.256832693739609,-13.255400147860831,wug-caught-new
-14.025521958611252,-12.802937623706985,-14.107521461971443,-12.794741836043059,wug-birth-new
-13.737550963789465,-13.069885009542087,-13.764076617134403,-13.093789776849812,wug-first
-12.923696096529556,-12.389516404858055,-13.034162087636057,-12.46649812807732,wug-caught
-12.661178276845053,-12.292190233392345,-12.84019758506821,-12.365762389502068,wug-wore-the
-13.426172130885247,-12.36597110808095,-13.421918009254268,-12.425545867914959,wug-world-ndist-ncoll-new
-13.76329672484439,-13.162598780551434,-13.958496100619532,-13.27359733961492,wug-base
-16.54535892912664,-16.203168739447122,-15.844231304373182,-15.44814268972614,wug-reflexive
-12.830664354166782,-12.6143816857482,-13.088629595028834,-12.589921886013144,wug-pred-adj
-12.10171827617289,-12.107192749273707,-12.196333385779795,-12.01582915013868,wug-simple
-12.668521302523091,-11.919443858514848,-12.586267523294897,-11.744532312837968,wug-lexical-ndist-ncoll
-14.130880298453379,-13.193628966511051,-14.321745126111265,-13.24070448540709,wug-all-alone-new
-13.332323284598797,-12.36591220521482,-13.181036091041657,-12.220630476284825,wug-only
-14.443848612989617,-13.920747878329719,-14.389354476846522,-13.857154728212379,wug-sep-entire
-15.230583394302602,-14.363927669593002,-15.40453629908334,-14.418185325019277,wug-personally
-14.71854645942962,-13.828738975707072,-14.511943980024657,-13.593487205808913,wug-lexical-ndist-ncoll-new
-13.71731949492765,-13.073852100858,-13.799881942550664,-13.033410871429725,wug-all-alone
-13.142043743061391,-12.034668490490409,-13.13774433316658,-12.041387393989474,wug-lone
-14.431155388998306,-12.881620565147538,-14.117915431165851,-12.43661591129704,wug-sep-entire-new
-14.006150640811143,-13.241415695178777,-14.044081790042199,-13.184732866275553,wug-sole
-13.911434564170273,-12.444575955589608,-13.906035402266669,-12.39780330855171,wug-unaccmp-new
-13.232944102189306,-12.748760770108095,-13.417915983567092,-12.858101389408205,wug-unaccmp
-13.779907858054464,-12.691734709427887,-13.931772582656963,-12.781250099593827,wug-sole-new
-14.36268242758685,-13.528586802417477,-14.663103030968312,-13.674509749275444,wug-personally-new
