SG_SG,SG_PL,PL_SG,PL_PL,model_name
-11.632564274160714,-11.438365320726264,-11.027992273500805,-11.2942705943133,wug-first-new
-12.070839442721265,-12.107277588896693,-12.206384773551074,-12.321445170643074,wug-top-score
-12.01117523809197,-12.534902145421807,-12.133827301249475,-12.725300500182518,wug-birth
-12.130364607562372,-12.024618763441051,-12.283015642145598,-12.269660417688383,wug-world-ndist-ncoll
-12.301158513659816,-12.577084214911643,-12.162499466923368,-12.509339650524382,wug-wore-the-new
-12.300960851921909,-13.381165329679975,-12.390110307550124,-13.486805570429246,wug-caught-new
-11.896017154695572,-11.060679910810629,-11.51373567042183,-10.725810344843804,wug-birth-new
-10.660081370492648,-10.94576138980805,-10.423745485894772,-10.71546086729217,wug-first
-11.961282619173714,-12.739249333903441,-12.16498495723615,-12.698228998608778,wug-caught
-10.836147086834991,-11.126598682249059,-10.719439696583354,-10.90537249000424,wug-wore-the
-11.01766350426487,-11.199980576820385,-10.873256221797522,-11.099106392961534,wug-world-ndist-ncoll-new
-11.489083633397437,-11.690144957651418,-11.114151417016272,-11.514672118675074,wug-base
-11.505726490163735,-12.71797659538687,-11.266740251846484,-12.413674967174359,wug-reflexive
-10.63575757835874,-11.221984354611733,-10.223188638147496,-10.571755735421084,wug-pred-adj
-9.904196345708858,-10.8778503518264,-9.644284477996539,-10.36574927366328,wug-simple
-11.072590961832509,-11.347008248814015,-11.328076133277872,-11.495659694417393,wug-lexical-ndist-ncoll
-12.052155141195456,-11.719497274668353,-11.88179876527561,-11.534695305347302,wug-all-alone-new
-11.030661970215899,-11.351564948154376,-10.75600289186497,-11.000786670746379,wug-only
-11.360633900844148,-12.098161013840322,-11.036852139571492,-11.688125798904478,wug-sep-entire
-11.527483831568748,-11.120034795198771,-11.218807446801147,-10.804289119998142,wug-personally
-12.088434110731828,-11.985924026781143,-11.45450343019205,-11.835901908163107,wug-lexical-ndist-ncoll-new
-11.326013542146653,-12.38703102368586,-11.501693831406888,-12.472421628403435,wug-all-alone
-11.040243855616618,-10.994291827218532,-10.886456459340998,-10.85359375302879,wug-lone
-10.759668985712134,-10.783845707435976,-10.355082437658929,-10.303039039911384,wug-sep-entire-new
-11.448720783129149,-11.96113705453945,-11.836569641147193,-12.18918342755013,wug-sole
-11.437124431407,-11.594988320650874,-11.157980505041238,-11.529243671395603,wug-unaccmp-new
-11.033265608707913,-11.918818350152717,-11.10916811189287,-11.921793584613843,wug-unaccmp
-11.188742138909817,-11.1571814162991,-10.900456753578187,-10.975408440377196,wug-sole-new
-11.757410321581412,-11.808027759003602,-11.457049540980552,-11.452190942376255,wug-personally-new
