SG_SG,SG_PL,PL_SG,PL_PL,model_name
-12.202576962638783,-10.910814149011223,-11.801064686942876,-11.056166419498995,wug-first-new
-13.718810453918291,-11.456632451387714,-12.50218025469531,-11.053756847942767,wug-top-score
-13.887718894243786,-11.99389051270882,-12.804060513275484,-11.69030124759051,wug-birth
-13.054433138182908,-11.215942613381543,-12.457578714240254,-11.064853066211292,wug-world-ndist-ncoll
-12.66131135340622,-11.566896286163091,-12.531523668499876,-11.970419571550183,wug-wore-the-new
-12.699046492380882,-11.264399951140634,-12.578495876404407,-11.617065994024342,wug-caught-new
-12.052046953947388,-10.686731486377127,-11.6814747592441,-10.89432974547479,wug-birth-new
-12.298814026559809,-10.815018497703553,-11.625699470095826,-10.623686250748895,wug-first
-13.051847284643173,-11.109414734848015,-12.213724193335151,-10.838620472952663,wug-caught
-12.177744283867888,-10.811767794567475,-11.518463707455226,-10.587859500287017,wug-wore-the
-12.0031396866422,-10.78946559198231,-11.579561335347416,-10.850144881785221,wug-world-ndist-ncoll-new
-12.383432904844478,-11.16343716511065,-11.65109211882794,-10.955098043682261,wug-base
-15.348966481741014,-13.770953857490971,-14.644892869525512,-13.62948428758084,wug-reflexive
-11.594977275821693,-11.008913339612018,-11.037974846578901,-10.74502775458764,wug-pred-adj
-10.402100768221722,-10.388195907886002,-10.287087610724532,-10.346321526732684,wug-simple
-12.462226063752675,-10.839447880161307,-12.034968464775455,-10.699172675616657,wug-lexical-ndist-ncoll
-12.618326789550972,-11.318168300199034,-12.210455421539962,-11.363013724330646,wug-all-alone-new
-12.175307198414874,-11.16596725898408,-11.666701589406937,-10.983268600607127,wug-only
-13.371561043129034,-11.800932366930645,-12.490037273004338,-11.50520095422373,wug-sep-entire
-12.461890840958581,-11.047306422834113,-11.906654520614962,-10.828250624757818,wug-personally
-12.668695754592864,-11.32785793541513,-12.401680980961322,-11.77874557829658,wug-lexical-ndist-ncoll-new
-13.216374335025433,-12.022643434812352,-12.905832621309457,-12.108547038663119,wug-all-alone
-12.349372475638416,-11.170172024163207,-11.757540182399852,-11.024440505771041,wug-lone
-11.522237110770092,-10.513770852908511,-11.262032689000288,-10.353659631141468,wug-sep-entire-new
-13.148680295401746,-11.32870657830336,-12.601176772611105,-11.315121911172904,wug-sole
-12.515746578160808,-10.724079813846512,-11.919757943348165,-10.742905008342023,wug-unaccmp-new
-12.92440581882546,-11.408600340481513,-12.071026601851793,-11.075355055947506,wug-unaccmp
-12.365882496883724,-11.04425229100754,-11.84375008968829,-10.942575910400066,wug-sole-new
-12.275357543705345,-11.062197830584456,-11.874781988432586,-11.164074297118402,wug-personally-new
