SG_SG,SG_PL,PL_SG,PL_PL,model_name
-9.44939283345677,-13.292301486583465,-12.447993542215874,-9.864716836495779,wug-first-new
-9.200499692387895,-13.359340152802401,-12.528048733518295,-9.773769959983998,wug-top-score
-9.284011315141827,-14.25161833708197,-12.589032651909775,-9.933626816401896,wug-birth
-9.29120982606505,-13.433185703877356,-12.051843856718298,-9.962724557731649,wug-world-ndist-ncoll
-9.416093571488528,-13.845645471086941,-12.690682929441044,-10.097143481953477,wug-wore-the-new
-8.979403171046824,-13.931285256728156,-11.703972621813776,-9.724953408157216,wug-caught-new
-9.111758581110612,-12.836532111258613,-12.478833010008021,-9.496961813520697,wug-birth-new
-9.38633306168561,-12.709357240442905,-11.853848275888764,-9.849510136050993,wug-first
-8.918271253324965,-13.324575006568336,-11.38670920773943,-9.638481319291648,wug-caught
-9.183109817891646,-12.603922378744919,-11.563650542342456,-9.65515688166715,wug-wore-the
-9.134928375245607,-12.83207105360218,-11.405206777867058,-9.6058900634945,wug-world-ndist-ncoll-new
-9.373140517551098,-13.659210592198821,-12.505122290131304,-9.93020226270279,wug-base
-8.891376659481953,-13.927375922018681,-11.130172357513564,-9.883661723848864,wug-reflexive
-8.980733000795055,-13.055905828541006,-11.86662564217705,-9.532699728815873,wug-pred-adj
-9.209828320119762,-12.537331099702644,-10.78696281455621,-9.735195071402229,wug-simple
-9.379208627654839,-12.823240995020962,-11.352387182859914,-9.895699208045501,wug-lexical-ndist-ncoll
-9.405278306549558,-12.919211424405919,-12.619064698984504,-10.031777953138162,wug-all-alone-new
-9.23109517967086,-12.934937166997416,-11.520813116336603,-9.670365872529507,wug-only
-9.767432913488319,-14.190997392622812,-12.5421436911979,-10.193908832797618,wug-sep-entire
-9.2668442442293,-12.972745775641696,-12.664184808025013,-9.857745899990848,wug-personally
-9.478721280185425,-13.988326691141726,-12.471579748700323,-10.040843315895183,wug-lexical-ndist-ncoll-new
-9.177823235319288,-13.374549263324452,-11.988365447419964,-9.848979735005807,wug-all-alone
-9.186600689580674,-12.591218907140599,-11.413506123019841,-9.5841739968245,wug-lone
-9.487155832126785,-12.875358723004627,-12.549726197946354,-9.459057011611803,wug-sep-entire-new
-9.610180590497,-13.888887461906908,-12.45344235589681,-10.130024767217831,wug-sole
-9.00999454995812,-13.231305153303111,-11.724648658459271,-9.414292393144976,wug-unaccmp-new
-9.262500433931619,-13.337102769303701,-11.516704034076486,-9.860665705445827,wug-unaccmp
-9.231067963507993,-12.879448960373452,-11.895719918430128,-9.594287029265704,wug-sole-new
-9.340292066223729,-13.521440450999643,-12.639662703977962,-9.841110103321848,wug-personally-new
