SG,PL,model_name
-10.728919366228066,-10.357726381578948,wug-first-new
-12.713891837719306,-10.8914263618421,wug-top-score
-12.261949955263164,-10.866882740789466,wug-birth
-11.751276651315784,-10.60906337280702,wug-world-ndist-ncoll
-11.530255375438585,-11.888288900438598,wug-wore-the-new
-12.435348277192984,-14.219900701754383,wug-caught-new
-11.591177008771925,-10.496363708333337,wug-birth-new
-11.724353049561397,-10.437972234210525,wug-first
-11.644657696491223,-12.1796676381579,wug-caught
-11.37333217763158,-10.436667053070181,wug-wore-the
-10.320873527631578,-10.230765142105255,wug-world-ndist-ncoll-new
-11.151268648347955,-10.467614233157894,wug-base
-13.433848725877185,-13.24943700877194,wug-reflexive
-10.252391102192988,-10.591029723245619,wug-pred-adj
-10.116648917982458,-10.583741274561401,wug-simple
-11.729499922368422,-11.099224500877195,wug-lexical-ndist-ncoll
-11.24214057938597,-10.71094657631578,wug-all-alone-new
-11.388400871052628,-11.113837817982457,wug-only
-11.885492510964912,-10.646141399122794,wug-sep-entire
-11.802578396929825,-10.583396147368427,wug-personally
-10.602654574561406,-10.625799877631597,wug-lexical-ndist-ncoll-new
-11.155144625000002,-11.477234879385959,wug-all-alone
-10.785326239035083,-10.32293206578946,wug-lone
-9.58193156973684,-11.38359899166666,wug-sep-entire-new
-11.550890852192985,-10.660626478947362,wug-sole
-11.076653067105266,-11.72788675,wug-unaccmp-new
-11.210871882456127,-10.153561015350872,wug-unaccmp
-10.615783561403514,-10.097769300438603,wug-sole-new
-11.134438867105247,-11.228212207894732,wug-personally-new
