SG_SG,SG_PL,PL_SG,PL_PL,model_name
-13.157155752638417,-11.84323936651844,-13.989941445032663,-12.477657336157154,wug-first-new
-13.572637997121063,-11.898576213775462,-14.388421314182732,-12.576999264634017,wug-top-score
-13.881980350807972,-12.538028648214198,-14.72766475553165,-13.325824662328978,wug-birth
-13.028613649556082,-11.629283952079836,-13.575238344185463,-12.104445584128086,wug-world-ndist-ncoll
-13.295131351291285,-12.317814210509573,-13.7005940785105,-12.49323262920734,wug-wore-the-new
-12.697088037005066,-11.4374680422431,-12.988198927124289,-11.628268336094816,wug-caught-new
-13.17038899652778,-11.646350681144854,-13.616113362193902,-11.850646325235068,wug-birth-new
-12.994527350929525,-11.778099909612274,-13.667551641273144,-12.327274969087721,wug-first
-12.367764503929664,-11.178571327753588,-12.601921805946803,-11.213657631574579,wug-caught
-12.251369949991984,-11.322660701468532,-12.882032657532463,-11.578405712406116,wug-wore-the
-12.82811899793063,-11.402912340339935,-13.334345312648198,-11.870405133335169,wug-world-ndist-ncoll-new
-13.30929770423052,-12.104927570918646,-14.070026537553225,-12.62911173773079,wug-base
-15.273522461445243,-14.277355690540398,-15.629555404548105,-14.429248770461102,wug-reflexive
-12.362664147767555,-11.50193633646944,-12.995713993832451,-11.735505269628243,wug-pred-adj
-11.442566678256119,-11.105101544107136,-11.846422536919187,-11.351948620808598,wug-simple
-12.560660851026512,-11.195369231760472,-13.145740715232359,-11.648315438658653,wug-lexical-ndist-ncoll
-13.534521692631554,-12.183829781692365,-14.300904555001816,-12.86132811878928,wug-all-alone-new
-12.967375352757124,-11.460685171903501,-13.395486989667306,-11.738683754885825,wug-only
-13.917029638246774,-12.588997699190408,-14.782496390718675,-13.200168817785212,wug-sep-entire
-13.253559321312297,-12.069694257925335,-14.098575835303572,-12.725432644572722,wug-personally
-13.838532578431737,-12.565468267798249,-14.658959199399265,-13.247628477744497,wug-lexical-ndist-ncoll-new
-13.036199061123446,-12.078894774606416,-13.766804590669745,-12.69863093734643,wug-all-alone
-12.453021931079892,-11.090176863858863,-12.550245821239324,-11.323191820985864,wug-lone
-12.982765660815813,-11.332905714431506,-13.280688778668612,-11.645496344479639,wug-sep-entire-new
-13.593914725440484,-12.165007982816588,-14.418679607871926,-12.781766997547459,wug-sole
-13.279946868961924,-11.369633993817589,-13.57001258125,-11.588087609866612,wug-unaccmp-new
-12.459907031375216,-11.378649443518462,-12.918765289683387,-11.541397303645809,wug-unaccmp
-13.078230656984967,-11.56461909478763,-13.46831734658615,-11.918732620698034,wug-sole-new
-13.169268636785914,-11.895280959735963,-13.537083030608612,-12.097965391128927,wug-personally-new
